ea_id,symbol,gate,verdict,updated_at,expected_hash_prefix,current_hash_prefix
QM5_10000,EURUSD.DWX,Q02,INFRA_FAIL,2026-07-28T11:59:26+00:00,6046003fff14bad6,334bef9ee9cd7f87
QM5_10000,GBPUSD.DWX,Q02,PASS,2026-07-23T00:13:58+00:00,6046003fff14bad6,334bef9ee9cd7f87
QM5_10000,GBPUSD.DWX,Q03,INFRA_FAIL,2026-07-29T12:18:03+00:00,6046003fff14bad6,334bef9ee9cd7f87
QM5_10000,XAUUSD.DWX,Q02,FAIL,2026-08-13T14:32:31+00:00,6046003fff14bad6,334bef9ee9cd7f87
QM5_10008,EURUSD.DWX,Q02,PASS,2026-07-27T22:18:47+00:00,97c182de67f9733d,a9f9e22e97a62f78
QM5_10008,USDJPY.DWX,Q02,PASS,2026-07-27T19:31:25+00:00,97c182de67f9733d,a9f9e22e97a62f78
QM5_10008,USDJPY.DWX,Q03,PASS,2026-07-27T20:19:26+00:00,97c182de67f9733d,a9f9e22e97a62f78
QM5_10025,AUDCHF.DWX,Q02,INFRA_FAIL,2026-08-04T00:38:48+00:00,bc76d9cc436fc101,9bf2691d4af0a57d
QM5_10025,AUDNZD.DWX,Q02,INFRA_FAIL,2026-08-04T01:39:16+00:00,bc76d9cc436fc101,9bf2691d4af0a57d
QM5_10025,GDAXI.DWX,Q02,ZERO_TRADES,2026-08-02T20:55:52+00:00,bc76d9cc436fc101,9bf2691d4af0a57d
QM5_10025,NZDCAD.DWX,Q02,ZERO_TRADES,2026-08-03T13:34:24+00:00,bc76d9cc436fc101,9bf2691d4af0a57d
QM5_10025,NZDCHF.DWX,Q02,ZERO_TRADES,2026-08-03T15:35:35+00:00,bc76d9cc436fc101,9bf2691d4af0a57d
QM5_10025,UK100.DWX,Q02,ZERO_TRADES,2026-08-02T22:35:31+00:00,bc76d9cc436fc101,9bf2691d4af0a57d
QM5_10025,XNGUSD.DWX,Q02,ZERO_TRADES,2026-08-03T00:13:38+00:00,bc76d9cc436fc101,9bf2691d4af0a57d
QM5_10025,XTIUSD.DWX,Q02,ZERO_TRADES,2026-08-03T01:04:51+00:00,bc76d9cc436fc101,9bf2691d4af0a57d
QM5_10128,XAUUSD.DWX,Q02,PASS,2026-07-26T18:59:06+00:00,0d53e12208e39784,19f4981bcef86109
QM5_10128,XAUUSD.DWX,Q03,PASS,2026-07-26T18:42:13+00:00,0d53e12208e39784,19f4981bcef86109
QM5_10145,XAUUSD.DWX,Q03,PASS,2026-07-26T18:39:36+00:00,268c228190d87f06,c3f5476eff34ce65
QM5_10147,AUDCAD.DWX,Q02,FAIL,2026-07-28T03:47:06+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,AUDCHF.DWX,Q02,FAIL,2026-07-28T03:51:32+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,AUDJPY.DWX,Q02,FAIL,2026-07-28T03:59:43+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,AUDNZD.DWX,Q02,FAIL,2026-07-28T04:05:07+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,AUDUSD.DWX,Q02,FAIL,2026-07-28T04:16:00+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,CADCHF.DWX,Q02,FAIL,2026-07-28T04:18:43+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,CADJPY.DWX,Q02,FAIL,2026-07-28T04:27:21+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,CHFJPY.DWX,Q02,FAIL,2026-07-28T04:25:35+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,EURAUD.DWX,Q02,FAIL,2026-07-28T07:34:43+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,EURGBP.DWX,Q02,FAIL,2026-07-28T07:54:22+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,EURJPY.DWX,Q02,FAIL,2026-07-28T08:06:41+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,EURNZD.DWX,Q02,FAIL,2026-07-28T07:49:39+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,EURUSD.DWX,Q02,FAIL,2026-07-23T05:44:16+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,GBPAUD.DWX,Q02,FAIL,2026-07-28T04:53:53+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,GBPCAD.DWX,Q02,FAIL,2026-07-28T04:49:19+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,GBPCHF.DWX,Q02,FAIL,2026-07-28T04:54:07+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,GBPJPY.DWX,Q02,FAIL,2026-07-28T05:01:05+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,GBPNZD.DWX,Q02,FAIL,2026-07-28T05:03:00+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,GBPUSD.DWX,Q02,FAIL,2026-07-23T10:19:18+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,GDAXI.DWX,Q02,FAIL,2026-07-28T03:21:40+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
QM5_10147,NDX.DWX,Q02,INFRA_FAIL,2026-07-27T23:23:42+00:00,dcb983ffbe16a850,12fd25c63ef5aafc
