kind,path,bytes,mtime_ns,hardlink_count,reparse_point
history,D:\QM\mt5\T11\Bases\Custom\history\USDJPY.DWX\2019.hcc,22247775,1788277538696455700,1,False
history,D:\QM\mt5\T11\Bases\Custom\history\USDJPY.DWX\2020.hcc,22318584,1788277538768642800,1,False
history,D:\QM\mt5\T11\Bases\Custom\history\USDJPY.DWX\2021.hcc,22272444,1788277538834815100,1,False
history,D:\QM\mt5\T11\Bases\Custom\history\USDJPY.DWX\2022.hcc,22250004,1788277538889959500,1,False
history,D:\QM\mt5\T11\Bases\Custom\history\USDJPY.DWX\2023.hcc,21854757,1788277538954126600,1,False
history,D:\QM\mt5\T11\Bases\Custom\history\USDJPY.DWX\2024.hcc,22256124,1788277539050376100,1,False
history,D:\QM\mt5\T11\Bases\Custom\history\USDJPY.DWX\2025.hcc,20681142,1788277539110533000,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\201901.tkc,11882670,1788277586987945500,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\201902.tkc,7044749,1788277587015016000,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\201903.tkc,8286287,1788277587057126600,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\201904.tkc,6248275,1788277587074169900,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\201905.tkc,9381728,1788277587111266100,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\201906.tkc,7499058,1788277587140342300,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\201907.tkc,5916735,1788277587153375400,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\201908.tkc,14691137,1788277587168417300,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\201909.tkc,9362158,1788277587191475100,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\201910.tkc,10102823,1788277587211527800,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\201911.tkc,6483291,1788277587224561300,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\201912.tkc,5525777,1788277587248623500,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\202001.tkc,6973300,1788277587269678400,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\202002.tkc,10650011,1788277587296749300,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\202003.tkc,44344546,1788277587519400100,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\202004.tkc,13279655,1788277587548418100,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\202005.tkc,6278783,1788277587574483300,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\202006.tkc,11349891,1788277587590524900,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\202007.tkc,7876444,1788277587614588000,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\202008.tkc,9407352,1788277587632134300,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\202009.tkc,7870798,1788277587644167200,1,False
ticks,D:\QM\mt5\T11\Bases\Custom\ticks\USDJPY.DWX\202010.tkc,8497552,1788277587666725700,1,False
