metric,before,after,delta
pending_q02,5499,5499,0
history_blocked,437,119,-318
history_ok,5062,5380,318
claimable_ignoring_multisym_and_terminal_busy,2325,2430,105
history_blocked_period_D1,44,44,0
history_blocked_period_H1,17,17,0
history_blocked_period_H12,2,0,-2
history_blocked_period_H2,7,0,-7
history_blocked_period_H3,5,0,-5
history_blocked_period_H4,3,3,0
history_blocked_period_H6,15,0,-15
history_blocked_period_H8,7,0,-7
history_blocked_period_M1,149,1,-148
history_blocked_period_M10,2,0,-2
history_blocked_period_M15,9,9,0
history_blocked_period_M2,3,1,-2
history_blocked_period_M30,132,2,-130
history_blocked_period_M5,8,8,0
history_blocked_period_MN1,2,2,0
history_blocked_period_W1,32,32,0
remaining_blocked_symbol_GER40.DWX,56,56,0
remaining_blocked_symbol_XBRUSD.DWX,18,18,0
remaining_blocked_symbol_JPN225.DWX,4,4,0
remaining_blocked_symbol_GDAXI.DWX,26,2,-24
remaining_blocked_symbol_UK100.DWX,5,2,-3
remaining_blocked_symbol_XAUUSD.DWX,60,2,-58
remaining_blocked_symbol_EURUSD.DWX,49,2,-47
remaining_blocked_symbol_JP225.DWX,2,2,0
remaining_blocked_symbol_CADCHF.DWX,2,1,-1
remaining_blocked_symbol_AUDNZD.DWX,2,1,-1
remaining_blocked_symbol_AUDCHF.DWX,2,1,-1
remaining_blocked_symbol_AUDJPY.DWX,2,1,-1
remaining_blocked_symbol_AUDCAD.DWX,2,1,-1
remaining_blocked_symbol_AUDUSD.DWX,7,1,-6
remaining_blocked_symbol_CADJPY.DWX,2,1,-1
remaining_blocked_symbol_USOIL.DWX,1,1,0
remaining_blocked_symbol_NDX.DWX,26,1,-25
remaining_blocked_symbol_SP500.DWX,13,1,-12
remaining_blocked_symbol_WS30.DWX,14,1,-13
remaining_blocked_symbol_XAGUSD.DWX,2,1,-1
remaining_blocked_symbol_XNGUSD.DWX,2,1,-1
remaining_blocked_symbol_XTIUSD.DWX,4,1,-3
remaining_blocked_symbol_CHFJPY.DWX,3,1,-2
remaining_blocked_symbol_EURAUD.DWX,4,1,-3
remaining_blocked_symbol_EURCAD.DWX,3,1,-2
remaining_blocked_symbol_EURCHF.DWX,3,1,-2
remaining_blocked_symbol_EURGBP.DWX,2,1,-1
remaining_blocked_symbol_EURJPY.DWX,7,1,-6
remaining_blocked_symbol_EURNZD.DWX,3,1,-2
remaining_blocked_symbol_GBPAUD.DWX,2,1,-1
