program_id,model,mode,scope,real_cells,matched_cells,spearman_net,spearman_costed_score,plateau_top5_overlap,plateau_top10_overlap,sign_agreement,false_negative_top50pct,false_negative_top30pct,status
DL089_QM5_13213_USDJPY_DWX_2019_2025,1,ohlc-m1,2019,25,0,,,,,,,,NICHT GEZEIGT
DL089_QM5_13213_USDJPY_DWX_2019_2025,1,ohlc-m1,2020,0,0,,,,,,,,NICHT GEZEIGT
DL089_QM5_13213_USDJPY_DWX_2019_2025,1,ohlc-m1,2021,0,0,,,,,,,,NICHT GEZEIGT
DL089_QM5_13213_USDJPY_DWX_2019_2025,1,ohlc-m1,2022,0,0,,,,,,,,NICHT GEZEIGT
DL089_QM5_13213_USDJPY_DWX_2019_2025,1,ohlc-m1,2023,0,0,,,,,,,,NICHT GEZEIGT
DL089_QM5_13213_USDJPY_DWX_2019_2025,1,ohlc-m1,2024,0,0,,,,,,,,NICHT GEZEIGT
DL089_QM5_13213_USDJPY_DWX_2019_2025,1,ohlc-m1,2025,0,0,,,,,,,,NICHT GEZEIGT
DL089_QM5_13213_USDJPY_DWX_2019_2025,1,ohlc-m1,pooled,25,0,,,,,,,,NICHT GEZEIGT
DL089_QM5_13213_USDJPY_DWX_2019_2025,0,generated-ticks,2019,25,0,,,,,,,,NICHT GEZEIGT
DL089_QM5_13213_USDJPY_DWX_2019_2025,0,generated-ticks,2020,0,0,,,,,,,,NICHT GEZEIGT
DL089_QM5_13213_USDJPY_DWX_2019_2025,0,generated-ticks,2021,0,0,,,,,,,,NICHT GEZEIGT
DL089_QM5_13213_USDJPY_DWX_2019_2025,0,generated-ticks,2022,0,0,,,,,,,,NICHT GEZEIGT
DL089_QM5_13213_USDJPY_DWX_2019_2025,0,generated-ticks,2023,0,0,,,,,,,,NICHT GEZEIGT
DL089_QM5_13213_USDJPY_DWX_2019_2025,0,generated-ticks,2024,0,0,,,,,,,,NICHT GEZEIGT
