cell_key,work_item_id,arm,direction,predicate_id,reference_status,identity_sha256,report_metrics_sha256,trade_list_sha256,trade_count,warm_status,all_exact
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:baseline,066dd96a-0c3e-5626-a66f-8ad8799350a6,baseline,NONE,0,AUTHENTICATED_COLD,91732ef23e82c642bcfea76bea410ec7718be6a63ddf5ef76422023209c733f5,20f454a1a66a84b402844256397aaddb8b29cf402c8811d2a1731240aad18bdc,1dc2f4b1536fd8dac8d45c9f1640cf6dd5aeb4cdc1e283c82b5db3edc301f9f7,37,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_003,8d194d9c-bb08-5031-80e2-d429a61c2aab,buy_003,BUY,3,AUTHENTICATED_COLD,706068d3b34d8cfa5ec88fd29465e0e87061b9cba4626c4018c67461ccfa9ef0,b5ba8ec2fdace12b6ec5cc6cad156598d548d0fc3ecdd24d0c48b97e31890398,4afe6ad2da0a39ca51a6e5e135bd93cdc8a26eab122e5f538b4add4f50b272f9,36,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_004,9d161246-0574-5a26-ab72-86bdb8ac3582,buy_004,BUY,4,AUTHENTICATED_COLD,00109041fba8a62aed523e7de1b7e2dd0383167c81abf1572d639a45abe64a83,20f454a1a66a84b402844256397aaddb8b29cf402c8811d2a1731240aad18bdc,1dc2f4b1536fd8dac8d45c9f1640cf6dd5aeb4cdc1e283c82b5db3edc301f9f7,37,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_005,f120c2d0-1b16-53a1-b918-a955b77833bf,buy_005,BUY,5,AUTHENTICATED_COLD,54bd4e5284821d3832f9b2cd52665dc3e6bee2aeb87776026656dbd6d68ba4fa,20f454a1a66a84b402844256397aaddb8b29cf402c8811d2a1731240aad18bdc,1dc2f4b1536fd8dac8d45c9f1640cf6dd5aeb4cdc1e283c82b5db3edc301f9f7,37,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_006,6365a3b6-d13b-503d-990d-c4cb31fa068b,buy_006,BUY,6,AUTHENTICATED_COLD,4a757941128bedba10eb5d61eaa0801d317a59feb2007e54b5202f32a856d1ef,20f454a1a66a84b402844256397aaddb8b29cf402c8811d2a1731240aad18bdc,1dc2f4b1536fd8dac8d45c9f1640cf6dd5aeb4cdc1e283c82b5db3edc301f9f7,37,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_007,1a16307c-36a4-5d05-b484-15c2f9116606,buy_007,BUY,7,AUTHENTICATED_COLD,dc6e515818f8eb1652e99c864d6d5e61e492d0a72202a16f898a71abb882782a,29ab35e956fcde45204e7bf3688376cff4bba8f61b5f578c95b448d952de6371,473e29d6b7daabec15a242518737c9121e6c79644c41126e9eae3d27cd8b835c,36,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_009,b1acc034-8ad9-59e8-92c5-c425452e237f,buy_009,BUY,9,AUTHENTICATED_COLD,02c22d31946152aa57f6353dd751cf94648e4b50b3d929ecce80eb4fd4bbd040,29ab35e956fcde45204e7bf3688376cff4bba8f61b5f578c95b448d952de6371,473e29d6b7daabec15a242518737c9121e6c79644c41126e9eae3d27cd8b835c,36,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_010,eacc979d-7bd5-5462-9c7f-2e8d46fb10b5,buy_010,BUY,10,AUTHENTICATED_COLD,41208c81455a941972a3e89be1a160b7e7309eecb9c583eab81ecfb4c83ccf8c,20f454a1a66a84b402844256397aaddb8b29cf402c8811d2a1731240aad18bdc,1dc2f4b1536fd8dac8d45c9f1640cf6dd5aeb4cdc1e283c82b5db3edc301f9f7,37,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_011,7b8cb5e1-c09e-539e-95d9-658486994b86,buy_011,BUY,11,AUTHENTICATED_COLD,3e7d91fa3a834f27362b019d6b02fb5e85f2ca9fdb417a6d6a2fa6eae0ef4b5e,d517928934127c078444f5c48910335319b79128875b1df0b1fb3372e554faa6,999c218c63f87456e118df3f8be599db38a227bc80f1e64d3c3e29d1287a7590,35,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_008,17d4019b-8a0f-5003-a8b0-3f0bcdb0e81c,buy_008,BUY,8,AUTHENTICATED_COLD,84ba2d9754434cabb35bd4279f3fe8b391c60e637ee43cb61e0d38b760af6765,20f454a1a66a84b402844256397aaddb8b29cf402c8811d2a1731240aad18bdc,1dc2f4b1536fd8dac8d45c9f1640cf6dd5aeb4cdc1e283c82b5db3edc301f9f7,37,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,
