check,parent,integration,result
worktree commit,73d81a93e7df539d51f7496c3b3c9a428611e29c,b0bdc4d72f23876398b707db72450a560718ef4a,EXPECTED_VARIABLE
Include tree SHA-256,b8d2232d92096c650cd956c249cc4cbdb2fc9197f6633becefd697a49255cf1f,1663d76d1ea90e1bd385987b5ebae61b69b58aa0e56232677d783f0a8a5721f3,EXPECTED_VARIABLE
EA source SHA-256,8c5457fc7cc7b10af168f89089b7320a5118d43078f87ed73232de18bbe0d4fc,8c5457fc7cc7b10af168f89089b7320a5118d43078f87ed73232de18bbe0d4fc,IDENTICAL
EX5 SHA-256,897bea184c3d7e9bf7b6e55748beefae8ebccdcac945f378aa6eb71c2eec3c88,9f021ec3e74f82c927e25ddd087ad777c5859a3374dfe978454526c9820263c3,COMPILED_PRIVATE
Setfile SHA-256,bbc838facbd272824da0134aadc81cee5704989d63c8bbf42c2465ca0e16f4b4,bbc838facbd272824da0134aadc81cee5704989d63c8bbf42c2465ca0e16f4b4,IDENTICAL
Symbol/period,EURUSD.DWX/H1,EURUSD.DWX/H1,IDENTICAL
Window,2022.07.01..2022.12.31,2022.07.01..2022.12.31,IDENTICAL
Model/seed,4/42,4/42,IDENTICAL
History SHA-256,9cb641a3b124af1c418868c842748a9dbf1abec5a9b59a07c1ebc24295185816,9cb641a3b124af1c418868c842748a9dbf1abec5a9b59a07c1ebc24295185816,IDENTICAL
Deals rows,69,69,IDENTISCH
Canonical Deals SHA-256,8b5bfa3870764060ae90483338b72f60f5c5c4fcf1ec643640274aec985371a8,8b5bfa3870764060ae90483338b72f60f5c5c4fcf1ec643640274aec985371a8,IDENTISCH
Integration opt_pp echo,not exposed by parent Include tree,"{""opt_pp_buy1"": ""0"", ""opt_pp_buy2"": ""0"", ""opt_pp_buy3"": ""0"", ""opt_pp_sell1"": ""0"", ""opt_pp_sell2"": ""0"", ""opt_pp_sell3"": ""0""}",PASS
