kind,logical_magic,path,sha256,rows
manifest,,D:\QM\reports\portfolio\portfolio_manifest_sunday_final_24sleeve_DRAFT_20260719.json,5ce872cc4ff92fe849edcfbcb9d1fd8e4e75d0b0d9892cdc025f6590f008fb8a,24
decision_record,,C:\QM\repo\decisions\2026-07-19_t_live_dxz_sunday_final_book.md,41d202525796f67429d39f2676392e7139327321e6608debc7f905662619eeee,
staging_report,,C:\QM\deploy\DXZ_FINAL_2026-07-19\staging_report.json,e1529c38fc9d37965d3ace6fa4e2a97a8f75010a2bcc369b8c4a27373565c939,
magic_registry,,C:\QM\repo\framework\registry\magic_numbers.csv,0fd00da3f1ee0e0fa4829c83e18ff90866cfb4b98222a227ca26f166189d93c6,
tool_source,,C:\QM\repo\tools\strategy_farm\portfolio\dxz_live_blend_reweight.py,55835d5646bcb88755f11f9e0a7facd9d5f7636adbdd994a1d37b0d8e2359e25,
commission_registry,,C:\QM\repo\framework\registry\live_commission.json,119f795cefce2f819f0c7aae3bddb87affbffa771f596df48d182cf89989e197,
backtest_stream,15560004,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\1556_XAUUSD_DWX.jsonl,b7d5d73ce64d2a8f3be582cec38401e19606c4b1171815e3969fa2c68dbb3834,53
backtest_stream,15670007,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\1567_EURUSD_DWX.jsonl,54247fd1142f9a504ae0cceba99aa7acb0e1e1a1fac656cc2896e6edc72e693a,86
backtest_stream,104030002,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\10403_XAUUSD_DWX.jsonl,ee7346670371c1fe8b411b9037075d2526bb94b174eb6128fddb7d8b8b34b924,209
backtest_stream,104400003,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\10440_NDX_DWX.jsonl,d64a14f881e2cb2ae8ab376fb95b1b5a3819d527d18dc5937b44d738d3bff722,618
backtest_stream,105130003,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\10513_XAUUSD_DWX.jsonl,81d723c9b7f570d0c25ddbbd71d801724b1c8178f2eab3e12c7b7d7a6ad3f89e,76
backtest_stream,107060001,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\10706_GBPUSD_DWX.jsonl,3649e35f89030017e5e5fc07517bed476244dd22ca2534766cb8e8c25364d9a7,367
backtest_stream,109110003,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\10911_GDAXI_DWX.jsonl,155ed7ce43f26c8e9fa2295bf5de6eae205a9aff592413319a53f13714b36ed8,331
backtest_stream,109190001,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\10919_XTIUSD_DWX.jsonl,b70c60f0e30be2008374c0815dbbfa5226f621f76b89f81909e65a05bf27aecb,30
backtest_stream,109390001,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\10939_GBPUSD_DWX.jsonl,6e667ecf604331a7a1b0c0d793345b7c08c560e399f1b3a6bf3920b1d07f4d93,92
backtest_stream,111320000,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\11132_SP500_DWX.jsonl,1b2bc25398062d04e8572297121dd2a40d613f9e84db62a852113a97c451bb43,73
backtest_stream,111650002,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\11165_AUDCAD_DWX.jsonl,86f929e74fa101eacca7c92d77f3fed670ae5df8cea01c742621785816fd42a3,207
backtest_stream,111650000,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\11165_EURUSD_DWX.jsonl,bdcf2c0934689dec50feb011ebb90a72ba6fd62cf62247c1c2e1d92760f6045d,260
backtest_stream,114210003,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\11421_AUDUSD_DWX.jsonl,8edaa1013e1993d19d90f43a13f7a073e2fae0d5bf89f833ed3fc90fe7a1fcb8,81
backtest_stream,114210000,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\11421_EURUSD_DWX.jsonl,7ad106530db79e93ac24a136a451c856a3660823f5d99c0c7130a20df90d3902,92
backtest_stream,117080000,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\11708_EURUSD_DWX.jsonl,c0e69074fe8b4a6a94c91129715e9545014af2c1342ea5aa93ab1d5d9372998f,178
backtest_stream,125670003,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\12567_XAUUSD_DWX.jsonl,e938a966f4c9a2a1b8653452cbc01f6d8138355909dfad70beb6bde3b5de17f2,73
backtest_stream,125670002,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\12567_XNGUSD_DWX.jsonl,65fe45eb6468ae8830a2aa2bb13e0f7e55baf9f5e6f8535a9442aba53601b743,58
backtest_stream,127780000,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\12778_AUDUSD_DWX.jsonl,2f956e85c885fa32de48a1bbafb9ae235fe8bea822bdc0d665dc3c5cfc73d642,195
backtest_stream,129690000,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\12969_USDJPY_DWX.jsonl,8b8adfa4829218e614646a302311cc26ce63611de99ba51d788847e8ff1aa445,331
backtest_stream,129890003,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\12989_XAUUSD_DWX.jsonl,5c736d370f64ff88f6129454ece2d086ad06403caeae3848a5bbc0df3c5d8ac2,51
backtest_stream,131170000,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\13117_EURGBP_DWX.jsonl,6df9a10a9f46fbd3df7dace6bc5cd448b904bcb28cbccfe91dde9d38915ec327,208
backtest_stream,131280000,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\13128_NDX_DWX.jsonl,76abad49ccdac838aeecea4bdeafc3f60ed3ef131e2c28885476c6c0a687e1b3,56
backtest_stream,132130000,D:\QM\reports\portfolio\dxz_final_20260719\QM\q08_trades\13213_USDJPY_DWX.jsonl,f9d0449b7f068506f8de94d2b6653f2bcea7b5f5842f78df937c5f5e8f8711b2,1587
