train_end,pseudo_live_start,pseudo_live_end,oos_start,oos_end,observed_days,mean_active_alpha,pairs_scored,baseline_log_mse,blended_log_mse,winner,baseline_oos_ann_vol_pct,blended_oos_ann_vol_pct,baseline_oos_darwin_proxy_pct,blended_oos_darwin_proxy_pct,baseline_oos_maxdd_pct,blended_oos_maxdd_pct,baseline_oos_worst_day_pct,blended_oos_worst_day_pct
2019-09-12,2019-09-13,2019-09-26,2019-09-27,2019-10-25,10,0.05952381,18,0.4607007314,0.4995321106,BASELINE,3.27365699,3.31509967,-64.98885584,-56.34143301,1.36134883,1.16630248,-0.35576272,-0.35164279
2019-09-12,2019-09-13,2019-10-11,2019-10-14,2019-11-11,21,0.29166667,17,0.49708341,0.6259280603,BASELINE,2.85112356,2.80208868,-74.38311846,-47.61683786,1.59759006,1.25863328,-0.52485879,-0.47362966
2019-09-12,2019-09-13,2019-11-11,2019-11-12,2019-12-10,42,0.75,16,0.6208638918,0.7791486023,BASELINE,2.63249664,1.98368621,-7.52503307,27.85726751,0.71844717,0.39748054,-0.31949121,-0.16032334
2019-12-10,2019-12-11,2019-12-24,2019-12-25,2020-01-22,10,0.03968254,17,0.5729444928,0.5555065335,BLEND,4.96362843,4.7998572,149.89520026,176.09285722,0.42400567,0.32756963,-0.21903878,-0.20830621
2019-12-10,2019-12-11,2020-01-08,2020-01-09,2020-02-06,21,0.22916667,16,0.3729617471,0.2965051685,BLEND,2.99003105,2.60855545,49.80826474,46.96126367,0.67955426,0.60986221,-0.25874463,-0.26911392
2019-12-10,2019-12-11,2020-02-06,2020-02-07,2020-03-06,42,0.625,16,0.8383761834,0.6444352369,BLEND,6.41418928,4.78415068,38.31975403,38.74155655,1.73098352,1.15562984,-0.80513621,-0.65843299
2020-03-06,2020-03-09,2020-03-20,2020-03-23,2020-04-20,10,0.10912698,17,1.5625017856,1.7516680528,BASELINE,4.7413333,5.47916668,140.34598052,144.13272459,0.82135131,0.84895218,-0.59195398,-0.70979719
2020-03-06,2020-03-09,2020-04-06,2020-04-07,2020-05-05,21,0.25,18,1.6877155519,1.8617502207,BASELINE,4.11430599,4.65091081,169.41499755,241.20444768,0.4279046,0.38235806,-0.25220238,-0.20482921
2020-03-06,2020-03-09,2020-05-05,2020-05-06,2020-06-03,42,0.79166667,15,0.2886878739,0.4908398398,BASELINE,3.34083139,4.19556355,162.75584432,149.64411907,0.52224058,0.43168974,-0.52224058,-0.43168974
2020-06-03,2020-06-04,2020-06-17,2020-06-18,2020-07-16,10,0.04960317,14,0.4404096527,0.5752483147,BASELINE,3.44247409,3.42094381,62.18552545,77.18438264,0.5939003,0.53859992,-0.33363893,-0.29812512
2020-06-03,2020-06-04,2020-07-02,2020-07-03,2020-07-31,21,0.20833333,18,1.7497220277,1.8696113005,BASELINE,3.55998967,3.48722906,119.63492542,212.48770664,0.38129606,0.24500774,-0.32020162,-0.18307083
2020-06-03,2020-06-04,2020-07-31,2020-08-03,2020-08-31,42,0.625,17,0.303043494,0.466871974,BASELINE,3.32106696,3.11330312,68.95997919,34.67849616,0.39560111,0.46357443,-0.38655567,-0.44456203
2020-08-31,2020-09-01,2020-09-14,2020-09-15,2020-10-13,10,0.06944444,17,0.5953187464,0.6382281208,BASELINE,3.97938137,4.11475372,-2.79200078,-8.9727826,1.2235973,1.34446835,-0.4170903,-0.43781025
2020-08-31,2020-09-01,2020-09-29,2020-09-30,2020-10-28,21,0.22916667,14,0.5356868554,0.5544073493,BASELINE,4.8914722,5.10144075,198.71640882,248.97671775,0.47512173,0.48368885,-0.32128935,-0.36263293
2020-08-31,2020-09-01,2020-10-28,2020-10-29,2020-11-26,42,0.66666667,18,2.7451988292,3.6195079882,BASELINE,4.11768155,5.0657884,23.44419698,14.277614,0.93695106,1.15187079,-0.40587442,-0.95047009
2020-11-26,2020-11-27,2020-12-10,2020-12-11,2021-01-08,10,0.03968254,18,0.5451723152,0.5440257489,BLEND,5.2981654,5.3400691,2.99914866,4.11046168,1.46980225,1.45699085,-0.59672926,-0.5915943
2020-11-26,2020-11-27,2020-12-25,2020-12-28,2021-01-25,21,0.22916667,17,0.7282653862,0.6110126101,BLEND,4.73284328,4.38354188,-42.17782685,-44.4977577,1.78450098,1.71812995,-0.59672926,-0.57538057
2020-11-26,2020-11-27,2021-01-25,2021-01-26,2021-02-23,42,0.75,17,0.7161410752,0.5405357591,BLEND,2.33680681,1.72205609,-4.62796922,-18.88523494,0.68275184,0.49288314,-0.37216282,-0.29226494
2021-02-23,2021-02-24,2021-03-09,2021-03-10,2021-04-07,10,0.06944444,17,0.3930586429,0.4425304242,BASELINE,4.21501358,4.25654717,-25.50616192,-27.49803711,1.40071672,1.46875891,-0.85506561,-0.86423844
2021-02-23,2021-02-24,2021-03-24,2021-03-25,2021-04-22,21,0.29166667,12,1.2268840923,1.0311802904,BLEND,2.22112531,2.16604571,32.48687274,44.35182995,0.33049488,0.36123995,-0.24130009,-0.25082921
2021-02-23,2021-02-24,2021-04-22,2021-04-23,2021-05-21,42,0.66666667,15,0.5204575642,0.6659334368,BASELINE,4.85385993,4.66724483,59.83629204,38.87718334,0.97908633,1.11940039,-0.63755671,-0.61160375
2021-05-21,2021-05-24,2021-06-04,2021-06-07,2021-07-05,10,0.06944444,18,0.3597642501,0.350616516,BLEND,3.66310847,3.5614352,0.52770787,1.38837073,0.83676358,0.78657268,-0.51049085,-0.51287213
2021-05-21,2021-05-24,2021-06-21,2021-06-22,2021-07-20,21,0.20833333,14,0.2085108442,0.2563082403,BASELINE,2.31557712,2.14405694,42.40344431,65.84006629,0.54511024,0.46537573,-0.34277047,-0.31469851
2021-05-21,2021-05-24,2021-07-20,2021-07-21,2021-08-18,42,0.58333333,18,2.0579056927,1.8484045614,BLEND,3.05867187,3.60445557,166.14692685,88.44397115,0.67755969,0.98750586,-0.4921622,-0.78237173
2021-08-18,2021-08-19,2021-09-01,2021-09-02,2021-09-30,10,0.06944444,15,2.0538093755,2.0074045669,BLEND,2.21532222,2.13611123,38.41478744,32.69292953,0.39573567,0.39952339,-0.24956372,-0.25945411
2021-08-18,2021-08-19,2021-09-16,2021-09-17,2021-10-15,21,0.1875,19,0.5173906475,0.512320964,BLEND,3.91486014,3.84165572,325.75402391,308.57851982,0.39573567,0.41355338,-0.15454691,-0.15772838
2021-08-18,2021-08-19,2021-10-15,2021-10-18,2021-11-15,42,0.58333333,18,0.4821712392,0.7839607951,BASELINE,3.29582234,3.12070479,156.54937546,193.14758101,0.46365495,0.41630624,-0.45032381,-0.40127901
2021-11-15,2021-11-16,2021-11-29,2021-11-30,2021-12-28,10,0.06944444,18,0.7564049761,0.812187561,BASELINE,2.73387121,2.83364155,-43.00966189,-43.90117101,1.31125795,1.36593832,-0.47782224,-0.4931197
2021-11-15,2021-11-16,2021-12-14,2021-12-15,2022-01-12,21,0.22916667,15,0.807250816,0.8306746776,BASELINE,2.39570025,2.29845765,-38.38603247,-38.65890456,0.83077992,0.82348196,-0.47782224,-0.4655775
2021-11-15,2021-11-16,2022-01-12,2022-01-13,2022-02-10,42,0.70833333,19,1.4766416358,1.6580932022,BASELINE,3.59112906,4.00460082,4.59061044,-11.50997556,0.96054028,1.46645031,-0.41832882,-0.54097026
2022-02-10,2022-02-11,2022-02-24,2022-02-25,2022-03-25,10,0.05952381,20,0.4018906449,0.4093431097,BASELINE,3.66675029,3.79562444,49.63853793,50.66552733,0.44538509,0.4212636,-0.39528626,-0.38556525
2022-02-10,2022-02-11,2022-03-11,2022-03-14,2022-04-11,21,0.29166667,21,0.4151907933,0.5528598619,BASELINE,2.85038256,2.7704526,60.21222798,46.6741288,0.61372052,0.64469927,-0.39528626,-0.34469568
2022-02-10,2022-02-11,2022-04-11,2022-04-12,2022-05-10,42,0.875,19,0.5172938206,0.5216511177,BASELINE,5.05026344,4.28213806,-42.5940045,-40.69937546,2.39978727,2.08223526,-0.72464086,-0.65687957
2022-05-10,2022-05-11,2022-05-24,2022-05-25,2022-06-22,10,0.06944444,15,0.2824235495,0.315201549,BASELINE,2.58491283,2.61043491,35.95843402,33.62882948,0.47782603,0.51620731,-0.29440943,-0.33281796
2022-05-10,2022-05-11,2022-06-08,2022-06-09,2022-07-07,21,0.22916667,17,0.4169116382,0.3732643996,BLEND,2.31985678,1.99581943,51.14028798,24.20672411,0.31241391,0.29426015,-0.27177485,-0.283803
2022-05-10,2022-05-11,2022-07-07,2022-07-08,2022-08-05,42,0.625,18,0.275942127,0.2415387725,BLEND,2.77742481,2.37950524,5.69724996,5.81070851,0.75567253,0.49261936,-0.41973159,-0.25059804
2022-08-05,2022-08-08,2022-08-19,2022-08-22,2022-09-19,10,0.05952381,16,0.3446479643,0.4121912934,BASELINE,2.55123808,2.60432719,140.76058693,151.74137511,0.32813939,0.3428778,-0.32813939,-0.3428778
2022-08-05,2022-08-08,2022-09-05,2022-09-06,2022-10-04,21,0.22916667,18,1.2319773399,1.3823532331,BASELINE,3.19276134,3.21394802,15.12544737,14.31642942,0.69865148,0.70497018,-0.43132714,-0.45081165
2022-08-05,2022-08-08,2022-10-04,2022-10-05,2022-11-02,42,0.625,15,0.2889741951,0.2524145348,BLEND,3.42065162,3.25616615,-53.76529098,-56.34685206,1.35264998,1.39716675,-0.74121598,-0.71126395
2022-11-02,2022-11-03,2022-11-16,2022-11-17,2022-12-15,10,0.07936508,16,0.950876975,1.1348669775,BASELINE,2.75205305,3.10052867,191.64873861,214.0038851,0.30801548,0.23756886,-0.14259239,-0.14027522
2022-11-02,2022-11-03,2022-12-01,2022-12-02,2022-12-30,21,0.25,15,0.4265435634,0.5836380043,BASELINE,2.86168344,2.6617489,90.69200251,78.34005504,0.34547386,0.29774913,-0.34547386,-0.29774913
2022-11-02,2022-11-03,2022-12-30,2023-01-02,2023-01-30,42,0.625,18,1.8839540387,1.9551200374,BASELINE,5.54658,4.97010201,63.76064911,97.42510452,0.6054724,0.63079928,-0.60522313,-0.59175564
2023-01-30,2023-01-31,2023-02-13,2023-02-14,2023-03-14,10,0.08928571,16,0.8092523505,0.9665783768,BASELINE,1.85130548,1.91546857,147.96117756,164.67896736,0.19063759,0.19255526,-0.1161946,-0.12369426
2023-01-30,2023-01-31,2023-02-28,2023-03-01,2023-03-29,21,0.22916667,17,0.594707671,0.5813943262,BLEND,3.75775198,4.05662929,110.38553091,75.09466674,0.58967924,0.6904928,-0.51029321,-0.52341261
2023-01-30,2023-01-31,2023-03-29,2023-03-30,2023-04-27,42,0.70833333,13,0.6545583736,1.1928773452,BASELINE,1.46552916,1.72410148,-93.01201122,-103.98946334,1.34763314,1.56663797,-0.2803676,-0.38882405
2023-04-27,2023-04-28,2023-05-11,2023-05-12,2023-06-09,10,0.05952381,17,2.394009569,2.4264295911,BASELINE,2.69898469,2.7175095,65.43635854,58.38061192,0.62294933,0.64033908,-0.24513354,-0.24913586
2023-04-27,2023-04-28,2023-05-26,2023-05-29,2023-06-26,21,0.22916667,19,0.6611005485,0.6287259652,BLEND,4.03419196,3.94209919,-0.93400247,-11.67990958,0.82668096,0.81562412,-0.70519488,-0.70271034
2023-04-27,2023-04-28,2023-06-26,2023-06-27,2023-07-25,42,0.66666667,15,0.3615528977,0.3241762385,BLEND,2.68050049,2.62777498,9.60652868,12.88627008,0.88003477,0.82807528,-0.48703005,-0.40079108
2023-07-25,2023-07-26,2023-08-08,2023-08-09,2023-09-06,10,0.08928571,18,1.4287318482,1.4424334358,BASELINE,3.97843585,3.99930467,27.20433849,27.51839539,0.72979616,0.67957226,-0.62552416,-0.56870869
2023-07-25,2023-07-26,2023-08-23,2023-08-24,2023-09-21,21,0.29166667,19,2.4673633483,2.7180062641,BASELINE,4.32113842,4.55408859,30.81407899,23.46629996,1.10776069,1.1389029,-0.76436667,-0.79249007
2023-07-25,2023-07-26,2023-09-21,2023-09-22,2023-10-20,42,0.75,19,0.2876451771,0.3879479228,BASELINE,2.48771924,3.44141879,17.51675184,21.70380214,0.45217031,0.98709524,-0.34994614,-0.44640333
2023-10-20,2023-10-23,2023-11-03,2023-11-06,2023-12-04,10,0.04960317,19,0.4739600682,0.5441407419,BASELINE,8.82007313,8.93507349,74.32453218,77.75225806,0.74060807,0.74984987,-0.74060807,-0.74984987
2023-10-20,2023-10-23,2023-11-20,2023-11-21,2023-12-19,21,0.22916667,20,0.5376888401,0.4769998554,BLEND,8.34111382,7.37661552,70.21840466,54.94109373,0.75381415,0.71188918,-0.57416232,-0.57956957
2023-10-20,2023-10-23,2023-12-19,2023-12-20,2024-01-17,42,0.83333333,17,0.2889179178,0.3962952122,BASELINE,3.155903,2.69064798,35.6052018,57.72395208,0.73919736,0.74828889,-0.25512255,-0.33780576
2024-01-17,2024-01-18,2024-01-31,2024-02-01,2024-02-29,10,0.05952381,16,0.6963075857,0.7755022177,BASELINE,2.6739915,2.71089689,-63.60691644,-63.03443005,1.43884744,1.45423775,-0.46585098,-0.46707404
2024-01-17,2024-01-18,2024-02-15,2024-02-16,2024-03-15,21,0.1875,16,0.4490511392,0.459110298,BASELINE,5.63632804,5.82288999,72.52190198,73.3507077,0.79552745,0.77303893,-0.46585098,-0.46957866
2024-01-17,2024-01-18,2024-03-15,2024-03-18,2024-04-15,42,0.66666667,17,0.7601963055,0.6813881814,BLEND,3.04629791,2.44311244,244.56900057,226.28948108,0.44401383,0.31797812,-0.43493312,-0.30832218
2024-04-15,2024-04-16,2024-04-29,2024-04-30,2024-05-28,10,0.06944444,18,0.6857307425,0.6905643287,BASELINE,3.62679147,3.70379293,-18.18419448,-19.59903579,1.08034426,1.11514865,-0.51912325,-0.53730567
2024-04-15,2024-04-16,2024-05-14,2024-05-15,2024-06-12,21,0.25,19,0.5904893948,0.5545896419,BLEND,5.05365422,5.09031319,86.06108269,114.56030737,1.08034426,1.07646816,-0.51912325,-0.5093787
2024-04-15,2024-04-16,2024-06-12,2024-06-13,2024-07-11,42,0.75,18,1.080831371,1.0559775893,BLEND,3.66579542,3.66849369,22.57122726,16.28998541,0.67373772,0.58301941,-0.44485143,-0.39482315
2024-07-11,2024-07-12,2024-07-25,2024-07-26,2024-08-23,10,0.06944444,19,1.2623452889,1.245391877,BLEND,3.45959958,3.37367044,241.27617165,221.07997327,0.29650563,0.29309247,-0.29650563,-0.29309247
2024-07-11,2024-07-12,2024-08-09,2024-08-12,2024-09-09,21,0.27083333,18,1.8662829569,1.9521635588,BASELINE,2.69523664,2.88842393,17.81392885,8.44973193,0.93430399,1.06053174,-0.39428094,-0.46031973
2024-07-11,2024-07-12,2024-09-09,2024-09-10,2024-10-08,42,0.75,20,1.5846478546,1.8142937363,BASELINE,4.56879586,4.05851257,432.50490047,381.30387998,0.31529351,0.25326282,-0.15823013,-0.09584086
2024-10-08,2024-10-09,2024-10-22,2024-10-23,2024-11-20,10,0.07936508,20,1.2728979531,1.181267075,BLEND,4.59599049,4.22403928,402.96699921,361.265101,0.38652037,0.40199532,-0.36588163,-0.37978911
2024-10-08,2024-10-09,2024-11-06,2024-11-07,2024-12-05,21,0.29166667,18,1.7427415402,1.837085776,BASELINE,4.07105602,4.1962128,334.74618621,341.82886556,0.38652037,0.40763323,-0.36588163,-0.38318411
2024-10-08,2024-10-09,2024-12-05,2024-12-06,2025-01-03,42,0.70833333,20,1.1774502371,1.4902993105,BASELINE,3.0504483,2.90575651,4.6086156,-6.48757462,0.94298648,1.05451778,-0.30161755,-0.33098608
2025-01-03,2025-01-06,2025-01-17,2025-01-20,2025-02-17,10,0.07936508,14,0.3791517841,0.358332837,BLEND,3.92587259,3.69909254,116.8262142,101.96499195,0.63095204,0.64513057,-0.36428463,-0.36247013
2025-01-03,2025-01-06,2025-02-03,2025-02-04,2025-03-04,21,0.25,13,0.2625975605,0.2421857827,BLEND,5.01923112,4.71038571,2.39837016,-2.81855724,1.0974653,1.08131055,-0.66383238,-0.65507473
2025-01-03,2025-01-06,2025-03-04,2025-03-05,2025-04-02,42,0.58333333,19,0.8491758554,0.908666669,BASELINE,4.29216031,3.6146231,282.22389851,366.25261136,0.43527855,0.22373081,-0.31400159,-0.13078879
2025-04-02,2025-04-03,2025-04-16,2025-04-17,2025-05-15,10,0.06944444,19,0.3714394253,0.4775328676,BASELINE,3.07786705,3.20313608,52.20493955,45.93178759,0.47103779,0.62008843,-0.44586116,-0.46258274
2025-04-02,2025-04-03,2025-05-01,2025-05-02,2025-05-30,21,0.20833333,18,0.8012878987,0.8432402625,BASELINE,3.78100214,3.63515577,73.54845775,83.75973723,0.53935948,0.50426748,-0.53935948,-0.38276233
2025-04-02,2025-04-03,2025-05-30,2025-06-02,2025-06-30,42,0.70833333,17,0.6393792532,0.7283669939,BASELINE,3.6988559,4.06771913,67.47472529,45.63744471,0.55242468,0.75936903,-0.50806152,-0.70932366
2025-06-30,2025-07-01,2025-07-14,2025-07-15,2025-08-12,10,0.07936508,14,0.3836538714,0.388581926,BASELINE,3.87510159,3.86098455,113.34477233,81.46426138,0.64075254,0.61854628,-0.42954669,-0.42267071
2025-06-30,2025-07-01,2025-07-29,2025-07-30,2025-08-27,21,0.22916667,16,1.1339168835,1.2482015925,BASELINE,3.75061458,3.7744463,90.19636732,83.76543345,0.6439919,0.65204414,-0.33459413,-0.33546046
2025-06-30,2025-07-01,2025-08-27,2025-08-28,2025-09-25,42,0.58333333,14,0.2702213965,0.2236376126,BLEND,3.11783172,2.98570063,340.34482485,323.44595248,0.05573706,0.06311177,-0.05356502,-0.06311177
2025-09-25,2025-09-26,2025-10-09,2025-10-10,2025-11-07,10,0.04960317,15,1.5216892132,1.4761478045,BLEND,2.61949824,2.53338839,156.20538782,153.10263048,0.26786433,0.26911477,-0.16889747,-0.1699999
2025-09-25,2025-09-26,2025-10-24,2025-10-27,2025-11-24,21,0.14583333,16,0.7867881373,0.7623736425,BLEND,3.15522948,3.29571424,3.07759487,6.67195919,0.69782875,0.71422354,-0.33901438,-0.38255959
2025-09-25,2025-09-26,2025-11-24,2025-11-25,2025-12-23,42,0.54166667,17,1.4221367941,1.4556907788,BASELINE,3.21546787,3.1906031,8.41438398,38.64102521,0.71661458,0.47244806,-0.52985333,-0.3366434
