ea_id,symbol,logical_magic,current_risk_percent,backtest_daily_vol_1pct,live_daily_vol_1pct,observed_live_sessions,live_vol_window_sessions,live_closed_position_count,alpha,blended_daily_vol_1pct,shadow_weight_percent_not_for_use,shadow_delta_vs_current,hold_reason
1556,XAUUSD.DWX,15560004,0.601729,77.2010863,0.0,0,0,0,0.0,77.2010863,,,INSUFFICIENT_LIVE_SESSIONS
1567,EURUSD.DWX,15670007,0.179051,259.44757539,0.0,0,0,0,0.0,259.44757539,,,INSUFFICIENT_LIVE_SESSIONS
10403,XAUUSD.DWX,104030002,0.220397,210.77145331,0.0,0,0,0,0.0,210.77145331,,,INSUFFICIENT_LIVE_SESSIONS
10440,NDX.DWX,104400003,0.057749,804.41210327,0.0,0,0,0,0.0,804.41210327,,,INSUFFICIENT_LIVE_SESSIONS
10513,XAUUSD.DWX,105130003,0.304951,152.3302632,0.0,0,0,0,0.0,152.3302632,,,INSUFFICIENT_LIVE_SESSIONS
10706,GBPUSD.DWX,107060001,0.05303,875.99505782,0.0,0,0,0,0.0,875.99505782,,,INSUFFICIENT_LIVE_SESSIONS
10911,GDAXI.DWX,109110003,0.12756,364.16520938,0.0,0,0,0,0.0,364.16520938,,,INSUFFICIENT_LIVE_SESSIONS
10919,XTIUSD.DWX,109190001,0.918127,50.60008914,0.0,0,0,0,0.0,50.60008914,,,INSUFFICIENT_LIVE_SESSIONS
10939,GBPUSD.DWX,109390001,0.188724,246.14750531,0.0,0,0,0,0.0,246.14750531,,,INSUFFICIENT_LIVE_SESSIONS
11132,SP500.DWX,111320000,0.456203,101.82620487,0.0,0,0,0,0.0,101.82620487,,,INSUFFICIENT_LIVE_SESSIONS
11165,AUDCAD.DWX,111650002,0.522974,88.82337435,0.0,0,0,0,0.0,88.82337435,,,INSUFFICIENT_LIVE_SESSIONS
11165,EURUSD.DWX,111650000,0.41273,112.54868538,0.0,0,0,0,0.0,112.54868538,,,INSUFFICIENT_LIVE_SESSIONS
11421,AUDUSD.DWX,114210003,0.361431,128.52317152,0.0,0,0,0,0.0,128.52317152,,,INSUFFICIENT_LIVE_SESSIONS
11421,EURUSD.DWX,114210000,0.336387,138.09227575,0.0,0,0,0,0.0,138.09227575,,,INSUFFICIENT_LIVE_SESSIONS
11708,EURUSD.DWX,117080000,0.507971,91.44828243,0.0,0,0,0,0.0,91.44828243,,,INSUFFICIENT_LIVE_SESSIONS
12567,XAUUSD.DWX,125670003,0.746532,62.22612821,0.0,0,0,0,0.0,62.22612821,,,INSUFFICIENT_LIVE_SESSIONS
12567,XNGUSD.DWX,125670002,0.979669,47.41665044,0.0,0,0,0,0.0,47.41665044,,,INSUFFICIENT_LIVE_SESSIONS
12778,AUDUSD.DWX,127780000,0.490483,94.70707664,0.0,0,0,0,0.0,94.70707664,,,INSUFFICIENT_LIVE_SESSIONS
12969,USDJPY.DWX,129690000,0.510041,91.08261954,0.0,0,0,0,0.0,91.08261954,,,INSUFFICIENT_LIVE_SESSIONS
12989,XAUUSD.DWX,129890003,0.241974,191.97759006,0.0,0,0,0,0.0,191.97759006,,,INSUFFICIENT_LIVE_SESSIONS
13117,EURGBP.DWX,131170000,0.419924,110.6244759,0.0,0,0,0,0.0,110.6244759,,,INSUFFICIENT_LIVE_SESSIONS
13128,NDX.DWX,131280000,1.0,37.87290233,0.0,0,0,0,0.0,37.87290233,,,INSUFFICIENT_LIVE_SESSIONS
13213,USDJPY.DWX,132130000,0.043115,1077.45725602,0.0,0,0,0,0.0,1077.45725602,,,INSUFFICIENT_LIVE_SESSIONS
13301,GDAXI.DWX,133010010,0.069247,670.86753712,0.0,0,0,0,0.0,670.86753712,,,INSUFFICIENT_LIVE_SESSIONS
