config,p1_scale,p2_scale,fund_scale,K,p_ge1_payout_pct,first_payout_med_active_days,first_payout_med_cal_days,e_num_paid,e_net_fee_burn_eur
aggressive,6.0,4.0,2.0,1,18.0,51,67,0.18,443
aggressive,6.0,4.0,2.0,3,44.9,47,62,0.54,1328
aggressive,6.0,4.0,2.0,5,63.0,45,59,0.90,2212
balanced,5.0,3.0,2.0,1,30.2,72,95,0.30,377
balanced,5.0,3.0,2.0,3,66.2,65,86,0.91,1130
balanced,5.0,3.0,2.0,5,83.5,58,76,1.51,1886
steady,4.0,3.0,2.0,1,40.6,91,120,0.41,321
steady,4.0,3.0,2.0,3,79.3,76,100,1.22,959
steady,4.0,3.0,2.0,5,92.5,65,86,2.03,1603
flat5,5.0,5.0,5.0,1,15.5,48,63,0.15,457
flat5,5.0,5.0,5.0,3,39.7,45,59,0.46,1369
flat5,5.0,5.0,5.0,5,57.1,43,57,0.77,2282
safe,3.0,3.0,2.0,1,50.5,120,158,0.51,267
safe,3.0,3.0,2.0,5,97.0,79,104,2.51,1344
