
Task                                             State Script                                                                                                                                                  Exists
----                                             ----- ------                                                                                                                                                  ------
QM_Agy_BalkeWindows                              Ready D:\QM\strategy_farm\logs\launch_agy_balke_windows.ps1                                                                                                    False
QM_Balke_Diagnostic                              Ready D:\QM\reports\balke_diagnostic\launch.ps1                                                                                                                 True
QM_Balke_Manual_NB3                              Ready                                                                                                                                                            n/a
QM_Balke_RangeBreakout_Sonnet                    Ready D:\QM\strategy_farm\logs\launch_sonnet_balke_rangebreakout.ps1                                                                                           False
QM_Balke_Walkforward                             Ready D:\QM\reports\balke_walkforward\launch_bwf.ps1                                                                                                            True
QM_BalkeMinute_WF                                Ready D:\QM\reports\balke_minute_wf\launch.ps1                                                                                                                  True
QM_ClaudeParallel_RestoreOnReset                 Ready                                                                                                                                                            n/a
QM_Codex_Multicurrency                           Ready D:\QM\strategy_farm\logs\launch_codex_multicurrency.ps1                                                                                                  False
QM_CodexParallel_RestoreOnReset                  Ready                                                                                                                                                            n/a
QM_FTMO_AtLogon                                  Ready C:\QM\repo\tools\strategy_farm\FTMO_ON.ps1                                                                                                                True
QM_FTMO_Round26_Prep_Sunday                      Ready C:\QM\repo\scripts\sunday_ftmo_round26_prep.ps1                                                                                                           True
QM_FTMO_TrialPulse                               Ready C:\QM\repo\tools\strategy_farm\ftmo_trial_pulse.py                                                                                                        True
QM_GoogleDrive_AtLogon                           Ready C:\QM\repo\scripts\start_google_drive.ps1                                                                                                                 True
QM_Live_MT5_SessionSupervisor                  Running C:\QM\repo\tools\strategy_farm\Live_MT5_SessionSupervisor.ps1                                                                                             True
QM_MorningBriefing_Vault                         Ready C:\QM\repo\tools\strategy_farm\morning_brief.py                                                                                                           True
QM_NDX_Convert                                   Ready                                                                                                                                                            n/a
QM_NDX_Dukas_Download                            Ready D:\QM\reports\ndx_rebuild\launch_download.ps1                                                                                                            False
QM_NDX_Pack                                      Ready D:\QM\reports\ndx_rebuild\pack_bin.py                                                                                                                    False
QM_NDX_Swarm_Download                            Ready D:\QM\reports\ndx_rebuild\launch_swarm.ps1                                                                                                               False
QM_NewBook_LiveVsBook_Sunday                     Ready C:\QM\repo\scripts\sunday_livevsbook_compare.ps1                                                                                                          True
QM_NewsCalendar_Refresh                          Ready C:\QM\repo\tools\strategy_farm\refresh_news_calendar.ps1                                                                                                  True
QM_NightlyBackup_Vault                           Ready C:\QM\repo\scripts\backup_nightly.ps1                                                                                                                     True
QM_PreSunday_Prep_Saturday                       Ready C:\QM\repo\tools\strategy_farm\saturday_presunday_check.py                                                                                                True
QM_Public_Snapshot_Hourly                        Ready C:\QM\repo\scripts\run_public_snapshot_task.ps1                                                                                                           True
QM_Q08_Neighborhood                              Ready D:\QM\reports\q08_neighborhood\launch.ps1                                                                                                                 True
QM_QM10834_AUDIT_74482231bd60c80a5518fc4a        Ready C:\QM\runtime_worktrees\QM5_10834_WS30_ALT002_FIX001\framework\EAs\QM5_10834_tv-nq-ict-ob\tools\candidate_analysis\audit_tv_nq_ict_ob_ws30_alternate.py   True
QM_QM10834_AUDIT_c9dd675e92f10d1f726cd54c        Ready C:\QM\repo\framework\EAs\QM5_10834_tv-nq-ict-ob\tools\candidate_analysis\audit_tv_nq_ict_ob_ws30.py                                                       True
QM_QM13210_XAU_AUDIT_2ec4ba1e251eaf13ee140c8b    Ready C:\QM\repo\framework\EAs\QM5_13210_mulham-asian-sweep-london\tools\candidate_analysis\audit_mulham_asian_sweep_london_xau.py                              True
QM_QM20002_G2_AUDIT_1e59619fcaab480110a79f90     Ready C:\QM\repo\framework\EAs\QM5_20002_ict-icytea-core\tools\candidate_analysis\audit_short_ny_reverse_time_g2.py                                             True
QM_Rebuild_Wave                                  Ready D:\QM\reports\rebuild_wave\launch_wave.ps1                                                                                                                True
QM_Repo_Push                                     Ready C:\QM\repo\tools\strategy_farm\push_repo.ps1                                                                                                              True
QM_Sonnet_BalkeMinute                            Ready D:\QM\strategy_farm\logs\launch_sonnet_balke_minute.ps1                                                                                                  False
QM_Sonnet_BalkeSymbols                           Ready D:\QM\strategy_farm\logs\launch_sonnet_balke_symbols.ps1                                                                                                 False
QM_Sonnet_Secret06                               Ready D:\QM\strategy_farm\logs\launch_sonnet_secret06.ps1                                                                                                      False
QM_StrategyFarm_AgentRouter_5min                 Ready C:\QM\repo\tools\strategy_farm\run_agent_router_task.py                                                                                                   True
QM_StrategyFarm_AgyGovernor                      Ready C:\QM\repo\tools\strategy_farm\agy_governor.py                                                                                                            True
QM_StrategyFarm_ClaudeOrchestration_15min        Ready C:\QM\repo\tools\strategy_farm\run_agent_orchestration_task.py                                                                                            True
QM_StrategyFarm_Cockpit_2min                     Ready C:\QM\repo\tools\strategy_farm\render_cockpit.py                                                                                                          True
QM_StrategyFarm_CodexFleetPacer                  Ready C:\Users\Administrator\AppData\Local\Programs\Python\Python311\python.exe                                                                                 True
QM_StrategyFarm_CodexOrchestration_15min       Running C:\QM\repo\tools\strategy_farm\run_agent_orchestration_task.py                                                                                            True
QM_StrategyFarm_Dashboard_Hourly                 Ready C:\QM\repo\tools\strategy_farm\dashboards\render_dashboards.py                                                                                            True
QM_StrategyFarm_FactoryON_AtLogon                Ready C:\QM\repo\tools\strategy_farm\Factory_ON.ps1                                                                                                             True
QM_StrategyFarm_FactoryRecycle_Daily          Disabled C:\QM\repo\tools\strategy_farm\Factory_Recycle.ps1                                                                                                        True
QM_StrategyFarm_FactoryWatchdog_15min          Running C:\QM\repo\tools\strategy_farm\factory_watchdog.ps1                                                                                                       True
QM_StrategyFarm_GeminiOrchestration_15min        Ready C:\Users\Administrator\AppData\Local\Programs\Python\Python311\python.exe                                                                                 True
