work_item_id,created_at,ea_id,symbol,q04_work_item_id,q04_verdict,q02_work_item_id,q02_lineage_method,q02_report_path,q02_report_sha256,q02_report_selection,q02_from,q02_to,q02_date_source,q02_business_days,q02_trades,trades_per_business_day,q02_net_profit,risk_fixed,expectancy_r,q02_profit_factor,q05_report_path,q05_report_sha256,q05_report_selection,q05_profit_factor,q05_trades,q05_dd_money,q05_dd_pct_verdict,q05_dd_pct_report,q05_dd_r,q05_dd_source,q05_dd_pct_at_0_5pct_risk,v1_disposition,v2_50r_disposition,verdict_reason,canonical_evidence_path,economic_proxy,metric_status
21e098bb-1173-4c39-b934-1328d297ecf5,2026-06-04T03:29:59+00:00,QM5_10115,GDAXI.DWX,b96dbf0a-b051-416a-9d40-3938b27bf6bc,PASS,23de5e1f-d6a6-4048-80f4-64c56d815056,explicit_lineage,D:\QM\mt5\T4\QM5_10115_GDAXI_DWX_20260524_151633_run_01.htm,2ca47003d0d965d0b401c5965c2b929fe1d09a14b44c69a8f48fde90669da813,declared_terminal_exact_tag,2024.01.01,2024.12.31,report_period,262,52,0.1984732824427481,8588.7,1000.0,0.1651673076923077,1.5,D:\QM\mt5\T1\QM5_10115_GDAXI_DWX_20260727_104446_run_01.htm,8c6fd04441f5544ddf46761b08f31acfdba3dec57fcc64e42e218fe918f58fae,declared_terminal_exact_tag,1.05,608,29173.0,29.17,29.173,29.173,raw_report,14.5865,PARK,ADVANCE,dd_above_ceiling:dd_pct=29.17:max=25.0,D:\QM\reports\work_items\21e098bb-1173-4c39-b934-1328d297ecf5\QM5_10115\Q05\GDAXI_DWX\aggregate.json,POSITIVE,COMPLETE
52c33744-dde6-4ae5-bc51-8dbe0733495b,2026-07-03T05:34:04+00:00,QM5_10749,GDAXI.DWX,a646e5ed-943f-4766-8ea7-0d6cd7dfc653,PASS_SOFT,fa024ba1-d3e7-424c-88af-b43d863f9981,explicit_lineage,D:\QM\mt5\T1\QM5_10749_GDAXI_DWX_20260613_013251_run_01.htm,f4a10d41556ed2add0383235cc8e13e4354e691c8edef467feb502338fc92dee,cross_terminal_exact_tag,2024.07.01,2024.12.31,report_period,132,93,0.7045454545454546,12861.73,1000.0,0.13829817204301073,1.24,D:\QM\mt5\T1\QM5_10749_GDAXI_DWX_20260727_083310_run_01.htm,0cbcf8362a93962706aea41b2215fa31c99fd7caa46b07f934c545fac9fbbc4b,declared_terminal_exact_tag,1.05,1781,30933.43,30.93,30.93343,30.93343,raw_report,15.466715,PARK,ADVANCE,dd_above_ceiling:dd_pct=30.93:max=25.0,D:\QM\reports\work_items\52c33744-dde6-4ae5-bc51-8dbe0733495b\QM5_10749\Q05\GDAXI_DWX\aggregate.json,POSITIVE,COMPLETE
378b3a69-aed5-412d-b958-24b1b9c72afb,2026-07-16T09:24:37+00:00,QM5_10704,GDAXI.DWX,5e79c876-9d93-4dd0-8994-36b366b15ff7,PASS_SOFT,e1db9595-b6a9-4ed9-bfa7-6d94df257b6e,explicit_lineage,D:\QM\mt5\T6\QM5_10704_GDAXI_DWX_20260617_124511_run_01.htm,eb4858ca6926f0f35ced6bcd60d12f1947c9f96cee6dd42804217ac344cb3481,declared_terminal_exact_tag,2020.01.01,2024.12.31,report_period,1305,672,0.5149425287356322,-4439.72,1000.0,-0.006606726190476191,0.99,,,not_found,,,,30.87,,30.87,verdict_reason_2dp,15.435,PARK,ADVANCE,dd_above_ceiling:dd_pct=30.87:max=25.0,D:\QM\reports\work_items\378b3a69-aed5-412d-b958-24b1b9c72afb\QM5_10704\Q05\GDAXI_DWX\aggregate.json,NEGATIVE,COMPLETE
b9915631-fe0d-4f6c-b922-7cecd52ebeca,2026-07-19T23:22:12+00:00,QM5_10796,USDJPY.DWX,fd447b1a-d6ac-443a-9197-dc152dae313a,PASS_SOFT,127c004c-d171-49fb-9754-6e5d3d63f8cf,explicit_lineage,D:\QM\mt5\T3\QM5_10796_USDJPY_DWX_20260719_220830_run_01.htm,bd5a62f1e98c9fb322ed0803a4ca75f3a571969df11e74827145cf4aa3a82394,declared_terminal_exact_tag,2020.01.01,2022.12.31,report_period,783,874,1.116219667943806,144594.6,1000.0,0.1654400457665904,1.25,D:\QM\mt5\T1\QM5_10796_USDJPY_DWX_20260719_232807_run_01.htm,c4f157888382a23df0bc7cc0f23bd61477cef1654209cb3b23dd5b0fda029736,declared_terminal_exact_tag,1.12,2341,92353.65,92.35,92.35365,92.35364999999999,raw_report,46.176824999999994,PARK,PARK,dd_above_ceiling:dd_pct=92.35:max=25.0,D:\QM\reports\work_items\b9915631-fe0d-4f6c-b922-7cecd52ebeca\QM5_10796\Q05\USDJPY_DWX\aggregate.json,POSITIVE,COMPLETE
322024db-9117-4748-a09a-1c322b5a36ca,2026-07-20T10:09:51+00:00,QM5_13016,GDAXI.DWX,e4588389-ef79-47a9-9aad-1601b2822be7,PASS,1b637564-16e6-42a4-b0cc-5d6672a79ace,explicit_lineage,D:\QM\mt5\T2\QM5_13016_GDAXI_DWX_20260705_131030_run_01.htm,6371d27c7b9b662674662a74ed40b33740535c81080d58b56789df68550e156b,declared_terminal_exact_tag,2020.01.01,2024.12.31,report_period,1305,288,0.2206896551724138,16556.94,1000.0,0.057489374999999995,1.13,,,not_found,,,,25.06,,25.06,verdict_reason_2dp,12.53,PARK,ADVANCE,dd_above_ceiling:dd_pct=25.06:max=25.0,D:\QM\reports\work_items\322024db-9117-4748-a09a-1c322b5a36ca\QM5_13016\Q05\GDAXI_DWX\aggregate.json,POSITIVE,COMPLETE
faca6703-bc20-40aa-83ca-111e4a3f2ed0,2026-07-20T19:25:09+00:00,QM5_12785,USDJPY.DWX,be9494be-4893-4d4c-8898-eb3b9ee3addf,PASS_SOFT,1bd48af4-4614-46c1-b372-7790223a4c9f,explicit_lineage,D:\QM\mt5\T2\QM5_12785_USDJPY_DWX_20260720_190822_run_01.htm,cf49dcfb74ffc54a857d57ad18da6fd22d40ab5deaceec30b5d4bd9686e0b1cf,declared_terminal_exact_tag,2018.07.02,2022.12.31,report_period,1175,1063,0.9046808510638298,8895.77,1000.0,0.008368551269990594,1.02,D:\QM\mt5\T2\QM5_12785_USDJPY_DWX_20260720_192835_run_01.htm,5503a3d92cb7065e2c67a4d9682418d1d266097a06f2a26a1d51ad0dda6e03e3,declared_terminal_exact_tag,1.07,1956,49337.63,49.34,49.33763,49.33763,raw_report,24.668815,PARK,ADVANCE,dd_above_ceiling:dd_pct=49.34:max=25.0,D:\QM\reports\work_items\faca6703-bc20-40aa-83ca-111e4a3f2ed0\QM5_12785\Q05\USDJPY_DWX\aggregate.json,POSITIVE,COMPLETE
3e814920-d815-4aee-9d22-e80bc15ecc69,2026-07-21T00:09:31+00:00,QM5_10161,GDAXI.DWX,376e4a94-a5aa-4e33-872a-b45e6d4412e9,PASS,e18b8b44-3096-440f-8887-1f767ecbbb1d,setfile_match,D:\QM\mt5\T8\QM5_10161_GDAXI_DWX_20260612_214052_run_01.htm,bb4eb748aaa6373bba2d0a37d646466aff9a0dac678b54cb3264f1aead1a61e9,declared_terminal_exact_tag,2017.01.01,2024.12.31,report_period,2087,672,0.3219932918064207,14892.52,1000.0,0.022161488095238095,1.06,D:\QM\mt5\T9\QM5_10161_GDAXI_DWX_20260721_001258_run_01.htm,a0348f61684d9ec81062af94fc8ee413088150ebb36a369bd1ea393fb2a67f3f,declared_terminal_exact_tag,1.11,805,26601.42,26.6,26.601419999999997,26.601419999999997,raw_report,13.300709999999999,PARK,ADVANCE,dd_above_ceiling:dd_pct=26.60:max=25.0,D:\QM\reports\work_items\3e814920-d815-4aee-9d22-e80bc15ecc69\QM5_10161\Q05\GDAXI_DWX\aggregate.json,POSITIVE,COMPLETE
2f38cbf1-2c70-455d-96a2-e7b64d00c909,2026-07-21T09:18:17+00:00,QM5_20026,WS30.DWX,4598c46b-6fe7-4c7d-8a66-d5bcd372870c,PASS_LOWFREQ,bb7a081e-e7c5-49d1-85f2-75b5f8d79110,explicit_lineage,D:\QM\mt5\T9\QM5_20026_WS30_DWX_20260721_084459_run_01.htm,01dbf50840397574a3d670007e2ad9622e48f891af503e9dc61ff264d9017536,declared_terminal_exact_tag,2018.07.02,2022.12.31,report_period,1175,47,0.04,-16581.12,1000.0,-0.35278978723404253,0.7,D:\QM\mt5\T1\QM5_20026_WS30_DWX_20260721_122714_run_01.htm,e46b166b88f21e894e0efa655edc17bdfdb00648a32d826b8ad6f11936286c79,declared_terminal_exact_tag,1.16,82,33898.39,33.9,33.89839,33.89839,raw_report,16.949195,PARK,ADVANCE,dd_above_ceiling:dd_pct=33.90:max=25.0,D:\QM\reports\work_items\2f38cbf1-2c70-455d-96a2-e7b64d00c909\QM5_20026\Q05\WS30_DWX\aggregate.json,NEGATIVE,COMPLETE
4e7bf56b-7d01-4159-a984-70a109a1f34a,2026-07-22T14:35:54+00:00,QM5_10701,XAUUSD.DWX,9a6bd948-99f7-47c1-baac-e2be9962d08d,PASS,1619c811-5af8-47db-9765-ca9ae17c5cac,explicit_lineage,D:\QM\mt5\T1\QM5_10701_XAUUSD_DWX_20260630_075012_run_01.htm,6f83434994b52070aa1a766b5f61dd722b478b1ab9a9346f2f69f949d2c78ef9,declared_terminal_exact_tag,2020.01.01,2024.12.31,report_period,1305,1412,1.0819923371647509,-13121.22,1000.0,-0.009292648725212464,0.98,D:\QM\mt5\T8\QM5_10701_XAUUSD_DWX_20260722_143949_run_01.htm,472f8b9196d5f0f90679e31c7fcdd385d77fd6dc920c30a81a3f85ceadbc3c76,declared_terminal_exact_tag,1.03,2273,50192.39,50.19,50.192389999999996,50.192389999999996,raw_report,25.096194999999998,PARK,PARK,dd_above_ceiling:dd_pct=50.19:max=25.0,D:\QM\reports\work_items\4e7bf56b-7d01-4159-a984-70a109a1f34a\QM5_10701\Q05\XAUUSD_DWX\aggregate.json,NEGATIVE,COMPLETE
7e4e4ac8-31ef-4122-82ea-c56d21bcb6f7,2026-07-22T18:08:07+00:00,QM5_11123,XAUUSD.DWX,772b5419-27d3-471b-950d-645c26bd7ce4,PASS,c51995e9-46f7-4d57-8145-a47044108f84,explicit_lineage,D:\QM\mt5\T6\QM5_11123_XAUUSD_DWX_20260622_234716_run_01.htm,bfb56d4b2269eaf4e3e856af869e22aecc3d52852201b3cb77d074fbe647f563,declared_terminal_exact_tag,2017.01.01,2024.12.31,report_period,2087,836,0.4005749880210829,636.69,1000.0,0.0007615909090909092,1.0,D:\QM\mt5\T1\QM5_11123_XAUUSD_DWX_20260723_022829_run_01.htm,67fb64d63c4950e67ab0e06dd8122ab5a7d866af44b7f7a63cbd0a348e86f068,declared_terminal_exact_tag,1.04,954,36401.16,36.4,36.401160000000004,36.401160000000004,raw_report,18.200580000000002,PARK,ADVANCE,dd_above_ceiling:dd_pct=36.40:max=25.0,D:\QM\reports\work_items\7e4e4ac8-31ef-4122-82ea-c56d21bcb6f7\QM5_11123\Q05\XAUUSD_DWX\aggregate.json,NEGATIVE,COMPLETE
