cell_key,year,arm,config,status,verdict,evidence_path
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c00,2019,c00,0,done,MEASURED,D:\QM\reports\work_items\69d60450-6719-5f18-914a-5db56a1c874e\QM5_41405\20260911_070258\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c00,2020,c00,0,done,MEASURED,D:\QM\reports\work_items\d8fa387f-9e3a-5e2c-87a6-9be0646d4820\QM5_41405\20260911_070611\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c00,2021,c00,0,done,MEASURED,D:\QM\reports\work_items\9f292c34-30cc-5a58-b127-0ba70b5bc0d3\QM5_41405\20260911_071007\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2022:c00,2022,c00,0,done,MEASURED,D:\QM\reports\work_items\1772ec47-ea49-556d-9a1d-7b7d409670fe\QM5_41405\20260911_071244\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2023:c00,2023,c00,0,done,MEASURED,D:\QM\reports\work_items\f515c60e-e0d9-5c0a-8608-cc054dca99ab\QM5_41405\20260911_071626\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2024:c00,2024,c00,0,done,MEASURED,D:\QM\reports\work_items\f7bb643d-fc56-5aa8-a189-278988125ab0\QM5_41405\20260911_071957\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2025:c00,2025,c00,0,done,MEASURED,D:\QM\reports\work_items\53d97d9b-6e4b-582b-ae0b-1955053c65fc\QM5_41405\20260911_072320\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c01,2019,c01,1,done,MEASURED,D:\QM\reports\work_items\e8d457a5-13d8-5008-95dd-cf87247a6bef\QM5_41405\20260911_073451\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c01,2020,c01,1,done,MEASURED,D:\QM\reports\work_items\6a7c8afa-2b95-5942-a367-78dd985846e8\QM5_41405\20260911_073802\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c01,2021,c01,1,done,MEASURED,D:\QM\reports\work_items\2aeededf-9804-5e19-be34-7c043346eb3a\QM5_41405\20260911_074123\summary.json
