cell_key,config,status,verdict,year,entry_days,gross_price_profit,lots_rt,maxdd,native_commission,native_report,native_report_sha256,net_costed_plan,net_native,score,summary,summary_sha256,trades
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c00,0,done,MEASURED,2019,97,-10845.149999999998,567.5199999999999,14778.12,-2838.200000000001,D:\QM\reports\work_items\69d60450-6719-5f18-914a-5db56a1c874e\QM5_41405\20260911_070258\raw\run_01\report.htm,7e7045805078a6bfcae925176f5d735e3b5767a19d0be8737486d077d6e5446c,-16520.95,-13683.35,-1.1179331335785607,D:\QM\reports\work_items\69d60450-6719-5f18-914a-5db56a1c874e\QM5_41405\20260911_070258\summary.json,2d7c04819e2e1e6269797e4e13be508060ac270d10cc894d967d1664e7eb5d38,98
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c00,0,done,MEASURED,2020,86,21995.589999999993,467.5700000000001,5049.1,-2338.2399999999993,D:\QM\reports\work_items\d8fa387f-9e3a-5e2c-87a6-9be0646d4820\QM5_41405\20260911_070611\raw\run_01\report.htm,5334f983a7cc3d361a6866e9d2416202b2f223de849847fb8e81fcf22c2f54d7,17319.5,19657.35,3.430215285892535,D:\QM\reports\work_items\d8fa387f-9e3a-5e2c-87a6-9be0646d4820\QM5_41405\20260911_070611\summary.json,680580dab8f65a0978aaaaf04b70c19eb8a38e3324974273cc8eabfb807854ff,86
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c00,0,done,MEASURED,2021,79,20967.82,487.53000000000003,6827.21,-2438.1000000000017,D:\QM\reports\work_items\9f292c34-30cc-5a58-b127-0ba70b5bc0d3\QM5_41405\20260911_071007\raw\run_01\report.htm,d9bce54efe737af1c1e114c0fce7cd627d670914b77f2b74392d4b7ed218b81a,16092.070000000002,18529.72,2.357049219227181,D:\QM\reports\work_items\9f292c34-30cc-5a58-b127-0ba70b5bc0d3\QM5_41405\20260911_071007\summary.json,3aa7fccc83cb5a31a3a967dc50c842c84140fb93d6f7200aef2b86c485974078,79
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2022:c00,0,done,MEASURED,2022,54,15627.900000000001,219.97,8564.59,-1100.1199999999994,D:\QM\reports\work_items\1772ec47-ea49-556d-9a1d-7b7d409670fe\QM5_41405\20260911_071244\raw\run_01\report.htm,b6a65c6125f6f32e1a91ebfcab1303f922b5698d2dac63667a2d84b3915a517c,13427.93,14527.78,1.5678427105092012,D:\QM\reports\work_items\1772ec47-ea49-556d-9a1d-7b7d409670fe\QM5_41405\20260911_071244\summary.json,eac6ae6d04754a9b93748aba08cae96bbe666d998b47f1168ae3e494f74f98f4,54
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2023:c00,0,done,MEASURED,2023,83,12310.440000000006,367.0299999999999,9476.91,-1835.580000000001,D:\QM\reports\work_items\f515c60e-e0d9-5c0a-8608-cc054dca99ab\QM5_41405\20260911_071626\raw\run_01\report.htm,47fd4d33062bf5ba80a4692ad6d73437e13e87301dd13bc260e538a3060c38bd,8639.710000000001,10474.86,0.9116589690099411,D:\QM\reports\work_items\f515c60e-e0d9-5c0a-8608-cc054dca99ab\QM5_41405\20260911_071626\summary.json,12c877ff9f62fb153e79d57cfef9a38f97c9d59c71a057467b18520e548ca723,83
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2024:c00,0,done,MEASURED,2024,60,-7740.630000000003,261.5799999999999,16499.17,-1308.2200000000012,D:\QM\reports\work_items\f7bb643d-fc56-5aa8-a189-278988125ab0\QM5_41405\20260911_071957\raw\run_01\report.htm,9c96edecf7863c5b02bd50060d46cf7cc749b2a97c87f88a6e3fffec059f8e61,-10356.75,-9048.85,-0.6277133940677017,D:\QM\reports\work_items\f7bb643d-fc56-5aa8-a189-278988125ab0\QM5_41405\20260911_071957\summary.json,0ab56f4572c303c68ed47ddbfc06e336cdb3a9965eecb7901d0207505dcac9d1,61
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2025:c00,0,done,MEASURED,2025,62,20777.600000000006,208.13999999999996,5024.88,-1040.9999999999998,D:\QM\reports\work_items\53d97d9b-6e4b-582b-ae0b-1955053c65fc\QM5_41405\20260911_072320\raw\run_01\report.htm,f77a67d55f75db0383307517a97bd6b75560f0a961e7e1633ff7285a8f48c03d,18695.899999999998,19736.6,3.720665966152425,D:\QM\reports\work_items\53d97d9b-6e4b-582b-ae0b-1955053c65fc\QM5_41405\20260911_072320\summary.json,902bb2909b40a0fee5dc190e06b66623379f0ffc9bbb45f07bd84c19fa6b6e4d,62
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c01,1,done,MEASURED,2019,200,-10576.199999999999,943.23,16217.86,-4717.3399999999965,D:\QM\reports\work_items\e8d457a5-13d8-5008-95dd-cf87247a6bef\QM5_41405\20260911_073451\raw\run_01\report.htm,2e56db39af497d4c6e2c27bded7511bbd189d94b045d81aef5c21c791c3040d8,-20009.690000000002,-15293.54,-1.2338058165503958,D:\QM\reports\work_items\e8d457a5-13d8-5008-95dd-cf87247a6bef\QM5_41405\20260911_073451\summary.json,efc7bf9c76c5cbc31beefaca35984bf4d094a839c8f5708125c0ae64d53ba237,202
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c01,1,done,MEASURED,2020,215,27522.940000000006,876.0800000000004,6118.27,-4381.499999999997,D:\QM\reports\work_items\6a7c8afa-2b95-5942-a367-78dd985846e8\QM5_41405\20260911_073802\raw\run_01\report.htm,e02c01977c29207c6015b13b2e81e3140b2a694ae5db7083b47a4106bdf269f3,18761.039999999997,23141.44,3.0663962198464594,D:\QM\reports\work_items\6a7c8afa-2b95-5942-a367-78dd985846e8\QM5_41405\20260911_073802\summary.json,694aca748b260e21b6e3a11b89ee46e9909e410724d30df5b4b410f4d77e7bb9,215
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c01,1,done,MEASURED,2021,221,20065.640000000003,1090.2800000000009,9963.82,-5452.5800000000045,D:\QM\reports\work_items\2aeededf-9804-5e19-be34-7c043346eb3a\QM5_41405\20260911_074123\raw\run_01\report.htm,2d8711fd94e8219bd673d7467a7f8282b80d8f161ce861200db03c57adbed220,9161.659999999996,14613.06,0.9194927246778842,D:\QM\reports\work_items\2aeededf-9804-5e19-be34-7c043346eb3a\QM5_41405\20260911_074123\summary.json,89e47319757bdd52840f4e13e76dc814a79514f4482d07560145348e985bc1a7,222
