currency,event,probe_symbol,n_obs,peak_offset_min,peak_ratio,baseline_ratio,ratio_at_zero,second_peak_ratio,sharpness,offset_stability_frac,peak_offset_2018_2021,peak_offset_2022_2025,peak_offset_first_half,peak_offset_second_half,split_year,calib_status,applied_offset_min,home_tz,modal_home_local_hhmm,n_instant_verified,n_voided_home_clock,n_voided_local_peak,verified_frac
EUR,CPI Flash Estimate y/y,EURUSD.DWX,6,-330,3.522929949,1.141060255,1.196789972,3.512690196,1.002915074,0,550,1025,360,-330,2022,UNDERPOWERED,,Europe/Berlin,,0,0,0,0
EUR,Core CPI Flash Estimate y/y,EURUSD.DWX,3,-1080,4.948278594,1.081654954,2.176151645,4.790601758,1.032913785,0,,-1080,360,275,2022,UNDERPOWERED,,Europe/Berlin,,0,0,0,0
EUR,ECB Monetary Policy Meeting Accounts,EURUSD.DWX,9,205,4.265329409,1.198744119,3.462385259,3.99650386,1.067265179,0,205,,355,1200,2022,UNDERPOWERED,,Europe/Berlin,,0,0,0,0
EUR,ECB President Draghi Speaks,EURUSD.DWX,15,270,3.545280456,1.206510411,3.392772698,3.392772698,1.044950774,0.06666666667,270,,-1155,270,2022,UNDERPOWERED,,Europe/Berlin,,0,0,0,0
EUR,ECB President Lagarde Speaks,EURUSD.DWX,12,1170,2.540244778,1.222365806,2.532989466,2.532989466,1.002864328,0.08333333333,0,1555,1170,-335,2022,UNDERPOWERED,,Europe/Berlin,,0,0,0,0
EUR,ECB Press Conference,EURUSD.DWX,57,5,3.878862593,1.169233042,3.389360308,3.299290856,1.175665548,0.1578947368,5,45,5,45,2022,NO_SIGNATURE,,Europe/Berlin,,0,0,0,0
EUR,ECOFIN Meetings,EURUSD.DWX,0,,,,,,,,,,,,,UNDERPOWERED,,Europe/Berlin,,0,0,0,
EUR,EU Economic Forecasts,EURUSD.DWX,2,355,4.41958058,1.17183676,2.725312041,4.09355115,1.079644645,0,355,,-155,-1465,2022,UNDERPOWERED,,Europe/Berlin,,0,0,0,0
EUR,EU Economic Summit,EURUSD.DWX,0,,,,,,,,,,,,,UNDERPOWERED,,Europe/Berlin,,0,0,0,
EUR,Euro Summit,EURUSD.DWX,0,,,,,,,,,,,,,UNDERPOWERED,,Europe/Berlin,,0,0,0,
EUR,Eurogroup Meetings,EURUSD.DWX,0,,,,,,,,,,,,,UNDERPOWERED,,Europe/Berlin,,0,0,0,
EUR,European Parliamentary Elections,EURUSD.DWX,0,,,,,,,,,,,,,UNDERPOWERED,,Europe/Berlin,,0,0,0,
EUR,Flash Manufacturing PMI,EURUSD.DWX,0,,,,,,,,,,,,,UNDERPOWERED,,Europe/Berlin,,0,0,0,
EUR,French Flash Manufacturing PMI,EURUSD.DWX,12,450,4.997680091,1.102266984,2.454245362,4.570635325,1.093432255,0.3333333333,,450,75,450,2022,UNDERPOWERED,,Europe/Berlin,,0,0,0,0
EUR,French Flash Services PMI,EURUSD.DWX,35,1095,3.576873004,1.121116334,2.955185907,3.329286724,1.074366163,0.2285714286,15,1095,15,1095,2022,NO_SIGNATURE,,Europe/Berlin,,0,0,0,0
EUR,French Parliamentary Elections,EURUSD.DWX,0,,,,,,,,,,,,,UNDERPOWERED,,Europe/Berlin,,0,0,0,
EUR,French Presidential Election,EURUSD.DWX,0,,,,,,,,,,,,,UNDERPOWERED,,Europe/Berlin,,0,0,0,
EUR,German Constitutional Court Ruling,EURUSD.DWX,0,,,,,,,,,,,,,UNDERPOWERED,,Europe/Berlin,,0,0,0,
EUR,German Federal Elections,EURUSD.DWX,0,,,,,,,,,,,,,UNDERPOWERED,,Europe/Berlin,,0,0,0,
EUR,German Flash Manufacturing PMI,EURUSD.DWX,34,0,4.418266136,1.126729472,4.418266136,3.434917924,1.286279973,0.1176470588,0,435,0,435,2022,NO_SIGNATURE,,Europe/Berlin,,0,0,0,0
EUR,German Flash Services PMI,EURUSD.DWX,60,1095,4.744270192,1.13359052,0.9260033976,4.720486116,1.00503848,0.1666666667,720,1095,720,1095,2022,NO_SIGNATURE,,Europe/Berlin,,0,0,0,0
