currency,event,raw_datetime_utc,applied_offset_min,release_utc,home_tz,home_local_hhmm,modal_home_local_hhmm,local_peak_offset_min,local_peak_ratio,local_prominent,instant_verified,void_reason
USD,Average Hourly Earnings m/m,2018.01.04 20:30,1020,2018-01-05T13:30:00Z,America/New_York,08:30,08:30,0,7.006705784,1,1,
USD,Average Hourly Earnings m/m,2018.02.02 13:30,1020,2018-02-03T06:30:00Z,America/New_York,01:30,08:30,,,0,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2018.03.08 20:30,1020,2018-03-09T13:30:00Z,America/New_York,08:30,08:30,0,5.586597452,1,1,
USD,Average Hourly Earnings m/m,2018.04.05 19:30,1020,2018-04-06T12:30:00Z,America/New_York,08:30,08:30,0,5.710208031,1,1,
USD,Average Hourly Earnings m/m,2018.05.04 12:30,1020,2018-05-05T05:30:00Z,America/New_York,01:30,08:30,,,0,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2018.06.01 12:30,1020,2018-06-02T05:30:00Z,America/New_York,01:30,08:30,,,0,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2018.07.05 19:30,1020,2018-07-06T12:30:00Z,America/New_York,08:30,08:30,0,2.409836066,1,1,
USD,Average Hourly Earnings m/m,2018.08.02 19:30,1020,2018-08-03T12:30:00Z,America/New_York,08:30,08:30,0,1.941018767,1,1,
USD,Average Hourly Earnings m/m,2018.09.06 19:30,1020,2018-09-07T12:30:00Z,America/New_York,08:30,08:30,0,2.429487179,1,1,
USD,Average Hourly Earnings m/m,2018.10.04 20:30,1020,2018-10-05T13:30:00Z,America/New_York,09:30,08:30,-60,1.878640777,1,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2018.11.01 20:30,1020,2018-11-02T13:30:00Z,America/New_York,09:30,08:30,-60,1.98,1,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2018.12.06 20:30,1020,2018-12-07T13:30:00Z,America/New_York,08:30,08:30,0,4.369142033,1,1,
USD,Average Hourly Earnings m/m,2019.01.03 20:30,1020,2019-01-04T13:30:00Z,America/New_York,08:30,08:30,0,5.063180828,1,1,
USD,Average Hourly Earnings m/m,2019.02.01 13:30,1020,2019-02-02T06:30:00Z,America/New_York,01:30,08:30,,,0,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2019.03.07 20:30,1020,2019-03-08T13:30:00Z,America/New_York,08:30,08:30,0,6.44673913,1,1,
USD,Average Hourly Earnings m/m,2019.04.04 19:30,1020,2019-04-05T12:30:00Z,America/New_York,08:30,08:30,0,5.136929461,1,1,
USD,Average Hourly Earnings m/m,2019.05.03 12:30,1020,2019-05-04T05:30:00Z,America/New_York,01:30,08:30,,,0,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2019.06.06 19:30,1020,2019-06-07T12:30:00Z,America/New_York,08:30,08:30,0,8.622722401,1,1,
USD,Average Hourly Earnings m/m,2019.07.04 19:30,1020,2019-07-05T12:30:00Z,America/New_York,08:30,08:30,0,5.41954708,1,1,
USD,Average Hourly Earnings m/m,2019.08.01 19:30,1020,2019-08-02T12:30:00Z,America/New_York,08:30,08:30,30,3.641152263,1,0,local_peak_elsewhere
USD,Average Hourly Earnings m/m,2019.09.05 19:30,1020,2019-09-06T12:30:00Z,America/New_York,08:30,08:30,0,4.540983607,1,1,
USD,Average Hourly Earnings m/m,2019.10.03 20:30,1020,2019-10-04T13:30:00Z,America/New_York,09:30,08:30,-60,5.402810304,1,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2019.11.01 12:30,1020,2019-11-02T05:30:00Z,America/New_York,01:30,08:30,,,0,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2019.12.05 20:30,1020,2019-12-06T13:30:00Z,America/New_York,08:30,08:30,0,9.646919431,1,1,
USD,Average Hourly Earnings m/m,2020.01.09 20:30,1020,2020-01-10T13:30:00Z,America/New_York,08:30,08:30,0,4.539383562,1,1,
USD,Average Hourly Earnings m/m,2020.02.06 20:30,1020,2020-02-07T13:30:00Z,America/New_York,08:30,08:30,0,4.311270125,1,1,
USD,Average Hourly Earnings m/m,2020.03.05 20:30,1020,2020-03-06T13:30:00Z,America/New_York,08:30,08:30,0,2.009880028,1,1,
USD,Average Hourly Earnings m/m,2020.04.03 12:30,1020,2020-04-04T05:30:00Z,America/New_York,01:30,08:30,,,0,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2020.05.07 19:30,1020,2020-05-08T12:30:00Z,America/New_York,08:30,08:30,0,4.233287858,1,1,
USD,Average Hourly Earnings m/m,2020.06.04 19:30,1020,2020-06-05T12:30:00Z,America/New_York,08:30,08:30,0,3.673569482,1,1,
USD,Average Hourly Earnings m/m,2020.07.01 19:30,1020,2020-07-02T12:30:00Z,America/New_York,08:30,08:30,0,3.374379345,1,1,
USD,Average Hourly Earnings m/m,2020.08.06 19:30,1020,2020-08-07T12:30:00Z,America/New_York,08:30,08:30,0,2.668815944,1,1,
USD,Average Hourly Earnings m/m,2020.09.03 19:30,1020,2020-09-04T12:30:00Z,America/New_York,08:30,08:30,0,3.352308665,1,1,
USD,Average Hourly Earnings m/m,2020.10.02 12:30,1020,2020-10-03T05:30:00Z,America/New_York,01:30,08:30,,,0,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2020.11.05 20:30,1020,2020-11-06T13:30:00Z,America/New_York,08:30,08:30,0,2.546070461,1,1,
USD,Average Hourly Earnings m/m,2020.12.03 20:30,1020,2020-12-04T13:30:00Z,America/New_York,08:30,08:30,15,2.648826979,1,0,local_peak_elsewhere
USD,Average Hourly Earnings m/m,2021.01.07 20:30,1020,2021-01-08T13:30:00Z,America/New_York,08:30,08:30,0,4.033450704,1,1,
USD,Average Hourly Earnings m/m,2021.02.04 20:30,1020,2021-02-05T13:30:00Z,America/New_York,08:30,08:30,0,3.712945591,1,1,
USD,Average Hourly Earnings m/m,2021.03.04 20:30,1020,2021-03-05T13:30:00Z,America/New_York,08:30,08:30,0,3.039816233,1,1,
USD,Average Hourly Earnings m/m,2021.04.02 12:30,1020,2021-04-03T05:30:00Z,America/New_York,01:30,08:30,,,0,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2021.05.06 19:30,1020,2021-05-07T12:30:00Z,America/New_York,08:30,08:30,0,5.589723926,1,1,
USD,Average Hourly Earnings m/m,2021.06.03 19:30,1020,2021-06-04T12:30:00Z,America/New_York,08:30,08:30,0,8.211779449,1,1,
USD,Average Hourly Earnings m/m,2021.07.01 19:30,1020,2021-07-02T12:30:00Z,America/New_York,08:30,08:30,0,4.514797508,1,1,
USD,Average Hourly Earnings m/m,2021.08.05 19:30,1020,2021-08-06T12:30:00Z,America/New_York,08:30,08:30,0,7.848020434,1,1,
USD,Average Hourly Earnings m/m,2021.09.02 19:30,1020,2021-09-03T12:30:00Z,America/New_York,08:30,08:30,5,5.893147503,1,1,
USD,Average Hourly Earnings m/m,2021.10.07 20:30,1020,2021-10-08T13:30:00Z,America/New_York,09:30,08:30,-60,4.394981413,1,0,home_clock_mismatch
