event_id,cluster_id,currency,era,symbol,currency_leg,trade_dir,cluster_trade_dir,entry_delay_min,entry_bar_epoch,entry_lag_sec,entry_price,px_p5,px_p15,px_p30,px_p60,px_p90,px_p120,ret_p5,ret_p15,ret_p30,ret_p60,ret_p90,ret_p120,ret_raw_p5,ret_raw_p15,ret_raw_p30,ret_raw_p60,ret_raw_p90,ret_raw_p120,mae_p90_bp,mfe_p90_bp,atr_m5_bp,bars_missing,session_intact,window_ok,weekday,broker_hour,minute_of_hour
000d539973da,4698436f331a,USD,OOS,EURUSD.DWX,-1,-1,-1,5,1706888100,0,1.08221,1.08202,1.08099,1.07983,1.08001,1.07952,1.07866,1.755666645,11.27322793,21.99203482,20.32877168,24.85654355,32.80324521,-1.755666645,-11.27322793,-21.99203482,-20.32877168,-24.85654355,-32.80324521,-5.821420981,28.09066632,2.758904728,0,1,1,4,15,35
000d539973da,4698436f331a,USD,OOS,EURUSD.DWX,-1,-1,-1,10,1706888400,0,1.08203,1.08278,1.08121,1.07993,1.07993,1.0795,1.07938,-6.93141595,7.578348105,19.40796466,19.40796466,23.38197647,24.49100302,6.93141595,-7.578348105,-19.40796466,-19.40796466,-23.38197647,-24.49100302,-7.485929226,26.43179949,2.759363683,0,1,1,4,15,40
000d539973da,4698436f331a,USD,OOS,EURUSD.DWX,-1,-1,-1,15,1706888700,0,1.08277,1.08099,1.08072,1.08035,1.08025,1.07936,1.0797,16.43931768,18.93292204,22.35008358,23.27364075,31.49329959,28.35320521,-16.43931768,-18.93292204,-22.35008358,-23.27364075,-31.49329959,-28.35320521,-0,34.91046113,2.757477845,0,1,1,4,15,45
000d539973da,4698436f331a,USD,OOS,USDJPY.DWX,1,1,1,5,1706888100,0,147.625,147.67,147.85,147.949,147.813,148.039,148.291,3.048264183,15.24132091,21.94750212,12.73497036,28.04403048,45.11430991,3.048264183,15.24132091,21.94750212,12.73497036,28.04403048,45.11430991,-2.50635055,28.99237934,3.628885932,0,1,1,4,15,35
000d539973da,4698436f331a,USD,OOS,USDJPY.DWX,1,1,1,10,1706888400,0,147.668,147.643,147.9,147.927,147.759,148.062,148.218,-1.692986971,15.71091909,17.53934502,6.162472574,26.68147466,37.24571336,-1.692986971,15.71091909,17.53934502,6.162472574,26.68147466,37.24571336,-1.896145407,30.81236287,3.627829223,0,1,1,4,15,40
000d539973da,4698436f331a,USD,OOS,USDJPY.DWX,1,1,1,15,1706888700,0,147.653,147.85,147.964,147.886,147.768,148.083,148.23,13.34209261,21.06289747,15.78024151,7.788531218,29.12233412,39.07810881,13.34209261,21.06289747,15.78024151,7.788531218,29.12233412,39.07810881,0,31.83138846,3.628197773,0,1,1,4,15,45
0026d29b177f,c79323ebbd64,USD,IS,EURUSD.DWX,-1,-1,-1,5,1556897700,0,1.11468,1.11619,1.11524,1.11599,1.11599,1.11778,1.11847,-13.54648868,-5.023863351,-11.75225177,-11.75225177,-27.81067212,-34.00078946,13.54648868,5.023863351,11.75225177,11.75225177,27.81067212,34.00078946,-28.70779058,0.4485592278,2.133860326,0,1,1,4,15,35
0026d29b177f,c79323ebbd64,USD,IS,EURUSD.DWX,-1,-1,-1,10,1556898000,0,1.11619,1.11616,1.11584,1.11572,1.11617,1.11837,1.11798,0.2687714457,3.135666867,4.21075265,0.1791809638,-19.53072506,-16.03669626,-0.2687714457,-3.135666867,-4.21075265,-0.1791809638,19.53072506,16.03669626,-20.06826795,11.01962927,2.130973605,0,1,1,4,15,40
0026d29b177f,c79323ebbd64,USD,IS,EURUSD.DWX,-1,-1,-1,15,1556898300,0,1.11616,1.11524,1.11599,1.1164,1.11635,1.11824,1.1181,8.242545872,1.523079128,-2.150229358,-1.702264908,-18.6353211,-17.38102064,-8.242545872,-1.523079128,2.150229358,1.702264908,18.6353211,17.38102064,-22.75659404,10.75114679,2.131030881,0,1,1,4,15,45
0026d29b177f,c79323ebbd64,USD,IS,USDJPY.DWX,1,1,1,5,1556897700,0,111.6,111.546,111.516,111.421,111.388,111.261,111.238,-4.838709677,-7.52688172,-16.03942652,-18.99641577,-30.37634409,-32.43727599,-4.838709677,-7.52688172,-16.03942652,-18.99641577,-30.37634409,-32.43727599,-32.25806452,1.164874552,1.280081925,0,1,1,4,15,35
