event_id,cluster_id,currency,event,raw_datetime_utc,applied_offset_min,release_utc,us_dst,release_broker_epoch,year,weekday,broker_hhmm,era,actual,forecast,surprise,surprise_n_3y,surprise_mean_3y,surprise_sd_3y,surprise_z,polarity,direction,is_confounded,instant_verified,instant_void_reason,home_tz,home_local_hhmm,local_peak_offset_min,cluster_rank,cluster_is_primary,cluster_direction,cluster_dir_rule
5069af14ef5e,f92372861593,USD,Average Hourly Earnings m/m,2018.01.04 20:30,1020,2018-01-05T13:30:00Z,0,1515166200,2018,4,15:30,IS,0.3,0.3,0,29,-0.03103448276,0.136718811,0.2269949725,1,1,0,1,,America/New_York,08:30,0,15,0,-1,primary_event_rank
c33fbcc50633,f92372861593,USD,Non-Farm Employment Change,2018.01.04 20:30,1020,2018-01-05T13:30:00Z,0,1515166200,2018,4,15:30,IS,148000,190000,-42000,36,-916.6666667,56700.66382,-0.7245652972,1,-1,0,1,,America/New_York,08:30,0,2,1,-1,primary_event_rank
6b05c8742374,f92372861593,USD,Unemployment Rate,2018.01.04 20:30,1020,2018-01-05T13:30:00Z,0,1515166200,2018,4,15:30,IS,4.1,4.1,0,36,-0.02222222222,0.1057016533,0.2102353325,-1,-1,0,1,,America/New_York,08:30,0,13,0,-1,primary_event_rank
4712c09b5216,6d760a8e28fa,USD,Non-Farm Employment Change,2018.02.01 20:30,1020,2018-02-02T13:30:00Z,0,1517585400,2018,4,15:30,IS,200000,181000,19000,36,-2388.888889,57059.07162,0.3748551857,1,1,0,1,,America/New_York,08:30,0,2,1,1,primary_event_rank
173f9b6427f9,6d760a8e28fa,USD,Unemployment Rate,2018.02.01 20:30,1020,2018-02-02T13:30:00Z,0,1517585400,2018,4,15:30,IS,4.1,4.1,0,36,-0.01944444444,0.1049323709,0.1853045373,-1,-1,0,1,,America/New_York,08:30,0,13,0,1,primary_event_rank
2d0530cb8a89,32c6eb0788a5,USD,Average Hourly Earnings m/m,2018.02.02 13:30,1020,2018-02-03T06:30:00Z,0,1517646600,2018,5,08:30,IS,0.3,0.2,0.1,30,-0.03,0.1345362405,0.9662823901,1,,0,0,home_clock_mismatch,America/New_York,01:30,,15,0,,primary_event_rank
20f0d4bb5fb7,0fd6a60ec160,USD,Average Hourly Earnings m/m,2018.03.08 20:30,1020,2018-03-09T13:30:00Z,0,1520609400,2018,4,15:30,IS,0.1,0.2,-0.1,31,-0.02580645161,0.1343268569,-0.5523359224,1,-1,0,1,,America/New_York,08:30,0,15,0,1,primary_event_rank
7a6e9f2fc972,0fd6a60ec160,USD,Non-Farm Employment Change,2018.03.08 20:30,1020,2018-03-09T13:30:00Z,0,1520609400,2018,4,15:30,IS,313000,205000,108000,35,-4085.714286,57001.94053,1.966349097,1,1,0,1,,America/New_York,08:30,0,2,1,1,primary_event_rank
48f0e536cc6e,0fd6a60ec160,USD,Unemployment Rate,2018.03.08 20:30,1020,2018-03-09T13:30:00Z,0,1520609400,2018,4,15:30,IS,4.1,4,0.1,35,-0.02,0.1036477551,1.157767477,-1,-1,0,1,,America/New_York,08:30,0,13,0,1,primary_event_rank
471aa9798a6c,394093ddec54,USD,Average Hourly Earnings m/m,2018.04.05 19:30,1020,2018-04-06T12:30:00Z,1,1523028600,2018,4,15:30,IS,0.3,0.3,0,32,-0.028125,0.1328400707,0.2117207546,1,1,0,1,,America/New_York,08:30,0,15,0,-1,primary_event_rank
e561a4b0c790,394093ddec54,USD,Non-Farm Employment Change,2018.04.05 19:30,1020,2018-04-06T12:30:00Z,1,1523028600,2018,4,15:30,IS,103000,188000,-85000,35,2428.571429,56407.84429,-1.549936406,1,-1,0,1,,America/New_York,08:30,0,2,1,-1,primary_event_rank
d2394a863031,394093ddec54,USD,Unemployment Rate,2018.04.05 19:30,1020,2018-04-06T12:30:00Z,1,1523028600,2018,4,15:30,IS,4.1,4,0.1,35,-0.01714285714,0.1055210589,1.11013724,-1,-1,0,1,,America/New_York,08:30,0,13,0,-1,primary_event_rank
69fb5eda6873,b24edb95971d,USD,Non-Farm Employment Change,2018.05.03 19:30,1020,2018-05-04T12:30:00Z,1,1525447800,2018,4,15:30,IS,164000,190000,-26000,36,0,57444.65936,-0.4526095252,1,-1,0,1,,America/New_York,08:30,0,2,1,-1,primary_event_rank
d7a0d8087b26,b24edb95971d,USD,Unemployment Rate,2018.05.03 19:30,1020,2018-05-04T12:30:00Z,1,1525447800,2018,4,15:30,IS,3.9,4,-0.1,36,-0.01388888889,0.1058110942,-0.8138193048,-1,1,0,1,,America/New_York,08:30,0,13,0,-1,primary_event_rank
877a32c7a435,4b9ae05e37b9,USD,Average Hourly Earnings m/m,2018.05.04 12:30,1020,2018-05-05T05:30:00Z,1,1525509000,2018,5,08:30,IS,0.1,0.2,-0.1,33,-0.02727272727,0.1309006731,-0.5555912815,1,,0,0,home_clock_mismatch,America/New_York,01:30,,15,0,,primary_event_rank
86b6c86f087d,2caba4dcacf5,USD,Non-Farm Employment Change,2018.05.31 19:30,1020,2018-06-01T12:30:00Z,1,1527867000,2018,4,15:30,IS,223000,189000,34000,36,-583.3333333,57598.8884,0.6004166798,1,1,0,1,,America/New_York,08:30,0,2,1,1,primary_event_rank
71ee568d982a,2caba4dcacf5,USD,Unemployment Rate,2018.05.31 19:30,1020,2018-06-01T12:30:00Z,1,1527867000,2018,4,15:30,IS,3.8,3.9,-0.1,36,-0.01666666667,0.1067187373,-0.7808688094,-1,1,0,1,,America/New_York,08:30,0,13,0,1,primary_event_rank
32363ecf3d11,8a8fbdf080a8,USD,Average Hourly Earnings m/m,2018.06.01 12:30,1020,2018-06-02T05:30:00Z,1,1527928200,2018,5,08:30,IS,0.3,0.2,0.1,34,-0.02941176471,0.1295453856,0.9989685402,1,,0,0,home_clock_mismatch,America/New_York,01:30,,15,0,,primary_event_rank
1ca37356c1c1,62947b58f471,USD,Average Hourly Earnings m/m,2018.07.05 19:30,1020,2018-07-06T12:30:00Z,1,1530891000,2018,4,15:30,IS,0.2,0.3,-0.1,35,-0.02571428571,0.1294887908,-0.5736845161,1,-1,0,1,,America/New_York,08:30,0,15,0,1,primary_event_rank
b89e3a8df675,62947b58f471,USD,Non-Farm Employment Change,2018.07.05 19:30,1020,2018-07-06T12:30:00Z,1,1530891000,2018,4,15:30,IS,213000,195000,18000,35,-1057.142857,57851.01202,0.3294176228,1,1,0,1,,America/New_York,08:30,0,2,1,1,primary_event_rank
8d45e3102ef6,62947b58f471,USD,Unemployment Rate,2018.07.05 19:30,1020,2018-07-06T12:30:00Z,1,1530891000,2018,4,15:30,IS,4,3.8,0.2,35,-0.02,0.1063686313,2.068278941,-1,-1,0,1,,America/New_York,08:30,0,13,0,1,primary_event_rank
5021c805a337,97265f1de52b,USD,Average Hourly Earnings m/m,2018.08.02 19:30,1020,2018-08-03T12:30:00Z,1,1533310200,2018,4,15:30,IS,0.3,0.3,0,36,-0.02777777778,0.1282599598,0.2165740409,1,1,0,1,,America/New_York,08:30,0,15,0,-1,primary_event_rank
a1d38e11a99f,97265f1de52b,USD,Non-Farm Employment Change,2018.08.02 19:30,1020,2018-08-03T12:30:00Z,1,1533310200,2018,4,15:30,IS,157000,191000,-34000,36,-527.7777778,57127.774,-0.5859185451,1,-1,0,1,,America/New_York,08:30,0,2,1,-1,primary_event_rank
1056708c725e,97265f1de52b,USD,Unemployment Rate,2018.08.02 19:30,1020,2018-08-03T12:30:00Z,1,1533310200,2018,4,15:30,IS,3.9,3.9,0,36,-0.01388888889,0.1109373642,0.1251957715,-1,-1,0,1,,America/New_York,08:30,0,13,0,-1,primary_event_rank
