symbol,fix_code,era,prefix_window_min,threshold_atr,holding_min,broker_hour,in_session_band,n_anchors,n_trigger,r_base_atr
EURUSD.DWX,WMR_1600,IS,15,0.4,15,0,0,1080,85,0.1585562393
EURUSD.DWX,WMR_1600,IS,15,0.4,15,1,0,1047,52,0.1854174977
EURUSD.DWX,WMR_1600,IS,15,0.4,15,2,0,1045,135,-0.008573496308
EURUSD.DWX,WMR_1600,IS,15,0.4,15,3,0,1045,269,-0.003018532737
EURUSD.DWX,WMR_1600,IS,15,0.4,15,4,0,1045,435,-0.01111451785
EURUSD.DWX,WMR_1600,IS,15,0.4,15,5,0,1046,432,0.0343657902
EURUSD.DWX,WMR_1600,IS,15,0.4,15,6,0,1047,310,0.07757076885
EURUSD.DWX,WMR_1600,IS,15,0.4,15,7,0,1048,275,0.04119651181
EURUSD.DWX,WMR_1600,IS,15,0.4,15,8,0,1492,531,0.07787899887
EURUSD.DWX,WMR_1600,IS,15,0.4,15,9,0,1547,758,0.09365397447
EURUSD.DWX,WMR_1600,IS,15,0.4,15,10,0,1550,884,0.1019907951
EURUSD.DWX,WMR_1600,IS,15,0.4,15,11,0,100,58,-0.3386050054
EURUSD.DWX,WMR_1600,IS,15,0.4,15,15,1,1388,617,0.08017551133
EURUSD.DWX,WMR_1600,IS,15,0.4,15,16,1,95,53,0.02679802742
EURUSD.DWX,WMR_1600,IS,15,0.4,15,20,1,1449,279,0.04500681764
EURUSD.DWX,WMR_1600,IS,15,0.4,15,21,1,1549,201,-0.07463661189
EURUSD.DWX,WMR_1600,IS,15,0.4,15,22,1,1547,280,0.1041183784
EURUSD.DWX,WMR_1600,IS,15,0.4,15,23,0,1315,210,0.1020699307
EURUSD.DWX,WMR_1600,IS,15,0.4,30,0,0,1080,85,0.1661554636
EURUSD.DWX,WMR_1600,IS,15,0.4,30,1,0,1047,52,0.2272598976
EURUSD.DWX,WMR_1600,IS,15,0.4,30,2,0,1045,135,0.02125142841
EURUSD.DWX,WMR_1600,IS,15,0.4,30,3,0,1045,269,0.03661455301
EURUSD.DWX,WMR_1600,IS,15,0.4,30,4,0,1045,435,0.04258483295
EURUSD.DWX,WMR_1600,IS,15,0.4,30,5,0,1046,432,0.02007811012
EURUSD.DWX,WMR_1600,IS,15,0.4,30,6,0,1047,310,0.1165456526
EURUSD.DWX,WMR_1600,IS,15,0.4,30,7,0,1048,275,0.07531675676
EURUSD.DWX,WMR_1600,IS,15,0.4,30,8,0,1492,531,0.09054941399
EURUSD.DWX,WMR_1600,IS,15,0.4,30,9,0,1547,758,0.1114205593
EURUSD.DWX,WMR_1600,IS,15,0.4,30,10,0,1550,884,0.127039757
EURUSD.DWX,WMR_1600,IS,15,0.4,30,11,0,100,58,-0.2034673471
EURUSD.DWX,WMR_1600,IS,15,0.4,30,15,1,1388,617,0.1206048114
EURUSD.DWX,WMR_1600,IS,15,0.4,30,16,1,95,53,0.07117794112
EURUSD.DWX,WMR_1600,IS,15,0.4,30,20,1,1449,279,0.05270920795
EURUSD.DWX,WMR_1600,IS,15,0.4,30,21,1,1549,201,-0.09053920713
EURUSD.DWX,WMR_1600,IS,15,0.4,30,22,1,1547,280,0.103127249
EURUSD.DWX,WMR_1600,IS,15,0.4,30,23,0,1315,210,0.07779570826
EURUSD.DWX,WMR_1600,IS,15,0.4,45,0,0,1080,85,0.1639028821
EURUSD.DWX,WMR_1600,IS,15,0.4,45,1,0,1047,52,0.1974821978
EURUSD.DWX,WMR_1600,IS,15,0.4,45,2,0,1045,135,0.04407710231
EURUSD.DWX,WMR_1600,IS,15,0.4,45,3,0,1045,269,0.04855195131
EURUSD.DWX,WMR_1600,IS,15,0.4,45,4,0,1045,435,0.03702923598
EURUSD.DWX,WMR_1600,IS,15,0.4,45,5,0,1046,432,0.0347995722
EURUSD.DWX,WMR_1600,IS,15,0.4,45,6,0,1047,310,0.1358241747
EURUSD.DWX,WMR_1600,IS,15,0.4,45,7,0,1048,275,0.1167718718
EURUSD.DWX,WMR_1600,IS,15,0.4,45,8,0,1492,531,0.05492050358
EURUSD.DWX,WMR_1600,IS,15,0.4,45,9,0,1547,758,0.1259073361
EURUSD.DWX,WMR_1600,IS,15,0.4,45,10,0,1550,884,0.1692178431
EURUSD.DWX,WMR_1600,IS,15,0.4,45,11,0,100,58,-0.183914544
EURUSD.DWX,WMR_1600,IS,15,0.4,45,15,1,1388,617,0.1661259547
EURUSD.DWX,WMR_1600,IS,15,0.4,45,16,1,95,53,0.103845785
EURUSD.DWX,WMR_1600,IS,15,0.4,45,20,1,1449,279,0.03386157734
EURUSD.DWX,WMR_1600,IS,15,0.4,45,21,1,1549,201,-0.06783763085
EURUSD.DWX,WMR_1600,IS,15,0.4,45,22,1,1547,280,0.07064441035
EURUSD.DWX,WMR_1600,IS,15,0.4,45,23,0,1315,210,0.09427148261
EURUSD.DWX,WMR_1600,IS,15,0.4,60,0,0,1080,85,0.1544579615
EURUSD.DWX,WMR_1600,IS,15,0.4,60,1,0,1047,52,0.1546739071
EURUSD.DWX,WMR_1600,IS,15,0.4,60,2,0,1045,135,0.08408281366
EURUSD.DWX,WMR_1600,IS,15,0.4,60,3,0,1045,269,0.05184498151
EURUSD.DWX,WMR_1600,IS,15,0.4,60,4,0,1045,435,0.02410831701
EURUSD.DWX,WMR_1600,IS,15,0.4,60,5,0,1046,432,0.05545439074
EURUSD.DWX,WMR_1600,IS,15,0.4,60,6,0,1047,310,0.141555788
EURUSD.DWX,WMR_1600,IS,15,0.4,60,7,0,1048,275,0.08300749349
EURUSD.DWX,WMR_1600,IS,15,0.4,60,8,0,1492,531,0.04675717603
EURUSD.DWX,WMR_1600,IS,15,0.4,60,9,0,1547,758,0.1164506187
EURUSD.DWX,WMR_1600,IS,15,0.4,60,10,0,1550,884,0.1426113207
EURUSD.DWX,WMR_1600,IS,15,0.4,60,11,0,100,58,-0.1096784114
EURUSD.DWX,WMR_1600,IS,15,0.4,60,15,1,1388,617,0.1510779279
EURUSD.DWX,WMR_1600,IS,15,0.4,60,16,1,95,53,0.188825556
EURUSD.DWX,WMR_1600,IS,15,0.4,60,20,1,1449,279,0.0690102705
EURUSD.DWX,WMR_1600,IS,15,0.4,60,21,1,1549,201,-0.05366927051
EURUSD.DWX,WMR_1600,IS,15,0.4,60,22,1,1547,280,0.0742605965
EURUSD.DWX,WMR_1600,IS,15,0.4,60,23,0,1315,210,0.09426852361
EURUSD.DWX,WMR_1600,IS,15,0.6,15,0,0,1080,23,0.2305470816
EURUSD.DWX,WMR_1600,IS,15,0.6,15,1,0,1047,15,0.2382398403
EURUSD.DWX,WMR_1600,IS,15,0.6,15,2,0,1045,46,-0.05215279564
EURUSD.DWX,WMR_1600,IS,15,0.6,15,3,0,1045,119,-0.01148896756
EURUSD.DWX,WMR_1600,IS,15,0.6,15,4,0,1045,249,0.009529331421
EURUSD.DWX,WMR_1600,IS,15,0.6,15,5,0,1046,231,0.06352675823
EURUSD.DWX,WMR_1600,IS,15,0.6,15,6,0,1047,151,0.06580253361
EURUSD.DWX,WMR_1600,IS,15,0.6,15,7,0,1048,111,0.0466822985
EURUSD.DWX,WMR_1600,IS,15,0.6,15,8,0,1492,271,0.08947481812
EURUSD.DWX,WMR_1600,IS,15,0.6,15,9,0,1547,451,0.09470582217
EURUSD.DWX,WMR_1600,IS,15,0.6,15,10,0,1550,612,0.159009192
EURUSD.DWX,WMR_1600,IS,15,0.6,15,11,0,100,41,-0.2005531832
EURUSD.DWX,WMR_1600,IS,15,0.6,15,15,1,1388,342,0.08793846392
EURUSD.DWX,WMR_1600,IS,15,0.6,15,16,1,95,33,0.05488842591
EURUSD.DWX,WMR_1600,IS,15,0.6,15,20,1,1449,78,0.0375060319
EURUSD.DWX,WMR_1600,IS,15,0.6,15,21,1,1549,49,-0.1562163546
EURUSD.DWX,WMR_1600,IS,15,0.6,15,22,1,1547,106,0.1054468079
EURUSD.DWX,WMR_1600,IS,15,0.6,15,23,0,1315,63,0.1283400375
EURUSD.DWX,WMR_1600,IS,15,0.6,30,0,0,1080,23,0.3357837034
EURUSD.DWX,WMR_1600,IS,15,0.6,30,1,0,1047,15,0.3137019048
EURUSD.DWX,WMR_1600,IS,15,0.6,30,2,0,1045,46,0.0664001339
EURUSD.DWX,WMR_1600,IS,15,0.6,30,3,0,1045,119,-0.025468547
EURUSD.DWX,WMR_1600,IS,15,0.6,30,4,0,1045,249,0.08037984627
EURUSD.DWX,WMR_1600,IS,15,0.6,30,5,0,1046,231,0.03735880301
EURUSD.DWX,WMR_1600,IS,15,0.6,30,6,0,1047,151,0.1163358933
EURUSD.DWX,WMR_1600,IS,15,0.6,30,7,0,1048,111,0.07148376434
EURUSD.DWX,WMR_1600,IS,15,0.6,30,8,0,1492,271,0.09828709416
EURUSD.DWX,WMR_1600,IS,15,0.6,30,9,0,1547,451,0.1455509402
EURUSD.DWX,WMR_1600,IS,15,0.6,30,10,0,1550,612,0.167694216
EURUSD.DWX,WMR_1600,IS,15,0.6,30,11,0,100,41,-0.05952824523
EURUSD.DWX,WMR_1600,IS,15,0.6,30,15,1,1388,342,0.1256447772
EURUSD.DWX,WMR_1600,IS,15,0.6,30,16,1,95,33,0.08442145149
EURUSD.DWX,WMR_1600,IS,15,0.6,30,20,1,1449,78,0.04618287395
EURUSD.DWX,WMR_1600,IS,15,0.6,30,21,1,1549,49,-0.2078487069
EURUSD.DWX,WMR_1600,IS,15,0.6,30,22,1,1547,106,0.1060060965
EURUSD.DWX,WMR_1600,IS,15,0.6,30,23,0,1315,63,0.0900713343
EURUSD.DWX,WMR_1600,IS,15,0.6,45,0,0,1080,23,0.403476211
EURUSD.DWX,WMR_1600,IS,15,0.6,45,1,0,1047,15,0.2601131818
EURUSD.DWX,WMR_1600,IS,15,0.6,45,2,0,1045,46,0.1915708545
EURUSD.DWX,WMR_1600,IS,15,0.6,45,3,0,1045,119,-0.01708163414
EURUSD.DWX,WMR_1600,IS,15,0.6,45,4,0,1045,249,0.09617699273
EURUSD.DWX,WMR_1600,IS,15,0.6,45,5,0,1046,231,0.06624488649
