baseline_id,symbol,era,weekday,broker_hour,minute_of_hour,bar_epoch,entry_price,ret_p5,ret_p15,ret_p30,ret_p60,ret_p90,ret_p120,atr_m5_bp,bars_missing,window_ok
e15769f9bdc5,EURUSD.DWX,IS,3,15,35,1515080100,1.20591,3.648696835,11.85826471,6.302294533,12.27288935,15.42403662,15.50696155,4.910340383,0,1
43718d58be6b,EURUSD.DWX,IS,3,15,40,1515080400,1.20635,1.989472375,2.403945787,1.243420235,12.35130766,13.92630663,10.69341402,5.192759742,0,1
a6272c776803,EURUSD.DWX,IS,3,15,45,1515080700,1.2066,6.132935521,-3.232222775,-2.23769269,13.50903365,17.98441903,10.27681087,5.227202766,0,1
3fd47fd07ea8,EURUSD.DWX,IS,3,15,35,1515684900,1.20271,0.6651645035,-4.739297087,9.395448612,5.404461591,22.44930199,13.13699894,12.22833672,0,1
f9b199ca6a27,EURUSD.DWX,IS,3,15,40,1515685200,1.2028,-2.244762221,0.9976720984,8.64649152,6.152311274,20.78483538,15.13136016,12.44120861,0,1
b367c4b1fcf3,EURUSD.DWX,IS,3,15,45,1515685500,1.20252,-3.160030602,5.155839404,8.482187406,10.06220271,26.94341882,21.70442072,9.5573106,0,1
af2682fc2720,EURUSD.DWX,IS,4,15,35,1515771300,1.21436,-10.45818373,-16.14018907,-23.38680457,-8.728877763,-1.235218551,-0.6587832274,5.482017571,0,1
eec07d11accb,EURUSD.DWX,IS,4,15,40,1515771600,1.2131,-13.68395021,-3.379770835,-3.2973374,3.2973374,7.666309455,10.13931251,6.423919828,0,1
bbb458045718,EURUSD.DWX,IS,4,15,45,1515771900,1.21145,7.84184242,4.457468323,9.080028066,22.86516158,24.10334723,19.31569607,7.234541842,0,1
3b002c8958ec,EURUSD.DWX,IS,3,15,35,1516289700,1.22313,6.295324291,4.496660208,13.08119333,13.89876792,21.09342425,6.704111583,4.368184202,0,1
22b1d1d2a0c2,EURUSD.DWX,IS,3,15,40,1516290000,1.22389,3.513387641,4.085334466,4.412161224,3.67680102,12.33771009,-3.023147505,4.371307879,0,1
072c809117b4,EURUSD.DWX,IS,3,15,45,1516290300,1.22431,-5.145755568,4.982398249,1.470215877,12.74187093,11.51669103,-8.004508662,4.55066819,0,1
20ed165a4949,EURUSD.DWX,IS,4,15,35,1516376100,1.22519,-2.69345979,1.958879847,-6.937699459,-9.059819293,3.019939764,-8.570099332,4.961329613,0,1
3ef4bcd55173,EURUSD.DWX,IS,4,15,40,1516376400,1.22486,5.061802982,3.837173228,-11.75644563,-7.511062489,1.959407606,-7.919272407,4.968497857,0,1
38b35b504368,EURUSD.DWX,IS,4,15,45,1516376700,1.22547,-0.3264053792,-9.220951961,-12.81141113,-8.568141203,-6.283303549,-10.03696541,5.811181483,0,1
ee2658e1a4b3,EURUSD.DWX,IS,3,15,35,1516894500,1.2428,30.4151915,45.54232379,75.63566141,52.54264564,52.62310911,69.0376569,8.092326084,0,1
101fc300f1f1,EURUSD.DWX,IS,3,15,40,1516894800,1.24659,9.144947417,17.48770646,39.4676678,19.89427157,39.38744896,37.22154036,11.48275352,0,1
f771c6c6f1d7,EURUSD.DWX,IS,3,15,45,1516895100,1.24773,5.850624735,15.46809005,22.44075241,-6.411643545,31.89792663,26.28773853,12.21074614,0,1
