symbol,era,weekday,broker_hour,minute_of_hour,n,mu0_p5_bp,mu0_p15_bp,mu0_p30_bp,mu0_p60_bp,mu0_p90_bp,mu0_p120_bp,sigma0_p5_bp,sigma0_p15_bp,sigma0_p30_bp,sigma0_p60_bp,sigma0_p90_bp,sigma0_p120_bp
EURUSD.DWX,IS,3,15,35,311,1.068337541,0.982965882,0.4649901379,-0.3141420569,-0.2612538499,-1.154093488,5.861176139,10.65728494,14.73628675,19.3287951,23.25259791,26.57498728
EURUSD.DWX,IS,3,15,40,311,-0.03083588809,-0.4661666735,-0.7408648884,-1.572978033,-1.971460192,-2.052331921,5.517152471,9.596662788,13.96723016,18.66544462,23.53644864,25.9720871
EURUSD.DWX,IS,3,15,45,311,-0.07856894099,-0.5726112896,-1.041296442,-1.849441845,-1.48248317,-2.513597138,6.620444162,10.12115302,14.67697309,18.79387222,22.43221326,24.79576445
EURUSD.DWX,IS,4,15,35,239,0.5142818425,0.5359167947,1.076642031,-0.2253190663,0.7813306905,0.7898870008,4.775685255,6.898519408,11.40156897,14.08423748,16.81455065,18.32935371
EURUSD.DWX,IS,4,15,40,239,0.1876932246,-0.008805541725,0.431949284,-0.8059033859,0.3244937981,0.4258250519,4.042005982,7.118046364,11.95081143,14.2510547,17.99750662,19.44050152
EURUSD.DWX,IS,4,15,45,239,-0.1884781707,-0.1181087245,-0.3236274315,-1.122553779,0.4555100589,0.05754177208,3.896861601,8.313119207,11.22623741,13.36805062,17.60166624,19.42155065
USDJPY.DWX,IS,3,15,35,311,-0.3636596857,-0.5154915296,-0.4363527557,-0.5922204916,-0.6235561303,-0.1652151402,5.190189353,8.872716046,10.12150697,15.21107309,21.00229269,24.13655527
USDJPY.DWX,IS,3,15,40,311,-0.1284632737,-0.2526260532,-0.01816513115,0.07011843211,-0.01495113209,0.3490279717,5.031456536,7.650769518,9.399127784,15.52752261,20.83026543,22.5545079
USDJPY.DWX,IS,3,15,45,311,-0.03869099996,-0.0331931107,0.235344362,-0.05048739964,0.2209948837,0.6863579138,4.722253749,6.644917062,9.326658471,14.81810993,18.92026755,22.01310976
USDJPY.DWX,IS,4,15,35,239,-0.1928400949,-0.0668408434,-0.06764142188,1.230145624,-0.3706145331,-0.3663040412,4.842978453,6.779439954,9.06171098,11.88479256,17.96703224,19.68750198
USDJPY.DWX,IS,4,15,40,239,-0.01438495377,0.2297192306,0.1971890541,1.214272068,-0.2697752364,-0.7358406094,3.841404236,6.156427369,9.530071404,12.54082114,17.53612402,20.69897763
USDJPY.DWX,IS,4,15,45,239,0.133157742,0.3028566155,0.7503389285,0.9353829467,-0.802959,-0.6041403087,3.788564677,5.968331378,8.618407456,12.35322248,17.42513767,20.49334655
