event_id,event_time_utc,event_names,symbol,pre_high,pre_low,pre_range_pts,post_high,post_low,post_range_pts,expansion_ratio,breakout_dir,entry_price,mfe_15m_pts,mae_15m_pts,mfe_30m_pts,mae_30m_pts,mfe_60m_pts,mae_60m_pts,gross_pnl_pts,net_pnl_pts,era
E2_00001,2018-07-05T12:30:00Z,Initial Jobless Claims,NDX.DWX,7076.7,7057.2,19.5,7074.2,7058,16.2,0.8308,0,,2,6.5,2,11.2,2,14.2,0,0,IS
E2_00002,2018-07-06T12:30:00Z,Nonfarm Payrolls,NDX.DWX,7099.9,7087.9,12,7133.4,7097.9,35.5,2.9583,1,7099.9,34.5,1,34.5,1,34.5,1,19,18,IS
E2_00003,2018-07-12T12:30:00Z,CPI m/m;Initial Jobless Claims,NDX.DWX,7278.7,7273.4,5.3,7284.7,7275.4,9.3,1.7547,1,7278.7,6.8,1,8.3,1,8.3,1,-0.5,-1.5,IS
E2_00004,2018-07-16T12:30:00Z,Retail Sales m/m,NDX.DWX,7386.6,7375.8,10.8,7386.8,7376.3,10.5,0.9722,1,7386.6,1.7,1.8,1.7,8.8,1.7,8.8,-6.8,-7.8,IS
E2_00005,2018-07-19T12:30:00Z,Initial Jobless Claims,NDX.DWX,7368.3,7356.3,12,7367.5,7357,10.5,0.875,0,,8.8,0,9,0.2,9,1.5,0,0,IS
E2_00006,2018-07-26T12:30:00Z,Initial Jobless Claims,NDX.DWX,7415.2,7397.9,17.3,7408.2,7391.9,16.3,0.9422,0,,2.2,2,2.2,11.5,2.5,13.8,0,0,IS
E2_00007,2018-08-01T18:00:00Z,Fed Interest Rate Decision,NDX.DWX,7263.3,7248.3,15,7273.8,7231.8,42,2.8,-1,7248.3,9.7,20,17.7,20,22,20,-14.5,-15.5,IS
E2_00008,2018-08-02T12:30:00Z,Initial Jobless Claims,NDX.DWX,7218.4,7205.2,13.2,7223.2,7210.2,13,0.9848,1,7218.4,3.2,1.3,7,1.3,7,6,0.5,-0.5,IS
E2_00009,2018-08-03T12:30:00Z,Nonfarm Payrolls,NDX.DWX,7405.2,7380.7,24.5,7390.2,7372.9,17.3,0.7061,-1,7380.7,5.8,9.7,5.8,11,6.3,11,-0.2,-1.2,IS
E2_00010,2018-08-09T12:30:00Z,Initial Jobless Claims,NDX.DWX,7470.5,7462.2,8.3,7473,7464.2,8.8,1.0602,0,,1,2.5,2.8,2.5,6.3,2.5,0,0,IS
E2_00011,2018-08-10T12:30:00Z,CPI m/m,NDX.DWX,7430,7413.9,16.1,7429.9,7407.9,22,1.3665,0,,8,3.5,8,3.5,8,14,0,0,IS
E2_00012,2018-08-15T12:30:00Z,Retail Sales m/m,NDX.DWX,7393.1,7374.6,18.5,7393.6,7378.4,15.2,0.8216,1,7393.1,2.2,7.8,2.2,12,2.2,13,-6,-7,IS
E2_00013,2018-08-16T12:30:00Z,Initial Jobless Claims,NDX.DWX,7413.7,7405.5,8.2,7409.7,7395.2,14.5,1.7683,-1,7405.5,0.7,5.8,0.7,12,1.7,12.8,-1.2,-2.2,IS
E2_00014,2018-08-23T12:30:00Z,Initial Jobless Claims,NDX.DWX,7421.6,7414.3,7.3,7420.2,7408.3,11.9,1.6301,0,,0.6,4.8,0.6,4.8,0.6,11.3,0,0,IS
E2_00015,2018-08-30T12:30:00Z,Initial Jobless Claims,NDX.DWX,7652.1,7644.8,7.3,7654.6,7641.3,13.3,1.8219,1,7652.1,4.8,0.5,4.8,4.7,4.8,8.5,-8.5,-9.5,IS
E2_00016,2018-09-06T12:30:00Z,Initial Jobless Claims,NDX.DWX,7539.2,7523.9,15.3,7537.2,7524.2,13,0.8497,0,,0.5,6,2.5,7,3.3,9.7,0,0,IS
E2_00017,2018-09-07T12:30:00Z,Nonfarm Payrolls,NDX.DWX,7443.1,7433.1,10,7436.9,7389.3,47.6,4.76,-1,7433.1,1.3,30.8,1.3,34,1.3,46.3,31.3,30.3,IS
E2_00018,2018-09-13T12:30:00Z,CPI m/m;Initial Jobless Claims,NDX.DWX,7518.3,7509.4,8.9,7531.7,7515.9,15.8,1.7753,1,7518.3,12.5,0,14.3,0,15.8,0,12.1,11.1,IS
E2_00019,2018-09-14T12:30:00Z,Retail Sales m/m,NDX.DWX,7592.3,7583.3,9,7586.6,7569.1,17.5,1.9444,-1,7583.3,1.4,9.1,1.4,10.9,1.4,16.1,12,11,IS
E2_00020,2018-09-20T12:30:00Z,Initial Jobless Claims,NDX.DWX,7544.6,7521.6,23,7549.1,7535.8,13.3,0.5783,0,,6.7,0.8,12.5,0.8,12.5,0.8,0,0,IS
E2_00021,2018-09-26T18:00:00Z,Fed Interest Rate Decision,NDX.DWX,7616.2,7601.7,14.5,7643.9,7603.9,40,2.7586,1,7616.2,24.5,3,37,3,37,3,4.5,3.5,IS
E2_00022,2018-09-27T12:30:00Z,Initial Jobless Claims,NDX.DWX,7593.9,7585.2,8.7,7602.9,7582.4,20.5,2.3563,-1,7585.2,2.3,4,9.5,4,16.5,4,-17,-18,IS
E2_00023,2018-10-04T12:30:00Z,Initial Jobless Claims,NDX.DWX,7604.8,7587.8,17,7610.5,7590,20.5,1.2059,0,,3,4.5,12,4.5,16,4.5,0,0,IS
E2_00024,2018-10-05T12:30:00Z,Nonfarm Payrolls,NDX.DWX,7489.4,7464.6,24.8,7504.9,7448.6,56.3,2.2702,0,7477,31,25.3,31,25.3,31,25.3,-12.4,-13.4,IS
E2_00025,2018-10-11T12:30:00Z,CPI m/m;Initial Jobless Claims,NDX.DWX,6994.8,6938.6,56.2,7049.6,6986.6,63,1.121,1,6994.8,43.5,1,43.5,3.7,59.3,3.7,29.3,28.3,IS
E2_00026,2018-10-15T12:30:00Z,Retail Sales m/m,NDX.DWX,7157.5,7120.5,37,7155.8,7127,28.8,0.7784,0,,0.8,18,0.8,21.7,0.8,28,0,0,IS
E2_00027,2018-10-18T12:30:00Z,Initial Jobless Claims,NDX.DWX,7270.9,7249.6,21.3,7272.2,7251.6,20.6,0.9671,0,,0.6,3.9,4.1,3.9,4.1,16.5,0,0,IS
E2_00028,2018-10-25T12:30:00Z,Initial Jobless Claims,NDX.DWX,6929.2,6896.2,33,6919,6873.2,45.8,1.3879,-1,6896.2,8.3,20.1,8.3,29.5,8.3,37.5,-1.3,-2.3,IS
E2_00029,2018-11-01T12:30:00Z,Initial Jobless Claims,NDX.DWX,7005.4,6979.4,26,6991.2,6964.2,27,1.0385,-1,6979.4,2.7,14.1,2.7,24.1,2.7,24.3,-3.3,-4.3,IS
E2_00030,2018-11-02T12:30:00Z,Nonfarm Payrolls,NDX.DWX,7098.6,7059.4,39.2,7077.4,7021.4,56,1.4286,-1,7059.4,10.6,15.9,10.6,17.7,10.6,45.4,15.8,14.8,IS
E2_00031,2018-11-08T13:30:00Z,Initial Jobless Claims,NDX.DWX,7182.1,7164.4,17.7,7177,7162.1,14.9,0.8418,0,,3.4,6.6,5.8,6.6,5.8,9.1,0,0,IS
E2_00032,2018-11-08T19:00:00Z,Fed Interest Rate Decision,NDX.DWX,7165.4,7136.6,28.8,7178.9,7125.1,53.8,1.8681,0,7151,20,23.3,20,23.3,20,33.8,-14.4,-15.4,IS
E2_00033,2018-11-14T13:30:00Z,CPI m/m,NDX.DWX,6854.4,6824.9,29.5,6897.4,6850.1,47.3,1.6034,1,6854.4,39.5,0,39.5,0,47.3,0,39.2,38.2,IS
E2_00034,2018-11-15T13:30:00Z,Retail Sales m/m;Initial Jobless Claims,NDX.DWX,6808.2,6761.7,46.5,6783.7,6725.1,58.6,1.2602,0,,6.2,10.3,6.2,22.4,6.2,52.4,0,0,IS
E2_00035,2018-11-21T13:30:00Z,Initial Jobless Claims,NDX.DWX,6616,6580.4,35.6,6614.6,6591.1,23.5,0.6601,0,,1.1,18,1.1,18,5.5,18,0,0,IS
E2_00036,2018-11-29T13:30:00Z,Initial Jobless Claims,NDX.DWX,6887.3,6871.5,15.8,6894.8,6879.8,15,0.9494,1,6887.3,9.2,0,12.9,0,12.9,2.1,2,1,IS
E2_00037,2018-12-06T13:30:00Z,Initial Jobless Claims,NDX.DWX,6695.2,6656.7,38.5,6693.9,6651.7,42.2,1.0961,0,,1.1,11.6,1.1,22.5,1.1,41.1,0,0,IS
E2_00038,2018-12-07T13:30:00Z,Nonfarm Payrolls,NDX.DWX,6806.1,6776.7,29.4,6845.2,6802.8,42.4,1.4422,1,6806.1,42.4,0,42.4,0,42.4,0,3.4,2.4,IS
E2_00039,2018-12-12T13:30:00Z,CPI m/m,NDX.DWX,6803.3,6785.7,17.6,6825,6781,44,2.5,-1,6785.7,1.6,7.1,36.9,7.1,36.9,7.1,-23.5,-24.5,IS
E2_00040,2018-12-13T13:30:00Z,Initial Jobless Claims,NDX.DWX,6809.3,6782.8,26.5,6815,6792,23,0.8679,1,6809.3,4.7,5.8,4.7,13.9,9.1,13.9,-3.3,-4.3,IS
E2_00041,2018-12-14T13:30:00Z,Retail Sales m/m,NDX.DWX,6695,6672.9,22.1,6698.4,6673.6,24.8,1.1222,0,,15.2,0.3,24.2,0.3,24.5,0.3,0,0,IS
E2_00042,2018-12-19T19:00:00Z,Fed Interest Rate Decision,NDX.DWX,6568.1,6514.3,53.8,6579.1,6352.4,226.7,4.2138,0,6541.2,9.5,152.7,9.5,152.7,9.5,217.2,-26.9,-27.9,IS
E2_00043,2018-12-20T13:30:00Z,Initial Jobless Claims,NDX.DWX,6365.9,6337.2,28.7,6347.7,6304.6,43.1,1.5017,-1,6337.2,2.5,11.2,2.5,37.8,2.5,40.6,26.3,25.3,IS
