symbol,era,arm,n_weekends,n_triggered,n_filled_timestop,fill_rate_pct,n_stopped,n_timestop_exit,mean_fill_elapsed_min,mean_mae_pips,gross_expectancy_pips,net_expectancy_pips,net_expectancy_bp,verdict
EURUSD.DWX,IS,CONDITIONED,312,6,2,33.33,3,1,1107.5,22.05,-3.28,-3.78,-2,DEAD
EURUSD.DWX,IS,UNCONDITIONED_CONTROL,312,16,6,37.5,8,2,1362.9,23.42,-1.72,-2.22,-2.28,CONTROL
EURUSD.DWX,OOS,CONDITIONED,100,4,2,50,1,1,662.5,15.05,6.5,6,5.23,REFUTED_OOS
EURUSD.DWX,OOS,UNCONDITIONED_CONTROL,100,13,5,38.46,4,4,1652.3,20.69,4.03,3.53,3.2,CONTROL
GBPUSD.DWX,IS,CONDITIONED,312,6,1,16.67,3,2,730,36.18,-24.35,-25.35,-19.28,DEAD
GBPUSD.DWX,IS,UNCONDITIONED_CONTROL,312,19,8,42.11,7,4,1502.5,29.07,2.05,1.05,1.78,CONTROL
GBPUSD.DWX,OOS,CONDITIONED,100,3,2,66.67,0,1,760,11.47,22.03,21.03,16.48,SUPPORTED
GBPUSD.DWX,OOS,UNCONDITIONED_CONTROL,100,11,7,63.64,0,4,812.7,14.23,25.08,24.08,18.51,CONTROL
USDJPY.DWX,IS,CONDITIONED,312,6,3,50,2,1,2034.2,35.85,-14.6,-15.4,-11.12,DEAD
USDJPY.DWX,IS,UNCONDITIONED_CONTROL,312,27,12,44.44,8,7,1771.4,30.02,-1.59,-2.39,-1.86,CONTROL
USDJPY.DWX,OOS,CONDITIONED,100,5,2,40,0,3,500,43.2,-3.3,-4.1,-3.18,REFUTED_OOS
USDJPY.DWX,OOS,UNCONDITIONED_CONTROL,100,11,2,18.18,3,6,2196.9,57.22,-11.02,-11.82,-8.01,CONTROL
AUDUSD.DWX,IS,CONDITIONED,309,12,4,33.33,5,3,1072.8,22.17,-0.52,-1.33,-2.41,DEAD
AUDUSD.DWX,IS,UNCONDITIONED_CONTROL,309,23,7,30.43,7,9,1144.2,16.82,4.64,3.84,5.11,CONTROL
AUDUSD.DWX,OOS,CONDITIONED,53,3,2,66.67,0,1,1290,7.73,9.53,8.73,12.93,SUPPORTED
AUDUSD.DWX,OOS,UNCONDITIONED_CONTROL,53,4,3,75,0,1,1121.2,10.8,14.48,13.68,20.61,CONTROL
