weekend_id,symbol,era,friday_close_utc,sunday_open_utc,friday_close,sunday_open,gap_raw,gap_pips,gap_dir,trade_side,atr_d1,gap_size_atr,high_5d,low_5d,range_5d,range_pos,range_bucket,is_conditioned,triggered,filled_by_timestop,filled_full_week,fill_time_utc,fill_elapsed_min,exit_reason,exit_time_utc,exit_price,mae_pips,mae_bp,gross_pnl_pips,gross_pnl_bp,spread_pips,net_pnl_pips,net_pnl_bp
2017-10-20_2017-10-22,EURUSD.DWX,OTHER,2017-10-20T20:50:00Z,2017-10-22T21:05:00Z,1.17802,1.1765,-0.00152,-15.2,-1,LONG,0.00687,0.2211,1.18583,1.17303,0.0128,0.3898,MIDDLE_THIRD,0,0,0,1,2017-10-24T18:50:00Z,2745,STOP,2017-10-23T08:15:00Z,1.17498,19.7,16.74,-15.2,-12.92,0.5,-15.7,-13.34
2017-10-27_2017-10-29,EURUSD.DWX,OTHER,2017-10-27T20:50:00Z,2017-10-29T21:05:00Z,1.16074,1.16053,-0.00021,-2.1,-1,LONG,0.00783,0.0268,1.18367,1.15742,0.02625,0.1265,LOWER_THIRD,0,0,1,1,2017-10-29T21:05:00Z,0,FILL,2017-10-29T21:05:00Z,1.16074,0.1,0.09,2.1,1.81,0.5,1.6,1.38
2017-11-03_2017-11-05,EURUSD.DWX,OTHER,2017-11-03T20:50:00Z,2017-11-05T22:05:00Z,1.1609,1.16127,0.00037,3.7,1,SHORT,0.00779,0.0475,1.16905,1.15938,0.00967,0.1572,LOWER_THIRD,1,0,1,1,2017-11-05T22:05:00Z,0,FILL,2017-11-05T22:05:00Z,1.1609,0,0,3.7,3.19,0.5,3.2,2.76
2017-11-10_2017-11-12,EURUSD.DWX,OTHER,2017-11-10T21:50:00Z,2017-11-12T22:05:00Z,1.16648,1.16563,-0.00085,-8.5,-1,LONG,0.00695,0.1223,1.1678,1.1554,0.0124,0.8935,UPPER_THIRD,1,0,1,1,2017-11-12T23:30:00Z,85,FILL,2017-11-12T23:30:00Z,1.16648,0.5,0.43,8.5,7.29,0.5,8,6.86
2017-11-17_2017-11-19,EURUSD.DWX,OTHER,2017-11-17T21:50:00Z,2017-11-19T22:05:00Z,1.17866,1.17864,-2e-05,-0.2,-1,LONG,0.00624,0.0032,1.18609,1.16373,0.02236,0.6677,UPPER_THIRD,1,0,0,1,2017-11-19T22:05:00Z,0,STOP,2017-11-19T22:05:00Z,1.17862,1.2,1.02,-0.2,-0.17,0.5,-0.7,-0.59
2017-11-24_2017-11-26,EURUSD.DWX,OTHER,2017-11-24T21:50:00Z,2017-11-26T22:05:00Z,1.19299,1.19289,-0.0001,-1,-1,LONG,0.00681,0.0147,1.19445,1.17128,0.02317,0.937,UPPER_THIRD,1,0,0,1,2017-11-26T22:05:00Z,0,STOP,2017-11-26T22:05:00Z,1.19279,1.5,1.26,-1,-0.84,0.5,-1.5,-1.26
2017-12-01_2017-12-03,EURUSD.DWX,OTHER,2017-12-01T21:50:00Z,2017-12-03T22:05:00Z,1.18983,1.18627,-0.00356,-35.6,-1,LONG,0.0081,0.4395,1.19613,1.1809,0.01523,0.5863,MIDDLE_THIRD,0,1,0,0,,,TIMESTOP,2017-12-04T12:00:00Z,1.18543,26.5,22.34,-8.4,-7.08,0.5,-8.9,-7.5
2017-12-08_2017-12-10,EURUSD.DWX,OTHER,2017-12-08T21:50:00Z,2017-12-10T22:05:00Z,1.17716,1.17664,-0.00052,-5.2,-1,LONG,0.00735,0.0708,1.18785,1.17302,0.01483,0.2792,LOWER_THIRD,0,0,1,1,2017-12-10T23:05:00Z,60,FILL,2017-12-10T23:05:00Z,1.17716,3,2.55,5.2,4.42,0.5,4.7,3.99
2017-12-15_2017-12-17,EURUSD.DWX,OTHER,2017-12-15T21:50:00Z,2017-12-17T22:05:00Z,1.17506,1.17434,-0.00072,-7.2,-1,LONG,0.00752,0.0957,1.18626,1.17175,0.01451,0.2281,LOWER_THIRD,0,0,1,1,2017-12-17T23:15:00Z,70,FILL,2017-12-17T23:15:00Z,1.17506,5.8,4.94,7.2,6.13,0.5,6.7,5.71
2017-12-22_2017-12-24,EURUSD.DWX,OTHER,2017-12-22T21:50:00Z,2017-12-24T22:55:00Z,1.18591,1.18471,-0.0012,-12,-1,LONG,0.00681,0.1761,1.19017,1.17376,0.01641,0.7404,UPPER_THIRD,1,0,1,1,2017-12-25T05:50:00Z,415,FILL,2017-12-25T05:50:00Z,1.18591,4,3.38,12,10.13,0.5,11.5,9.71
2017-12-29_2018-01-01,EURUSD.DWX,IS,2017-12-29T21:50:00Z,2018-01-01T18:00:00Z,1.19973,1.19945,-0.00028,-2.8,-1,LONG,0.00683,0.041,1.20254,1.18431,0.01823,0.8459,UPPER_THIRD,1,0,0,1,2018-01-01T18:10:00Z,10,TIMESTOP,2018-01-01T18:00:00Z,1.19908,0,0,-3.7,-3.08,0.5,-4.2,-3.5
2018-01-05_2018-01-07,EURUSD.DWX,IS,2018-01-05T21:50:00Z,2018-01-07T22:05:00Z,1.2029,1.20277,-0.00013,-1.3,-1,LONG,0.006,0.0217,1.20891,1.19908,0.00983,0.3886,MIDDLE_THIRD,0,0,1,1,2018-01-07T22:05:00Z,0,FILL,2018-01-07T22:05:00Z,1.2029,0.2,0.17,1.3,1.08,0.5,0.8,0.67
2018-01-12_2018-01-14,EURUSD.DWX,IS,2018-01-12T21:50:00Z,2018-01-14T22:05:00Z,1.21948,1.21972,0.00024,2.4,1,SHORT,0.00809,0.0297,1.22185,1.19155,0.0303,0.9218,UPPER_THIRD,0,0,0,1,2018-01-14T22:40:00Z,35,STOP,2018-01-14T22:05:00Z,1.21996,10.9,8.94,-2.4,-1.97,0.5,-2.9,-2.38
