thesis_id,symbol,scope,n,mean_signed_bp,t_stat,positive_rate,paper_verdict
CAL-01,EURUSD.DWX,ALL,94,-4.82562200,-0.96343864,0.45744681,PAPER_REFUTED
CAL-01,EURUSD.DWX,IS_2017_2022,61,-3.54581038,-0.60988851,0.47540984,PAPER_REFUTED
CAL-01,EURUSD.DWX,OOS_2023_2026,33,-7.19133439,-0.75692277,0.42424242,PAPER_REFUTED
CAL-02,GBPUSD.DWX,ALL,95,-3.99963672,-0.68832355,0.40000000,PAPER_REFUTED
CAL-02,GBPUSD.DWX,IS_2017_2022,61,-2.02303690,-0.25690603,0.39344262,PAPER_REFUTED
CAL-02,GBPUSD.DWX,OOS_2023_2026,34,-7.54588935,-0.92983489,0.41176471,PAPER_REFUTED
CAL-03,USDJPY.DWX,ALL,96,-0.46492633,-0.07858060,0.41666667,PAPER_REFUTED
CAL-03,USDJPY.DWX,IS_2017_2022,62,-1.67559765,-0.22385757,0.38709677,PAPER_REFUTED
CAL-03,USDJPY.DWX,OOS_2023_2026,34,1.74276843,0.17837711,0.47058824,PAPER_REFUTED
CAL-04,XAUUSD.DWX,ALL,98,12.01214319,1.16746398,0.54081633,PAPER_SURVIVES
CAL-04,XAUUSD.DWX,IS_2017_2022,63,2.44149348,0.18970574,0.49206349,PAPER_SURVIVES
CAL-04,XAUUSD.DWX,OOS_2023_2026,35,29.23931266,1.72165949,0.62857143,PAPER_SURVIVES
CAL-05,XAUUSD.DWX,ALL,8,10.48698947,0.13851304,0.62500000,UNDERPOWERED
CAL-05,XAUUSD.DWX,IS_2017_2022,5,-25.03331788,-0.24485834,0.60000000,UNDERPOWERED
CAL-05,XAUUSD.DWX,OOS_2023_2026,3,69.68750173,0.55342341,0.66666667,UNDERPOWERED
CAL-06,XAUUSD.DWX,ALL,8,57.54921203,0.50190996,0.50000000,UNDERPOWERED
CAL-06,XAUUSD.DWX,IS_2017_2022,5,108.50541640,0.69215099,0.60000000,UNDERPOWERED
CAL-06,XAUUSD.DWX,OOS_2023_2026,3,-27.37779527,-0.14630435,0.33333333,UNDERPOWERED
CAL-07,EURUSD.DWX,ALL,29,-7.99930274,-1.11907656,0.55172414,PAPER_REFUTED
CAL-07,EURUSD.DWX,IS_2017_2022,19,-3.81044079,-0.62332312,0.63157895,PAPER_REFUTED
CAL-07,EURUSD.DWX,OOS_2023_2026,10,-15.95814045,-0.90893297,0.40000000,PAPER_REFUTED
CAL-08,GBPUSD.DWX,ALL,2098,0.43086869,0.76391544,0.51239276,PAPER_REFUTED
CAL-08,GBPUSD.DWX,IS_2017_2022,1348,0.34657446,0.45658432,0.50593472,PAPER_REFUTED
CAL-08,GBPUSD.DWX,OOS_2023_2026,750,0.58237350,0.73425814,0.52400000,PAPER_REFUTED
CAL-09,USDJPY.DWX,ALL,1563,0.56946738,1.69756261,0.50159949,PAPER_SURVIVES
CAL-09,USDJPY.DWX,IS_2017_2022,974,0.40160687,1.12112213,0.48459959,PAPER_SURVIVES
CAL-09,USDJPY.DWX,OOS_2023_2026,589,0.84704996,1.27416093,0.52971138,PAPER_SURVIVES
CAL-10,EURUSD.DWX,ALL,2111,0.25142982,0.84140147,0.49502605,PAPER_REFUTED
CAL-10,EURUSD.DWX,IS_2017_2022,1360,0.10381781,0.27218384,0.49779412,PAPER_REFUTED
CAL-10,EURUSD.DWX,OOS_2023_2026,751,0.51874318,1.08494189,0.49001332,PAPER_REFUTED
CAL-11,XAUUSD.DWX,ALL,2114,0.19564523,0.28665417,0.49810785,PAPER_REFUTED
CAL-11,XAUUSD.DWX,IS_2017_2022,1348,0.38912984,0.46106590,0.50741840,PAPER_REFUTED
CAL-11,XAUUSD.DWX,OOS_2023_2026,766,-0.14484726,-0.12496577,0.48172324,PAPER_REFUTED
CAL-12,EURUSD.DWX,ALL,422,0.64954744,0.51542503,0.52606635,PAPER_REFUTED
CAL-12,EURUSD.DWX,IS_2017_2022,272,0.12940786,0.08356557,0.50000000,PAPER_REFUTED
CAL-12,EURUSD.DWX,OOS_2023_2026,150,1.59273387,0.73420894,0.57333333,PAPER_REFUTED
CAL-13,NDX.DWX,ALL,0,,,,MISSING_M5_EXPORT
CAL-14,SP500.DWX,ALL,0,,,,MISSING_M5_EXPORT
CAL-15,XTIUSD.DWX,ALL,0,,,,MISSING_M5_EXPORT
