ea_id,symbol,bucket_set,bucket,n,wr,net,avg_net
1537,XAGUSD.DWX,long,<12h,0,,0.0,
1537,XAGUSD.DWX,long,12-48h,48,25.0,-6672.51,-139.01
1537,XAGUSD.DWX,long,2-7d,46,58.7,10580.92,230.02
1537,XAGUSD.DWX,long,1-4wk,2,0.0,-260.8,-130.4
1537,XAGUSD.DWX,long,>4wk,0,,0.0,
1556,XAUUSD.DWX,long,<12h,0,,0.0,
1556,XAUUSD.DWX,long,12-48h,13,53.8,2173.1,167.16
1556,XAUUSD.DWX,long,2-7d,38,55.3,3659.72,96.31
1556,XAUUSD.DWX,long,1-4wk,2,100.0,537.05,268.52
1556,XAUUSD.DWX,long,>4wk,0,,0.0,
1567,EURUSD.DWX,medium,<2h,9,22.2,-3126.84,-347.43
1567,EURUSD.DWX,medium,2-8h,30,46.7,-1045.46,-34.85
1567,EURUSD.DWX,medium,8-24h,34,61.8,19760.42,581.19
1567,EURUSD.DWX,medium,1-3d,12,75.0,9152.86,762.74
1567,EURUSD.DWX,medium,>3d,1,0.0,-637.31,-637.31
9641,WS30.DWX,long,<12h,0,,0.0,
9641,WS30.DWX,long,12-48h,24,33.3,-6837.65,-284.9
9641,WS30.DWX,long,2-7d,40,65.0,9837.82,245.95
9641,WS30.DWX,long,1-4wk,0,,0.0,
9641,WS30.DWX,long,>4wk,0,,0.0,
10403,XAUUSD.DWX,long,<12h,25,48.0,491.1,19.64
10403,XAUUSD.DWX,long,12-48h,53,45.3,-5956.81,-112.39
10403,XAUUSD.DWX,long,2-7d,119,51.3,17431.44,146.48
10403,XAUUSD.DWX,long,1-4wk,10,60.0,1557.45,155.74
10403,XAUUSD.DWX,long,>4wk,0,,0.0,
10440,NDX.DWX,short,<1h,151,23.8,-48830.24,-323.38
10440,NDX.DWX,short,1-4h,258,38.0,27424.54,106.3
10440,NDX.DWX,short,4-12h,146,50.0,69873.59,478.59
10440,NDX.DWX,short,12-48h,61,49.2,28519.54,467.53
10440,NDX.DWX,short,>48h,2,0.0,-4272.15,-2136.07
10513,XAUUSD.DWX,long,<12h,2,0.0,-2029.12,-1014.56
10513,XAUUSD.DWX,long,12-48h,34,50.0,7713.96,226.88
10513,XAUUSD.DWX,long,2-7d,31,41.9,-3244.63,-104.67
10513,XAUUSD.DWX,long,1-4wk,1,100.0,1282.54,1282.54
10513,XAUUSD.DWX,long,>4wk,0,,0.0,
10700,XAUUSD.DWX,medium,<2h,28,10.7,-17732.3,-633.3
10700,XAUUSD.DWX,medium,2-8h,87,41.4,-1423.12,-16.36
10700,XAUUSD.DWX,medium,8-24h,95,33.7,-3830.8,-40.32
10700,XAUUSD.DWX,medium,1-3d,137,51.1,65172.74,475.71
10700,XAUUSD.DWX,medium,>3d,26,69.2,19488.25,749.55
10706,GBPUSD.DWX,medium,<2h,77,11.7,-69895.7,-907.74
10706,GBPUSD.DWX,medium,2-8h,108,27.8,-11327.3,-104.88
10706,GBPUSD.DWX,medium,8-24h,92,39.1,21585.78,234.63
10706,GBPUSD.DWX,medium,1-3d,78,92.3,114683.76,1470.3
10706,GBPUSD.DWX,medium,>3d,5,100.0,14055.39,2811.08
10911,GDAXI.DWX,medium,<2h,48,29.2,-9160.08,-190.84
10911,GDAXI.DWX,medium,2-8h,123,30.9,-12966.54,-105.42
10911,GDAXI.DWX,medium,8-24h,116,44.0,18063.49,155.72
10911,GDAXI.DWX,medium,1-3d,42,73.8,24374.85,580.35
10911,GDAXI.DWX,medium,>3d,2,50.0,-1145.46,-572.73
10919,XTIUSD.DWX,medium,<2h,8,75.0,1482.38,185.3
10919,XTIUSD.DWX,medium,2-8h,5,100.0,2375.1,475.02
10919,XTIUSD.DWX,medium,8-24h,12,91.7,2922.85,243.57
10919,XTIUSD.DWX,medium,1-3d,5,40.0,-55.96,-11.19
10919,XTIUSD.DWX,medium,>3d,0,,0.0,
10939,GBPUSD.DWX,medium,<2h,4,25.0,-2057.01,-514.25
10939,GBPUSD.DWX,medium,2-8h,17,41.2,-2935.03,-172.65
10939,GBPUSD.DWX,medium,8-24h,29,48.3,5607.62,193.37
10939,GBPUSD.DWX,medium,1-3d,35,48.6,17021.9,486.34
10939,GBPUSD.DWX,medium,>3d,7,71.4,2181.08,311.58
11132,SP500.DWX,long,<12h,0,,0.0,
11132,SP500.DWX,long,12-48h,44,61.4,3398.16,77.23
11132,SP500.DWX,long,2-7d,29,62.1,3367.74,116.13
11132,SP500.DWX,long,1-4wk,0,,0.0,
11132,SP500.DWX,long,>4wk,0,,0.0,
11165,AUDCAD.DWX,medium,<2h,4,100.0,1299.33,324.83
11165,AUDCAD.DWX,medium,2-8h,67,71.6,7718.94,115.21
11165,AUDCAD.DWX,medium,8-24h,112,65.2,4218.16,37.66
11165,AUDCAD.DWX,medium,1-3d,24,8.3,-9940.58,-414.19
11165,AUDCAD.DWX,medium,>3d,0,,0.0,
11165,EURUSD.DWX,medium,<2h,6,83.3,1059.08,176.51
11165,EURUSD.DWX,medium,2-8h,103,80.6,13343.97,129.55
11165,EURUSD.DWX,medium,8-24h,120,59.2,-1135.65,-9.46
11165,EURUSD.DWX,medium,1-3d,30,13.3,-10545.33,-351.51
11165,EURUSD.DWX,medium,>3d,1,0.0,-81.7,-81.7
11421,AUDUSD.DWX,medium,<2h,6,100.0,1892.56,315.43
11421,AUDUSD.DWX,medium,2-8h,14,78.6,4442.62,317.33
11421,AUDUSD.DWX,medium,8-24h,16,68.8,1358.1,84.88
11421,AUDUSD.DWX,medium,1-3d,35,54.3,-1256.56,-35.9
11421,AUDUSD.DWX,medium,>3d,10,20.0,-3649.6,-364.96
11421,EURUSD.DWX,medium,<2h,7,57.1,248.16,35.45
11421,EURUSD.DWX,medium,2-8h,16,62.5,1321.06,82.57
11421,EURUSD.DWX,medium,8-24h,20,55.0,-806.89,-40.34
11421,EURUSD.DWX,medium,1-3d,39,66.7,6234.33,159.85
11421,EURUSD.DWX,medium,>3d,9,33.3,-2833.83,-314.87
11708,EURUSD.DWX,medium,<2h,6,100.0,866.11,144.35
11708,EURUSD.DWX,medium,2-8h,32,59.4,681.85,21.31
11708,EURUSD.DWX,medium,8-24h,94,75.5,8680.51,92.35
11708,EURUSD.DWX,medium,1-3d,33,36.4,-3830.75,-116.08
11708,EURUSD.DWX,medium,>3d,8,12.5,-3790.17,-473.77
12567,XAUUSD.DWX,long,<12h,0,,0.0,
12567,XAUUSD.DWX,long,12-48h,31,71.0,2080.58,67.12
12567,XAUUSD.DWX,long,2-7d,37,67.6,2810.54,75.96
12567,XAUUSD.DWX,long,1-4wk,5,60.0,-214.36,-42.87
