ea_id,symbol,n_winners,anchor,med,p75,p90,share_ge_0_5,share_ge_0_7,share_ge_0_9,stop_binding
1537,XAGUSD.DWX,39,297.15,0.4785,0.7406,0.9431,0.4872,0.3077,0.1282,true
1556,XAUUSD.DWX,30,380.77,0.2913,0.4739,0.6012,0.2333,0.0667,0.0,false
1567,EURUSD.DWX,46,1009.345,0.2883,0.6117,0.8912,0.2826,0.1957,0.1087,true
9641,WS30.DWX,34,583.225,0.4332,0.6505,0.9078,0.3824,0.1765,0.1176,true
10403,XAUUSD.DWX,103,643.71,0.2286,0.3986,0.7208,0.1748,0.1068,0.0583,false
10440,NDX.DWX,237,1020.38,0.3965,0.6339,0.8553,0.4304,0.2068,0.0802,true
10513,XAUUSD.DWX,31,971.5,0.3599,0.6038,0.7547,0.2903,0.1935,0.0,true
10700,XAUUSD.DWX,159,996.495,0.2965,0.5959,0.8022,0.3333,0.1824,0.0629,true
10706,GBPUSD.DWX,152,1030.02,0.4037,0.6844,0.829,0.4079,0.2434,0.0329,true
10911,GDAXI.DWX,135,772.095,0.3316,0.5535,0.7701,0.2815,0.163,0.0444,true
10919,XTIUSD.DWX,24,454.25,0.4969,0.7535,1.195,0.5,0.2917,0.2083,true
10939,GBPUSD.DWX,44,1000.38,0.3104,0.516,0.647,0.2955,0.0909,0.0227,true
11132,SP500.DWX,45,774.24,0.2,0.3473,0.5181,0.1333,0.0444,0.0222,false
11165,AUDCAD.DWX,127,446.33,0.2989,0.4879,0.6782,0.2441,0.0945,0.0394,false
11165,EURUSD.DWX,163,447.12,0.1923,0.3972,0.6392,0.184,0.0859,0.0552,false
11421,AUDUSD.DWX,49,1002.975,0.1903,0.5081,0.7308,0.2653,0.1429,0.0,true
11421,EURUSD.DWX,54,987.9,0.2701,0.4516,0.6636,0.2407,0.0741,0.0,false
11708,EURUSD.DWX,109,349.66,0.2961,0.5036,0.8692,0.2661,0.2018,0.0917,true
12567,XAUUSD.DWX,50,489.94,0.2873,0.5462,0.7167,0.3,0.12,0.02,true
12567,XNGUSD.DWX,31,312.0,0.3397,0.6058,0.8974,0.3548,0.1935,0.0968,true
12778,AUDUSD.DWX,92,210.13,0.3646,0.6979,1.2616,0.4348,0.25,0.2065,true
12969,USDJPY.DWX,210,203.0,0.3271,0.5586,0.837,0.3,0.1762,0.0857,true
12989,XAUUSD.DWX,23,970.415,0.357,0.6121,0.8179,0.3043,0.2174,0.0435,true
13013,NDX.DWX,29,318.71,0.3642,0.5345,0.9822,0.3103,0.1379,0.1379,true
13054,XTIUSD.DWX,44,488.1,0.285,0.4048,0.7443,0.2045,0.1136,0.0682,false
13117,EURGBP.DWX,108,104.575,0.6476,2.2811,3.8684,0.5556,0.4815,0.4444,true
13128,NDX.DWX,36,201.965,0.493,0.644,0.9049,0.5,0.1944,0.1111,true
13213,USDJPY.DWX,775,1024.72,0.2967,0.5199,0.7337,0.2723,0.1226,0.0245,true
13301,GDAXI.DWX,378,1002.335,0.293,0.5221,0.6888,0.2672,0.0847,0.0185,true
21505,XAGUSD.DWX,60,569.375,0.3563,0.4879,0.6974,0.25,0.1,0.0167,true
