datetime,currency,event_name,impact
2015-01-09 13:30:00,USD,Non-Farm Employment Change,high
2015-01-15 13:30:00,USD,PPI m/m,high
2015-01-16 13:30:00,USD,CPI m/m,high
2015-01-28 19:00:00,USD,FOMC Statement,high
2015-02-06 13:30:00,USD,Non-Farm Employment Change,high
2015-02-18 13:30:00,USD,PPI m/m,high
2015-02-26 13:30:00,USD,CPI m/m,high
2015-03-06 13:30:00,USD,Non-Farm Employment Change,high
2015-03-13 12:30:00,USD,PPI m/m,high
2015-03-18 18:00:00,USD,FOMC Statement,high
2015-03-24 12:30:00,USD,CPI m/m,high
2015-04-03 12:30:00,USD,Non-Farm Employment Change,high
2015-04-14 12:30:00,USD,PPI m/m,high
2015-04-17 12:30:00,USD,CPI m/m,high
2015-04-29 18:00:00,USD,FOMC Statement,high
2015-05-08 12:30:00,USD,Non-Farm Employment Change,high
2015-05-14 12:30:00,USD,PPI m/m,high
2015-05-22 12:30:00,USD,CPI m/m,high
2015-06-05 12:30:00,USD,Non-Farm Employment Change,high
2015-06-12 12:30:00,USD,PPI m/m,high
2015-06-17 18:00:00,USD,FOMC Statement,high
2015-06-18 12:30:00,USD,CPI m/m,high
2015-07-02 12:30:00,USD,Non-Farm Employment Change,high
2015-07-15 12:30:00,USD,PPI m/m,high
2015-07-17 12:30:00,USD,CPI m/m,high
2015-07-29 18:00:00,USD,FOMC Statement,high
2015-08-07 12:30:00,USD,Non-Farm Employment Change,high
2015-08-14 12:30:00,USD,PPI m/m,high
2015-08-19 12:30:00,USD,CPI m/m,high
2015-09-04 12:30:00,USD,Non-Farm Employment Change,high
2015-09-11 12:30:00,USD,PPI m/m,high
2015-09-16 12:30:00,USD,CPI m/m,high
2015-09-17 18:00:00,USD,FOMC Statement,high
2015-10-02 12:30:00,USD,Non-Farm Employment Change,high
2015-10-14 12:30:00,USD,PPI m/m,high
2015-10-15 12:30:00,USD,CPI m/m,high
2015-10-28 18:00:00,USD,FOMC Statement,high
2015-11-06 13:30:00,USD,Non-Farm Employment Change,high
2015-11-13 13:30:00,USD,PPI m/m,high
2015-11-17 13:30:00,USD,CPI m/m,high
2015-12-04 13:30:00,USD,Non-Farm Employment Change,high
2015-12-11 13:30:00,USD,PPI m/m,high
2015-12-15 13:30:00,USD,CPI m/m,high
2015-12-16 19:00:00,USD,FOMC Statement,high
2016-01-08 13:30:00,USD,Non-Farm Employment Change,high
2016-01-15 13:30:00,USD,PPI m/m,high
2016-01-20 13:30:00,USD,CPI m/m,high
2016-01-27 19:00:00,USD,FOMC Statement,high
2016-02-05 13:30:00,USD,Non-Farm Employment Change,high
2016-02-17 13:30:00,USD,PPI m/m,high
2016-02-19 13:30:00,USD,CPI m/m,high
2016-03-04 13:30:00,USD,Non-Farm Employment Change,high
2016-03-15 12:30:00,USD,PPI m/m,high
2016-03-16 12:30:00,USD,CPI m/m,high
