"run_dir","symbol","period","result","reason_classes","trades","gross_profit","net_profit","pf","evidence"
"20260505_232917","AUDUSD.DWX","M15","FAIL","MIN_TRADES_NOT_MET",,,,,
"20260505_232828","GBPUSD.DWX","M15","FAIL","MIN_TRADES_NOT_MET",,,,,
"20260505_232722","GDAXIm.DWX","H1","FAIL","MIN_TRADES_NOT_MET",,,,,
"20260505_232741","NDXm.DWX","H1","FAIL","MIN_TRADES_NOT_MET",,,,,
"20260505_232759","NZDCAD.DWX","H1","FAIL","MIN_TRADES_NOT_MET",,,,,
"20260505_232813","NZDCHF.DWX","H1","FAIL","MIN_TRADES_NOT_MET",,,,,
"20260505_232834","NZDJPY.DWX","H1","FAIL","MIN_TRADES_NOT_MET",,,,,
"20260505_232855","NZDUSD.DWX","H1","FAIL","MIN_TRADES_NOT_MET",,,,,
"20260505_232913","UK100.DWX","H1","FAIL","MIN_TRADES_NOT_MET",,,,,
"20260505_232936","USDCAD.DWX","H1","FAIL","MIN_TRADES_NOT_MET",,,,,
"20260505_232951","USDCHF.DWX","H1","FAIL","MIN_TRADES_NOT_MET",,,,,
"20260505_233009","USDJPY.DWX","H1","FAIL","MIN_TRADES_NOT_MET",,,,,
"20260505_233028","WS30.DWX","H1","FAIL","MIN_TRADES_NOT_MET",,,,,
"20260505_233048","XAGUSD.DWX","H1","FAIL","MIN_TRADES_NOT_MET",,,,,
"20260505_233104","XAUUSD.DWX","H1","FAIL","MIN_TRADES_NOT_MET;NON_DETERMINISTIC",,,,,
"20260505_233132","XNGUSD.DWX","H1","FAIL","MIN_TRADES_NOT_MET",,,,,
"20260505_233151","XTIUSD.DWX","H1","FAIL","MIN_TRADES_NOT_MET",,,,,
