date_london,pm_auction_status,auction_start_london,auction_start_utc,london_utc_offset_minutes
2020-01-01,NO_PM_AUCTION_HOLIDAY,,,0
2020-01-02,SCHEDULED_PM_AUCTION,15:00:00,2020-01-02T15:00:00Z,0
2020-01-03,SCHEDULED_PM_AUCTION,15:00:00,2020-01-03T15:00:00Z,0
2020-01-04,NO_PM_AUCTION_WEEKEND,,,0
2020-01-05,NO_PM_AUCTION_WEEKEND,,,0
2020-01-06,SCHEDULED_PM_AUCTION,15:00:00,2020-01-06T15:00:00Z,0
2020-01-07,SCHEDULED_PM_AUCTION,15:00:00,2020-01-07T15:00:00Z,0
2020-01-08,SCHEDULED_PM_AUCTION,15:00:00,2020-01-08T15:00:00Z,0
2020-01-09,SCHEDULED_PM_AUCTION,15:00:00,2020-01-09T15:00:00Z,0
2020-01-10,SCHEDULED_PM_AUCTION,15:00:00,2020-01-10T15:00:00Z,0
2020-01-11,NO_PM_AUCTION_WEEKEND,,,0
2020-01-12,NO_PM_AUCTION_WEEKEND,,,0
2020-01-13,SCHEDULED_PM_AUCTION,15:00:00,2020-01-13T15:00:00Z,0
2020-01-14,SCHEDULED_PM_AUCTION,15:00:00,2020-01-14T15:00:00Z,0
2020-01-15,SCHEDULED_PM_AUCTION,15:00:00,2020-01-15T15:00:00Z,0
2020-01-16,SCHEDULED_PM_AUCTION,15:00:00,2020-01-16T15:00:00Z,0
2020-01-17,SCHEDULED_PM_AUCTION,15:00:00,2020-01-17T15:00:00Z,0
2020-01-18,NO_PM_AUCTION_WEEKEND,,,0
2020-01-19,NO_PM_AUCTION_WEEKEND,,,0
2020-01-20,SCHEDULED_PM_AUCTION,15:00:00,2020-01-20T15:00:00Z,0
2020-01-21,SCHEDULED_PM_AUCTION,15:00:00,2020-01-21T15:00:00Z,0
2020-01-22,SCHEDULED_PM_AUCTION,15:00:00,2020-01-22T15:00:00Z,0
2020-01-23,SCHEDULED_PM_AUCTION,15:00:00,2020-01-23T15:00:00Z,0
2020-01-24,SCHEDULED_PM_AUCTION,15:00:00,2020-01-24T15:00:00Z,0
2020-01-25,NO_PM_AUCTION_WEEKEND,,,0
2020-01-26,NO_PM_AUCTION_WEEKEND,,,0
2020-01-27,SCHEDULED_PM_AUCTION,15:00:00,2020-01-27T15:00:00Z,0
2020-01-28,SCHEDULED_PM_AUCTION,15:00:00,2020-01-28T15:00:00Z,0
2020-01-29,SCHEDULED_PM_AUCTION,15:00:00,2020-01-29T15:00:00Z,0
2020-01-30,SCHEDULED_PM_AUCTION,15:00:00,2020-01-30T15:00:00Z,0
2020-01-31,SCHEDULED_PM_AUCTION,15:00:00,2020-01-31T15:00:00Z,0
2020-02-01,NO_PM_AUCTION_WEEKEND,,,0
2020-02-02,NO_PM_AUCTION_WEEKEND,,,0
2020-02-03,SCHEDULED_PM_AUCTION,15:00:00,2020-02-03T15:00:00Z,0
2020-02-04,SCHEDULED_PM_AUCTION,15:00:00,2020-02-04T15:00:00Z,0
2020-02-05,SCHEDULED_PM_AUCTION,15:00:00,2020-02-05T15:00:00Z,0
2020-02-06,SCHEDULED_PM_AUCTION,15:00:00,2020-02-06T15:00:00Z,0
2020-02-07,SCHEDULED_PM_AUCTION,15:00:00,2020-02-07T15:00:00Z,0
2020-02-08,NO_PM_AUCTION_WEEKEND,,,0
2020-02-09,NO_PM_AUCTION_WEEKEND,,,0
2020-02-10,SCHEDULED_PM_AUCTION,15:00:00,2020-02-10T15:00:00Z,0
2020-02-11,SCHEDULED_PM_AUCTION,15:00:00,2020-02-11T15:00:00Z,0
2020-02-12,SCHEDULED_PM_AUCTION,15:00:00,2020-02-12T15:00:00Z,0
2020-02-13,SCHEDULED_PM_AUCTION,15:00:00,2020-02-13T15:00:00Z,0
2020-02-14,SCHEDULED_PM_AUCTION,15:00:00,2020-02-14T15:00:00Z,0
2020-02-15,NO_PM_AUCTION_WEEKEND,,,0
2020-02-16,NO_PM_AUCTION_WEEKEND,,,0
2020-02-17,SCHEDULED_PM_AUCTION,15:00:00,2020-02-17T15:00:00Z,0
2020-02-18,SCHEDULED_PM_AUCTION,15:00:00,2020-02-18T15:00:00Z,0
2020-02-19,SCHEDULED_PM_AUCTION,15:00:00,2020-02-19T15:00:00Z,0
2020-02-20,SCHEDULED_PM_AUCTION,15:00:00,2020-02-20T15:00:00Z,0
2020-02-21,SCHEDULED_PM_AUCTION,15:00:00,2020-02-21T15:00:00Z,0
2020-02-22,NO_PM_AUCTION_WEEKEND,,,0
2020-02-23,NO_PM_AUCTION_WEEKEND,,,0
2020-02-24,SCHEDULED_PM_AUCTION,15:00:00,2020-02-24T15:00:00Z,0
2020-02-25,SCHEDULED_PM_AUCTION,15:00:00,2020-02-25T15:00:00Z,0
2020-02-26,SCHEDULED_PM_AUCTION,15:00:00,2020-02-26T15:00:00Z,0
2020-02-27,SCHEDULED_PM_AUCTION,15:00:00,2020-02-27T15:00:00Z,0
2020-02-28,SCHEDULED_PM_AUCTION,15:00:00,2020-02-28T15:00:00Z,0
2020-02-29,NO_PM_AUCTION_WEEKEND,,,0
2020-03-01,NO_PM_AUCTION_WEEKEND,,,0
2020-03-02,SCHEDULED_PM_AUCTION,15:00:00,2020-03-02T15:00:00Z,0
2020-03-03,SCHEDULED_PM_AUCTION,15:00:00,2020-03-03T15:00:00Z,0
2020-03-04,SCHEDULED_PM_AUCTION,15:00:00,2020-03-04T15:00:00Z,0
2020-03-05,SCHEDULED_PM_AUCTION,15:00:00,2020-03-05T15:00:00Z,0
2020-03-06,SCHEDULED_PM_AUCTION,15:00:00,2020-03-06T15:00:00Z,0
2020-03-07,NO_PM_AUCTION_WEEKEND,,,0
2020-03-08,NO_PM_AUCTION_WEEKEND,,,0
2020-03-09,SCHEDULED_PM_AUCTION,15:00:00,2020-03-09T15:00:00Z,0
2020-03-10,SCHEDULED_PM_AUCTION,15:00:00,2020-03-10T15:00:00Z,0
2020-03-11,SCHEDULED_PM_AUCTION,15:00:00,2020-03-11T15:00:00Z,0
2020-03-12,SCHEDULED_PM_AUCTION,15:00:00,2020-03-12T15:00:00Z,0
2020-03-13,SCHEDULED_PM_AUCTION,15:00:00,2020-03-13T15:00:00Z,0
2020-03-14,NO_PM_AUCTION_WEEKEND,,,0
2020-03-15,NO_PM_AUCTION_WEEKEND,,,0
2020-03-16,SCHEDULED_PM_AUCTION,15:00:00,2020-03-16T15:00:00Z,0
2020-03-17,SCHEDULED_PM_AUCTION,15:00:00,2020-03-17T15:00:00Z,0
2020-03-18,SCHEDULED_PM_AUCTION,15:00:00,2020-03-18T15:00:00Z,0
2020-03-19,SCHEDULED_PM_AUCTION,15:00:00,2020-03-19T15:00:00Z,0
2020-03-20,SCHEDULED_PM_AUCTION,15:00:00,2020-03-20T15:00:00Z,0
2020-03-21,NO_PM_AUCTION_WEEKEND,,,0
2020-03-22,NO_PM_AUCTION_WEEKEND,,,0
2020-03-23,SCHEDULED_PM_AUCTION,15:00:00,2020-03-23T15:00:00Z,0
2020-03-24,SCHEDULED_PM_AUCTION,15:00:00,2020-03-24T15:00:00Z,0
2020-03-25,SCHEDULED_PM_AUCTION,15:00:00,2020-03-25T15:00:00Z,0
2020-03-26,SCHEDULED_PM_AUCTION,15:00:00,2020-03-26T15:00:00Z,0
2020-03-27,SCHEDULED_PM_AUCTION,15:00:00,2020-03-27T15:00:00Z,0
2020-03-28,NO_PM_AUCTION_WEEKEND,,,0
2020-03-29,NO_PM_AUCTION_WEEKEND,,,60
2020-03-30,SCHEDULED_PM_AUCTION,15:00:00,2020-03-30T14:00:00Z,60
2020-03-31,SCHEDULED_PM_AUCTION,15:00:00,2020-03-31T14:00:00Z,60
2020-04-01,SCHEDULED_PM_AUCTION,15:00:00,2020-04-01T14:00:00Z,60
2020-04-02,SCHEDULED_PM_AUCTION,15:00:00,2020-04-02T14:00:00Z,60
2020-04-03,SCHEDULED_PM_AUCTION,15:00:00,2020-04-03T14:00:00Z,60
2020-04-04,NO_PM_AUCTION_WEEKEND,,,60
2020-04-05,NO_PM_AUCTION_WEEKEND,,,60
2020-04-06,SCHEDULED_PM_AUCTION,15:00:00,2020-04-06T14:00:00Z,60
2020-04-07,SCHEDULED_PM_AUCTION,15:00:00,2020-04-07T14:00:00Z,60
2020-04-08,SCHEDULED_PM_AUCTION,15:00:00,2020-04-08T14:00:00Z,60
2020-04-09,SCHEDULED_PM_AUCTION,15:00:00,2020-04-09T14:00:00Z,60
2020-04-10,NO_PM_AUCTION_HOLIDAY,,,60
2020-04-11,NO_PM_AUCTION_WEEKEND,,,60
2020-04-12,NO_PM_AUCTION_WEEKEND,,,60
2020-04-13,NO_PM_AUCTION_HOLIDAY,,,60
2020-04-14,SCHEDULED_PM_AUCTION,15:00:00,2020-04-14T14:00:00Z,60
2020-04-15,SCHEDULED_PM_AUCTION,15:00:00,2020-04-15T14:00:00Z,60
2020-04-16,SCHEDULED_PM_AUCTION,15:00:00,2020-04-16T14:00:00Z,60
2020-04-17,SCHEDULED_PM_AUCTION,15:00:00,2020-04-17T14:00:00Z,60
2020-04-18,NO_PM_AUCTION_WEEKEND,,,60
2020-04-19,NO_PM_AUCTION_WEEKEND,,,60
2020-04-20,SCHEDULED_PM_AUCTION,15:00:00,2020-04-20T14:00:00Z,60
2020-04-21,SCHEDULED_PM_AUCTION,15:00:00,2020-04-21T14:00:00Z,60
