date_london,day_type
2018-01-01,PUBLIC_OR_BANK_HOLIDAY
2018-03-30,PUBLIC_OR_BANK_HOLIDAY
2018-04-02,PUBLIC_OR_BANK_HOLIDAY
2018-05-07,PUBLIC_OR_BANK_HOLIDAY
2018-05-28,PUBLIC_OR_BANK_HOLIDAY
2018-08-27,PUBLIC_OR_BANK_HOLIDAY
2018-12-25,PUBLIC_OR_BANK_HOLIDAY
2018-12-26,PUBLIC_OR_BANK_HOLIDAY
2019-01-01,PUBLIC_OR_BANK_HOLIDAY
2019-04-19,PUBLIC_OR_BANK_HOLIDAY
2019-04-22,PUBLIC_OR_BANK_HOLIDAY
2019-05-06,PUBLIC_OR_BANK_HOLIDAY
2019-05-27,PUBLIC_OR_BANK_HOLIDAY
2019-08-26,PUBLIC_OR_BANK_HOLIDAY
2019-12-25,PUBLIC_OR_BANK_HOLIDAY
2019-12-26,PUBLIC_OR_BANK_HOLIDAY
2020-01-01,PUBLIC_OR_BANK_HOLIDAY
2020-04-10,PUBLIC_OR_BANK_HOLIDAY
2020-04-13,PUBLIC_OR_BANK_HOLIDAY
2020-05-08,PUBLIC_OR_BANK_HOLIDAY
2020-05-25,PUBLIC_OR_BANK_HOLIDAY
2020-08-31,PUBLIC_OR_BANK_HOLIDAY
2020-12-25,PUBLIC_OR_BANK_HOLIDAY
2020-12-28,PUBLIC_OR_BANK_HOLIDAY
2021-01-01,PUBLIC_OR_BANK_HOLIDAY
2021-04-02,PUBLIC_OR_BANK_HOLIDAY
2021-04-05,PUBLIC_OR_BANK_HOLIDAY
2021-05-03,PUBLIC_OR_BANK_HOLIDAY
2021-05-31,PUBLIC_OR_BANK_HOLIDAY
2021-08-30,PUBLIC_OR_BANK_HOLIDAY
2021-12-27,PUBLIC_OR_BANK_HOLIDAY
2021-12-28,PUBLIC_OR_BANK_HOLIDAY
2022-01-03,PUBLIC_OR_BANK_HOLIDAY
2022-04-15,PUBLIC_OR_BANK_HOLIDAY
2022-04-18,PUBLIC_OR_BANK_HOLIDAY
2022-05-02,PUBLIC_OR_BANK_HOLIDAY
2022-06-02,PUBLIC_OR_BANK_HOLIDAY
2022-06-03,PUBLIC_OR_BANK_HOLIDAY
2022-08-29,PUBLIC_OR_BANK_HOLIDAY
2022-09-19,PUBLIC_OR_BANK_HOLIDAY
2022-12-26,PUBLIC_OR_BANK_HOLIDAY
2022-12-27,PUBLIC_OR_BANK_HOLIDAY
2023-01-02,PUBLIC_OR_BANK_HOLIDAY
2023-04-07,PUBLIC_OR_BANK_HOLIDAY
2023-04-10,PUBLIC_OR_BANK_HOLIDAY
2023-05-01,PUBLIC_OR_BANK_HOLIDAY
2023-05-08,PUBLIC_OR_BANK_HOLIDAY
2023-05-29,PUBLIC_OR_BANK_HOLIDAY
2023-08-28,PUBLIC_OR_BANK_HOLIDAY
2023-12-25,PUBLIC_OR_BANK_HOLIDAY
2023-12-26,PUBLIC_OR_BANK_HOLIDAY
2024-01-01,PUBLIC_OR_BANK_HOLIDAY
2024-03-29,PUBLIC_OR_BANK_HOLIDAY
2024-04-01,PUBLIC_OR_BANK_HOLIDAY
2024-05-06,PUBLIC_OR_BANK_HOLIDAY
2024-05-27,PUBLIC_OR_BANK_HOLIDAY
2024-08-26,PUBLIC_OR_BANK_HOLIDAY
2024-12-25,PUBLIC_OR_BANK_HOLIDAY
2024-12-26,PUBLIC_OR_BANK_HOLIDAY
2025-01-01,PUBLIC_OR_BANK_HOLIDAY
2025-04-18,PUBLIC_OR_BANK_HOLIDAY
2025-04-21,PUBLIC_OR_BANK_HOLIDAY
2025-05-05,PUBLIC_OR_BANK_HOLIDAY
2025-05-26,PUBLIC_OR_BANK_HOLIDAY
2025-08-25,PUBLIC_OR_BANK_HOLIDAY
2025-12-25,PUBLIC_OR_BANK_HOLIDAY
2025-12-26,PUBLIC_OR_BANK_HOLIDAY
