date_london,day_type,event_name,notes,qualification,source_ids
2018-01-01,PUBLIC_OR_BANK_HOLIDAY,New Years Day,,OFFICIAL_ENGLAND_WALES_HOLIDAY,ALPHAGOV_CALENDARS_2018|UK_BANKING_FINANCIAL_DEALINGS_ACT_1971|LONDON_GAZETTE_62002_2018_PROCLAMATION
2018-03-30,PUBLIC_OR_BANK_HOLIDAY,Good Friday,,OFFICIAL_ENGLAND_WALES_HOLIDAY,ALPHAGOV_CALENDARS_2018|UK_BANKING_FINANCIAL_DEALINGS_ACT_1971|LONDON_GAZETTE_62002_2018_PROCLAMATION
2018-04-02,PUBLIC_OR_BANK_HOLIDAY,Easter Monday,,OFFICIAL_ENGLAND_WALES_HOLIDAY,ALPHAGOV_CALENDARS_2018|UK_BANKING_FINANCIAL_DEALINGS_ACT_1971|LONDON_GAZETTE_62002_2018_PROCLAMATION
2018-05-07,PUBLIC_OR_BANK_HOLIDAY,Early May bank holiday,,OFFICIAL_ENGLAND_WALES_HOLIDAY,ALPHAGOV_CALENDARS_2018|UK_BANKING_FINANCIAL_DEALINGS_ACT_1971|LONDON_GAZETTE_62002_2018_PROCLAMATION
2018-05-28,PUBLIC_OR_BANK_HOLIDAY,Spring bank holiday,,OFFICIAL_ENGLAND_WALES_HOLIDAY,ALPHAGOV_CALENDARS_2018|UK_BANKING_FINANCIAL_DEALINGS_ACT_1971|LONDON_GAZETTE_62002_2018_PROCLAMATION
2018-08-27,PUBLIC_OR_BANK_HOLIDAY,Summer bank holiday,,OFFICIAL_ENGLAND_WALES_HOLIDAY,ALPHAGOV_CALENDARS_2018|UK_BANKING_FINANCIAL_DEALINGS_ACT_1971|LONDON_GAZETTE_62002_2018_PROCLAMATION
2018-12-25,PUBLIC_OR_BANK_HOLIDAY,Christmas Day,,OFFICIAL_ENGLAND_WALES_HOLIDAY,ALPHAGOV_CALENDARS_2018|UK_BANKING_FINANCIAL_DEALINGS_ACT_1971|LONDON_GAZETTE_62002_2018_PROCLAMATION
2018-12-26,PUBLIC_OR_BANK_HOLIDAY,Boxing Day,,OFFICIAL_ENGLAND_WALES_HOLIDAY,ALPHAGOV_CALENDARS_2018|UK_BANKING_FINANCIAL_DEALINGS_ACT_1971|LONDON_GAZETTE_62002_2018_PROCLAMATION
2019-01-01,PUBLIC_OR_BANK_HOLIDAY,New Years Day,,OFFICIAL_ENGLAND_WALES_HOLIDAY,GOVUK_BANK_HOLIDAYS_2019_2025
2019-04-19,PUBLIC_OR_BANK_HOLIDAY,Good Friday,,OFFICIAL_ENGLAND_WALES_HOLIDAY,GOVUK_BANK_HOLIDAYS_2019_2025
2019-04-22,PUBLIC_OR_BANK_HOLIDAY,Easter Monday,,OFFICIAL_ENGLAND_WALES_HOLIDAY,GOVUK_BANK_HOLIDAYS_2019_2025
2019-05-06,PUBLIC_OR_BANK_HOLIDAY,Early May bank holiday,,OFFICIAL_ENGLAND_WALES_HOLIDAY,GOVUK_BANK_HOLIDAYS_2019_2025
