date_london,session_type,event_name,qualification,source_ids
2018-01-01,FULL_CLOSE,New Years Day,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,ALPHAGOV_CALENDARS_2018|LSE_N15_2022_RECOGNITION_RULE
2018-03-30,FULL_CLOSE,Good Friday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,ALPHAGOV_CALENDARS_2018|LSE_N15_2022_RECOGNITION_RULE
2018-04-02,FULL_CLOSE,Easter Monday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,ALPHAGOV_CALENDARS_2018|LSE_N15_2022_RECOGNITION_RULE
2018-05-07,FULL_CLOSE,Early May bank holiday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,ALPHAGOV_CALENDARS_2018|LSE_N15_2022_RECOGNITION_RULE
2018-05-28,FULL_CLOSE,Spring bank holiday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,ALPHAGOV_CALENDARS_2018|LSE_N15_2022_RECOGNITION_RULE
2018-08-27,FULL_CLOSE,Summer bank holiday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,ALPHAGOV_CALENDARS_2018|LSE_N15_2022_RECOGNITION_RULE
2018-12-24,EARLY_CLOSE,Final trading day before Christmas,OFFICIAL_RULE_DERIVED_1230_LONDON_CLOSE,LSE_SETS_TRADING_CYCLE
2018-12-25,FULL_CLOSE,Christmas Day,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,ALPHAGOV_CALENDARS_2018|LSE_N15_2022_RECOGNITION_RULE
2018-12-26,FULL_CLOSE,Boxing Day,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,ALPHAGOV_CALENDARS_2018|LSE_N15_2022_RECOGNITION_RULE
2018-12-31,EARLY_CLOSE,Final trading day of calendar year,OFFICIAL_RULE_DERIVED_1230_LONDON_CLOSE,LSE_SETS_TRADING_CYCLE
2019-01-01,FULL_CLOSE,New Years Day,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2019-04-19,FULL_CLOSE,Good Friday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2019-04-22,FULL_CLOSE,Easter Monday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2019-05-06,FULL_CLOSE,Early May bank holiday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2019-05-27,FULL_CLOSE,Spring bank holiday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2019-08-26,FULL_CLOSE,Summer bank holiday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2019-12-24,EARLY_CLOSE,Final trading day before Christmas,OFFICIAL_RULE_DERIVED_1230_LONDON_CLOSE,LSE_SETS_TRADING_CYCLE
2019-12-25,FULL_CLOSE,Christmas Day,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2019-12-26,FULL_CLOSE,Boxing Day,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2019-12-31,EARLY_CLOSE,Final trading day of calendar year,OFFICIAL_RULE_DERIVED_1230_LONDON_CLOSE,LSE_SETS_TRADING_CYCLE
2020-01-01,FULL_CLOSE,New Years Day,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2020-04-10,FULL_CLOSE,Good Friday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2020-04-13,FULL_CLOSE,Easter Monday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2020-05-08,FULL_CLOSE,Early May bank holiday VE day,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2020-05-25,FULL_CLOSE,Spring bank holiday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2020-08-31,FULL_CLOSE,Summer bank holiday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2020-12-24,EARLY_CLOSE,Final trading day before Christmas,OFFICIAL_RULE_DERIVED_1230_LONDON_CLOSE,LSE_SETS_TRADING_CYCLE
2020-12-25,FULL_CLOSE,Christmas Day,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2020-12-28,FULL_CLOSE,Boxing Day,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2020-12-31,EARLY_CLOSE,Final trading day of calendar year,OFFICIAL_RULE_DERIVED_1230_LONDON_CLOSE,LSE_SETS_TRADING_CYCLE
2021-01-01,FULL_CLOSE,New Years Day,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2021-04-02,FULL_CLOSE,Good Friday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2021-04-05,FULL_CLOSE,Easter Monday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2021-05-03,FULL_CLOSE,Early May bank holiday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2021-05-31,FULL_CLOSE,Spring bank holiday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2021-08-30,FULL_CLOSE,Summer bank holiday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2021-12-24,EARLY_CLOSE,Final trading day before Christmas,OFFICIAL_RULE_DERIVED_1230_LONDON_CLOSE,LSE_SETS_TRADING_CYCLE
2021-12-27,FULL_CLOSE,Christmas Day,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2021-12-28,FULL_CLOSE,Boxing Day,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2021-12-31,EARLY_CLOSE,Final trading day of calendar year,OFFICIAL_RULE_DERIVED_1230_LONDON_CLOSE,LSE_SETS_TRADING_CYCLE
2022-01-03,FULL_CLOSE,New Years Day,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2022-04-15,FULL_CLOSE,Good Friday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
2022-04-18,FULL_CLOSE,Easter Monday,OFFICIAL_FULL_CLOSE_FROM_ENGLAND_WALES_HOLIDAY_RECOGNITION,GOVUK_BANK_HOLIDAYS_2019_2025|LSE_N15_2022_RECOGNITION_RULE
