date_new_york,session_type,open_time_new_york,close_time_new_york
2018-01-01,FULL_CLOSE,,
2018-01-15,FULL_CLOSE,,
2018-02-19,FULL_CLOSE,,
2018-03-30,FULL_CLOSE,,
2018-05-28,FULL_CLOSE,,
2018-07-03,EARLY_CLOSE,09:30,13:00
2018-07-04,FULL_CLOSE,,
2018-09-03,FULL_CLOSE,,
2018-11-22,FULL_CLOSE,,
2018-11-23,EARLY_CLOSE,09:30,13:00
2018-12-05,FULL_CLOSE,,
2018-12-24,EARLY_CLOSE,09:30,13:00
2018-12-25,FULL_CLOSE,,
2019-01-01,FULL_CLOSE,,
2019-01-21,FULL_CLOSE,,
2019-02-18,FULL_CLOSE,,
2019-04-19,FULL_CLOSE,,
2019-05-27,FULL_CLOSE,,
2019-07-03,EARLY_CLOSE,09:30,13:00
2019-07-04,FULL_CLOSE,,
2019-09-02,FULL_CLOSE,,
2019-11-28,FULL_CLOSE,,
2019-11-29,EARLY_CLOSE,09:30,13:00
2019-12-24,EARLY_CLOSE,09:30,13:00
2019-12-25,FULL_CLOSE,,
2020-01-01,FULL_CLOSE,,
2020-01-20,FULL_CLOSE,,
2020-02-17,FULL_CLOSE,,
2020-04-10,FULL_CLOSE,,
2020-05-25,FULL_CLOSE,,
2020-07-03,FULL_CLOSE,,
2020-09-07,FULL_CLOSE,,
2020-11-26,FULL_CLOSE,,
2020-11-27,EARLY_CLOSE,09:30,13:00
2020-12-24,EARLY_CLOSE,09:30,13:00
2020-12-25,FULL_CLOSE,,
2021-01-01,FULL_CLOSE,,
2021-01-18,FULL_CLOSE,,
2021-02-15,FULL_CLOSE,,
2021-04-02,FULL_CLOSE,,
2021-05-31,FULL_CLOSE,,
2021-07-05,FULL_CLOSE,,
2021-09-06,FULL_CLOSE,,
2021-11-25,FULL_CLOSE,,
2021-11-26,EARLY_CLOSE,09:30,13:00
2021-12-24,FULL_CLOSE,,
2022-01-17,FULL_CLOSE,,
2022-02-21,FULL_CLOSE,,
2022-04-15,FULL_CLOSE,,
2022-05-30,FULL_CLOSE,,
2022-06-20,FULL_CLOSE,,
2022-07-04,FULL_CLOSE,,
2022-09-05,FULL_CLOSE,,
2022-11-24,FULL_CLOSE,,
2022-11-25,EARLY_CLOSE,09:30,13:00
2022-12-26,FULL_CLOSE,,
2023-01-02,FULL_CLOSE,,
2023-01-16,FULL_CLOSE,,
2023-02-20,FULL_CLOSE,,
2023-04-07,FULL_CLOSE,,
2023-05-29,FULL_CLOSE,,
2023-06-19,FULL_CLOSE,,
2023-07-03,EARLY_CLOSE,09:30,13:00
2023-07-04,FULL_CLOSE,,
2023-09-04,FULL_CLOSE,,
2023-11-23,FULL_CLOSE,,
2023-11-24,EARLY_CLOSE,09:30,13:00
2023-12-25,FULL_CLOSE,,
2024-01-01,FULL_CLOSE,,
2024-01-15,FULL_CLOSE,,
2024-02-19,FULL_CLOSE,,
2024-03-29,FULL_CLOSE,,
2024-05-27,FULL_CLOSE,,
2024-06-19,FULL_CLOSE,,
2024-07-03,EARLY_CLOSE,09:30,13:00
2024-07-04,FULL_CLOSE,,
2024-09-02,FULL_CLOSE,,
2024-11-28,FULL_CLOSE,,
2024-11-29,EARLY_CLOSE,09:30,13:00
2024-12-24,EARLY_CLOSE,09:30,13:00
2024-12-25,FULL_CLOSE,,
2025-01-01,FULL_CLOSE,,
2025-01-09,FULL_CLOSE,,
2025-01-20,FULL_CLOSE,,
2025-02-17,FULL_CLOSE,,
2025-04-18,FULL_CLOSE,,
2025-05-26,FULL_CLOSE,,
2025-06-19,FULL_CLOSE,,
2025-07-03,EARLY_CLOSE,09:30,13:00
2025-07-04,FULL_CLOSE,,
2025-09-01,FULL_CLOSE,,
2025-11-27,FULL_CLOSE,,
2025-11-28,EARLY_CLOSE,09:30,13:00
2025-12-24,EARLY_CLOSE,09:30,13:00
2025-12-25,FULL_CLOSE,,
