date_berlin,session_type,open_time_berlin,close_time_berlin
2018-01-01,FULL_CLOSE,,
2018-03-30,FULL_CLOSE,,
2018-04-02,FULL_CLOSE,,
2018-05-01,FULL_CLOSE,,
2018-05-21,FULL_CLOSE,,
2018-10-03,FULL_CLOSE,,
2018-12-24,FULL_CLOSE,,
2018-12-25,FULL_CLOSE,,
2018-12-26,FULL_CLOSE,,
2018-12-28,EARLY_CLOSE,09:00,14:00
2018-12-31,FULL_CLOSE,,
2019-01-01,FULL_CLOSE,,
2019-04-19,FULL_CLOSE,,
2019-04-22,FULL_CLOSE,,
2019-05-01,FULL_CLOSE,,
2019-06-10,FULL_CLOSE,,
2019-10-03,FULL_CLOSE,,
2019-12-24,FULL_CLOSE,,
2019-12-25,FULL_CLOSE,,
2019-12-26,FULL_CLOSE,,
2019-12-30,EARLY_CLOSE,09:00,14:00
2019-12-31,FULL_CLOSE,,
2020-01-01,FULL_CLOSE,,
2020-04-10,FULL_CLOSE,,
2020-04-13,FULL_CLOSE,,
2020-05-01,FULL_CLOSE,,
2020-06-01,FULL_CLOSE,,
2020-12-24,FULL_CLOSE,,
2020-12-25,FULL_CLOSE,,
2020-12-30,EARLY_CLOSE,09:00,14:00
2020-12-31,FULL_CLOSE,,
2021-01-01,FULL_CLOSE,,
2021-04-02,FULL_CLOSE,,
2021-04-05,FULL_CLOSE,,
2021-05-24,FULL_CLOSE,,
2021-12-24,FULL_CLOSE,,
2021-12-30,EARLY_CLOSE,09:00,14:00
2021-12-31,FULL_CLOSE,,
2022-04-15,FULL_CLOSE,,
2022-04-18,FULL_CLOSE,,
2022-12-26,FULL_CLOSE,,
2022-12-30,EARLY_CLOSE,09:00,14:00
2023-04-07,FULL_CLOSE,,
2023-04-10,FULL_CLOSE,,
2023-05-01,FULL_CLOSE,,
2023-12-25,FULL_CLOSE,,
2023-12-26,FULL_CLOSE,,
2023-12-29,EARLY_CLOSE,09:00,14:00
2024-01-01,FULL_CLOSE,,
2024-03-29,FULL_CLOSE,,
2024-04-01,FULL_CLOSE,,
2024-05-01,FULL_CLOSE,,
2024-12-24,FULL_CLOSE,,
2024-12-25,FULL_CLOSE,,
2024-12-26,FULL_CLOSE,,
2024-12-30,EARLY_CLOSE,09:00,14:00
2024-12-31,FULL_CLOSE,,
2025-01-01,FULL_CLOSE,,
2025-04-18,FULL_CLOSE,,
2025-04-21,FULL_CLOSE,,
2025-05-01,FULL_CLOSE,,
2025-12-24,FULL_CLOSE,,
2025-12-25,FULL_CLOSE,,
2025-12-26,FULL_CLOSE,,
2025-12-30,EARLY_CLOSE,09:00,14:00
2025-12-31,FULL_CLOSE,,
