symbol,period,first_year,last_year,source_terminals
AUDCAD.DWX,D1,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,H12,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,H8,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,H6,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,H4,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,H3,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,H2,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,H1,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,M30,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,M20,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,M15,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,M12,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,M10,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,M6,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,M5,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,M4,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,M3,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,M2,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCAD.DWX,M1,2017,2025,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCHF.DWX,D1,2017,2026,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCHF.DWX,H12,2017,2026,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCHF.DWX,H8,2017,2026,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCHF.DWX,H6,2017,2026,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCHF.DWX,H4,2017,2026,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCHF.DWX,H3,2017,2026,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCHF.DWX,H2,2017,2026,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCHF.DWX,H1,2017,2026,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCHF.DWX,M30,2017,2026,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCHF.DWX,M20,2017,2026,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCHF.DWX,M15,2017,2026,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCHF.DWX,M12,2017,2026,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCHF.DWX,M10,2017,2026,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
AUDCHF.DWX,M6,2017,2026,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
