symbol,asset_class,import_log_path,first_imported_at,canonical_name_verified,evidence_source,evidence_line
AUDCAD.DWX,forex,,2026-04-27T09:44:09,true,skip_as,[2026-04-27T09:44:09]   skip AUDCAD: already in MT5 as AUDCAD.DWX
AUDCHF.DWX,forex,,2026-04-27T09:44:09,true,skip_as,[2026-04-27T09:44:09]   skip AUDCHF: already in MT5 as AUDCHF.DWX
AUDJPY.DWX,forex,,2026-04-27T09:44:09,true,skip_as,[2026-04-27T09:44:09]   skip AUDJPY: already in MT5 as AUDJPY.DWX
AUDNZD.DWX,forex,,2026-04-27T09:44:09,true,skip_as,[2026-04-27T09:44:09]   skip AUDNZD: already in MT5 as AUDNZD.DWX
AUDUSD.DWX,forex,,2026-04-27T09:44:09,true,skip_as,[2026-04-27T09:44:09]   skip AUDUSD: already in MT5 as AUDUSD.DWX
CADCHF.DWX,forex,,2026-04-27T09:44:09,true,skip_as,[2026-04-27T09:44:09]   skip CADCHF: already in MT5 as CADCHF.DWX
CADJPY.DWX,forex,,2026-04-27T09:44:09,true,skip_as,[2026-04-27T09:44:09]   skip CADJPY: already in MT5 as CADJPY.DWX
CHFJPY.DWX,forex,,2026-04-27T09:44:09,true,skip_as,[2026-04-27T09:44:09]   skip CHFJPY: already in MT5 as CHFJPY.DWX
EURAUD.DWX,forex,,2026-04-27T09:44:09,true,skip_as,[2026-04-27T09:44:09]   skip EURAUD: already in MT5 as EURAUD.DWX
EURCAD.DWX,forex,,2026-04-27T09:44:09,true,skip_as,[2026-04-27T09:44:09]   skip EURCAD: already in MT5 as EURCAD.DWX
EURCHF.DWX,forex,,2026-04-27T09:44:09,true,skip_as,[2026-04-27T09:44:09]   skip EURCHF: already in MT5 as EURCHF.DWX
EURGBP.DWX,forex,,2026-04-27T09:44:09,true,skip_as,[2026-04-27T09:44:09]   skip EURGBP: already in MT5 as EURGBP.DWX
EURJPY.DWX,forex,,2026-04-27T09:44:09,true,skip_as,[2026-04-27T09:44:09]   skip EURJPY: already in MT5 as EURJPY.DWX
EURNZD.DWX,forex,,2026-04-27T09:44:09,true,skip_as,[2026-04-27T09:44:09]   skip EURNZD: already in MT5 as EURNZD.DWX
EURUSD.DWX,forex,,2026-04-27T09:44:09,true,skip_as,[2026-04-27T09:44:09]   skip EURUSD: already in MT5 as EURUSD.DWX
GBPAUD.DWX,forex,Custom/Forex/GBPAUD.DWX,2026-04-27T09:44:09,true,path,"[2026-04-27T09:44:29]   verify | [FAIL_tail_mid_bars] GBPAUD.DWX: source=GBPAUD; custom_tv=0.71639; broker_tv=0.7172800000000001; rel_err=0.0012; head_ms expected=1506902700032/got=1506902700032; tail_ms expected=1775444397867/got=0; tail_basis=sidecar; tail_ref_ms=1775444397867; tail_delta_ms=None; mid_ticks_5min=0; bars_sidecar_expected=449,614; bars_one_shot=0; bars_one_shot_err=(-2, 'Terminal: Invalid params'); bars_chunked=0; maxbars=100,000; bars_expected_accessible=100,000; bars_drift=-100,000; bad_chunks=0; path=Custom\Forex\GBPAUD.DWX"
