ea_id,slug,origin_programme,basis,has_card
QM5_10000,ff-tasayc-cci-breakout,external_source,card:external_source,1
QM5_10001,ff-static-fib-open,external_source,card:external_source,1
QM5_10002,ff-sisyphus-2ma-rsi-d1,external_source,card:external_source,1
QM5_10003,ff-xaron-morning-breakout,external_source,card:external_source,1
QM5_10004,ff-razor-h1-5pip,external_source,card:external_source,1
QM5_10005,ff-profigenics-channel,external_source,card:external_source,1
QM5_10006,ff-weekly-stop-straddle,external_source,card:external_source,1
QM5_10007,ff-prevday-breakout-edge,external_source,card:external_source,1
QM5_10008,ff-sd-first-touch-h1,external_source,card:external_source,1
QM5_10009,rw-fx-cointeg-bb,external_source,card:external_source,1
QM5_1001,breakout-atr,external_source,slug:default_external,0
QM5_10010,rw-fx-ar10-rev,external_source,card:external_source,1
QM5_10011,rw-fx-weekly-seas,external_source,slug:default_external,0
QM5_10012,rw-fx-intraday-seas,external_source,card:external_source,1
QM5_10013,rw-fx-weekend-gap,external_source,card:external_source,1
QM5_10014,ff-stoch-833-uk-m15,external_source,card:external_source,1
QM5_10015,ff-bb-stoch-h1,external_source,card:external_source,1
QM5_10016,ff-ema100-bb-tdi-h1,external_source,card:external_source,1
QM5_10017,ff-stoch-ema50-h4,external_source,card:external_source,1
QM5_10018,ff-bb-shadow-reversal-h1,external_source,card:external_source,1
QM5_10019,rw-fx-nfp-drift,external_source,card:external_source,1
QM5_1002,davey-eu-night,external_source,slug:default_external,0
QM5_10020,rw-spx-overnight,external_source,card:external_source,1
QM5_10021,rw-fx-abs-mom,external_source,card:external_source,1
QM5_10022,rw-dual-mom,external_source,card:external_source,1
QM5_10023,rw-eom-flow,external_source,card:external_source,1
QM5_10024,rw-fx-comm-basket,external_source,card:external_source,1
QM5_10025,rw-fx-broad-pairs,external_source,card:external_source,1
QM5_10026,rw-fx-squeeze-mr,external_source,card:external_source,1
QM5_10027,rw-fx-carry,external_source,card:external_source,1
QM5_10028,rw-risk-premia,external_source,card:external_source,1
QM5_10029,rw-fx-ny-rev,external_source,card:external_source,1
QM5_1003,davey-baseline-3bar,external_source,slug:default_external,0
QM5_10030,rw-fx-eur-basket,external_source,card:external_source,1
QM5_10031,rw-gold-week-seas,external_source,card:external_source,1
QM5_10032,rw-bond-window,external_source,slug:default_external,0
QM5_10033,rw-spy-tlt-pair,external_source,slug:default_external,0
QM5_10034,rw-pairs-z,external_source,card:external_source,1
QM5_10035,rw-stat-arb,external_source,card:external_source,1
QM5_10036,rw-vol-risk,external_source,slug:default_external,0
QM5_10037,rw-caa-mvo,external_source,card:external_source,1
QM5_10038,ff-4x25ema-mtf-h4,external_source,card:external_source,1
QM5_10039,ff-hline-sma50-h1,external_source,card:external_source,1
QM5_1004,davey-es-breakout,external_source,slug:default_external,0
QM5_10040,ff-d3-body-psych-d1,external_source,card:external_source,1
QM5_10041,ff-bb-demarker-adx-m5,external_source,card:external_source,1
QM5_10042,ff-notable-numbers,external_source,card:external_source,1
QM5_10043,ff-50macd-4h,external_source,card:external_source,1
QM5_10044,ff-vr-gap-fade,external_source,card:external_source,1
QM5_10045,ff-quad-candle-d1,external_source,card:external_source,1
QM5_10046,ff-momentum-div-h4,external_source,card:external_source,1
QM5_10047,ff-wick-system-h1,external_source,card:external_source,1
QM5_10048,ff-toby-inside-d1,external_source,card:external_source,1
QM5_10049,ff-dailyopen-h1,external_source,card:external_source,1
QM5_10050,ff-corr-triad-h1,external_source,card:external_source,1
QM5_10051,gh-ma-cross,external_source,slug:default_external,0
QM5_10052,gh-time-range,external_source,slug:default_external,0
QM5_10053,gh-box-brk,external_source,slug:default_external,0
QM5_10054,gh-ict-imb,external_source,slug:default_external,0
QM5_10055,gh-allegro,external_source,slug:default_external,0
QM5_10056,gh-dillon-macd,external_source,slug:default_external,0
QM5_10057,gh-cci-arrows,external_source,slug:default_external,0
QM5_10058,gh-ima-stoch,external_source,slug:default_external,0
QM5_10059,gh-puria,external_source,slug:default_external,0
QM5_1006,davey-eu-day,external_source,slug:default_external,0
QM5_10060,gh-ichi-chikou,external_source,slug:default_external,0
QM5_10061,connors-trin3-d1,external_source,card:external_source,1
QM5_10062,connors-cvr1-d1,external_source,card:external_source,1
QM5_10063,connors-cvr3-d1,external_source,card:external_source,1
QM5_10064,mql5-astar-path,external_source,slug:default_external,0
QM5_10065,mql5-tod-rotate,external_source,slug:default_external,0
QM5_10066,mql5-dfs-path,external_source,slug:default_external,0
QM5_10067,mql5-channel-bo,external_source,slug:default_external,0
QM5_10068,mql5-liq-mtf,external_source,slug:default_external,0
QM5_10069,mql5-hs-rev,external_source,card:external_source,1
QM5_10070,mql5-fib-pa,external_source,card:external_source,1
QM5_10071,mql5-bb-touch,external_source,card:external_source,1
QM5_10072,mql5-prevbar-stop,external_source,slug:default_external,0
QM5_10073,mql5-ob-ema,external_source,slug:default_external,0
QM5_10074,gh-santi-adxma,external_source,card:external_source,1
QM5_10075,gh-santi-pa2,external_source,card:external_source,1
QM5_10076,gh-santi-cci2ma,external_source,card:external_source,1
QM5_10077,gh-kai-setup91,external_source,card:external_source,1
QM5_10078,gh-rfv-ma-rsi,external_source,card:external_source,1
QM5_10079,gh-victor-kumo,external_source,card:external_source,1
QM5_10080,gh-victor-gap,external_source,card:external_source,1
QM5_10081,gh-victor-rsi,external_source,card:external_source,1
QM5_10082,gh-dax-adxday,external_source,card:external_source,1
QM5_10083,gh-rwr-pullback,external_source,card:external_source,1
QM5_10084,mql5-bcw-rsi,external_source,slug:default_external,0
QM5_10085,mql5-harami-rsi,external_source,slug:default_external,0
QM5_10086,mql5-meet-rsi,external_source,slug:default_external,0
QM5_10087,mql5-cloud-rsi,external_source,card:external_source,1
QM5_10088,mql5-hammer-rsi,external_source,card:external_source,1
QM5_10089,mql5-bcw-rsi-h1,external_source,card:external_source,1
QM5_1009,lien-fade-double-zeros,external_source,slug:default_external,0
QM5_10090,mql5-harami-h1,external_source,card:external_source,1
QM5_10091,mql5-meet-h1,external_source,card:external_source,1
QM5_10092,gh-asian-sweep,external_source,card:external_source,1
QM5_10093,gh-ssp-breakout,external_source,card:external_source,1
QM5_10094,gh-h4-zone,external_source,card:external_source,1
